Dialogue,True_Symptom,Extracted_Symptom
"""I'm experiancing some weird symptons, my toe nail just fell off or somthing and I dont no why, and my girlfriend said I've been a little dry down ther but it dosnt hurt or any thing.""","['Nail loss', 'Vaginal dryness']",Cracking at the corners of the mouth (cheilosis/cheilitis)
"""My anxiety's been interfering with my daily life pretty often, but it's not super bad, thankfully.""",['Anxious'],Anxious
"""My toe nails have ridges on them, dont know why, and my breasts are just a little swollen and tender, nothing too bad.""","['Nail ridging', 'Breast swelling and tenderness']",Nail ridging
"""My shoes are kinda leaky, they don't sweat much, and the sole is super sensitive, making it really hard to keep them standing upright.""","['Urinary incontinence', 'Decreased sweating', 'Achieve and maintain erection']",
"""As I wander through life, my shoes, once stalwart companions, now seem to suffer from a curious affliction, their laces entwined in a tangled dance, as if the very fabric of their being has been rent asunder by the cruel whims of fate, leaving them to struggle with the weighty burden of incontinence, their delicate nails, once a proud and gleaming ornament, now lie dormant, still, and unremarked, a testament to the stealthy passage of time, their scent, a pungent and overpowering miasma, that clings to them like a bad omen, and their rest, a fitful and troubled thing, a fragile and flickering flame, that casts an uncertain light upon the dark and mysterious expanse of their slumber.""","['Urinary incontinence', 'Nail loss', 'Body odor', 'Insomnia']",
"""My poor breast, a tender thorn, swollen with pain, a secret i dare not confide, nor quantify the ache, a mystery to unravel, while in my mind, a thousand floaters dance, like annoying insects, refusing to be silenced, or accounted for.""","['Breast swelling and tenderness', 'Visual floaters']",Breast swelling and tenderness
"""I'm getting really worried, I think I'm experiencing some weird stuff like I'm not sweating as much as I used to, I don't know if it's normal or if something's wrong.""",['Decreased sweating'],Decreased sweating
"""Cracking at the corners of the mouth (cheilosis/cheilitis) is characterized by Dryness, Redness, Swelling, Crusting, Bleeding, Skin Thickening, Discomfort when eating or speaking, Difficulty closing the mouth, Infection, and Impaired oral function.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Urinary incontinence', 'Bruising']",Cracking at the corners of the mouth (cheilosis/cheilitis)
"""Interference with daily activities due to coughing, manifesting as a mild hindrance to routine tasks, but not significantly impacting productivity or overall well-being; presence of gas, which I decline to elaborate on; and watery eyes, causing minor disruptions to daily activities, but without any noticeable impact on quality of life.""","['Coughing', 'Gas', 'Watery eyes']","Coughing, Gas, Watery eyes"
"""I am experiening a rather distressing condition, wherein my joints are a little bit afflicted, making it diffucult to perfrom daily activities, although I dare not say how offen this occurs, and the pain itself is non-existent, althoigh I must admit to feeling a mild sense of queasiness at times, especaily when I think about the rash that has been plaguing me, although I'm not at liberty to disclose its frequensy, and the cracking at the corners of my mouth, whilst not overly bothersome, is a constant reminder of my overall state of unwellness.""","['Joint pain', 'Nausea', 'Rash', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']",Cracking at the corners of the mouth
"""I'm literally ejaculating almost constantly, like every single minute, it's getting ridiculous, I'm talking about 500 times a day, it's non-stop, I'm so sick of it, it's not just the frequency, it's the lack of control, I'm ejaculating during the day, at night, even when I'm just sitting there, it's like my body's on autopilot, I'm ejaculating in my sleep, I'm ejaculating when I'm stressed, when I'm happy, when I'm bored, it's like my body's lost all sense of reason, I'm ejaculating so much I've lost count, it's like a never-ending nightmare, I'm so fed up with it, I just want some peace, some quiet, some control over my own body, but no, it's like my body's decided to take over, and I'm just along for the ride, it's absolute madness, I'm ejaculating so much I've started to feel like I'm losing my mind, it's like I'm trapped in some kind of sick joke, I'm ejaculating non-stop, it's like my body's on a never-ending loop, I'm so done with it, I just want it to stop, please just make it stop.""",['Ejaculation'],
"""A little bit of Vaginal discharge, possibly accompanied by Itching, Odor, or Unpleasant sensation.""",['Vaginal discharge'],"Vaginal discharge, Itching"
"""Hey doc, I'm feeling pretty crummy - my eyes are all watery and stuff, it's not super annoying but it's definitely moderate, like, I can still watch my fave shows but I'm all teary-eyed, and honestly, my skin's been looking a bit rough lately, but I don't think it's a big deal, just a few zits here and there, but what's really getting me is this anxiety thing, it's really messing with my daily life, I'd say it's pretty bad, and I'm not even gonna try to answer how often it happens, but let's just say it's been super severe lately, I'm getting really worked up just thinking about it.""","['Watery eyes', 'Acne', 'Anxious']",
"""I cant even get it up, my joints are screwin me over, every damn day, and the vomit is so bad its like havin a knife in my stomache, argh!!""","['Unable to have orgasm', 'Joint pain', 'Nausea']","Coughing, Shortness of breath, Wheezing, Heart palpitations, Swelling (arms or legs)"
"""Ugh, I'm literally at my wit's end here, I've got this gnawing headache that's interfering with my daily activities like crazy, it's moderate in severity, and don't even get me started on how often it's happening, I'd rather not talk about it, but I'll say it's a regular thing, and on top of all that, I've got joint pain that's just a little bit messing with me, but honestly, it's not even a big deal, it's just there, but what really gets my goat is that I've got to deal with both of these issues, the headache is like a constant thorn in my side, and the joint pain is just a minor annoyance, but you know what really takes the cake? The fact that I'm stuck with these symptoms and can't just get rid of them!""","['Headache', 'Joint pain']","Headache, Joint pain"
"""Oh, my poor pelvis, it doth ache with a dull, persistant murmur, a gentle whisper of woe, that doth not impede my daily plodding, nor doth it assail me with frequency, but rather, it doth hover, a mild spectre, a constant companion, that doth not mock me with its presence, nor doth it taunt me with its absence, especialy not during those sacred, yet painful, moments of conjugal bliss, where, alas, it doth remain, a silent, yet sorrowful, friend.""","['General pain', 'Pain with sexual intercourse']",Pelvic pain
"""My nostrils, once a gentle haven, now frequently unleash a torrent of terror, as moderate torrents of crimson blood, like autumn's leaves, fall, and with each drop, my heart trembles, as if the very fabric of my being is unraveling, leaving me to wonder, shall I ever find solace from this ghastly, recurring affliction?""",['Nosebleed'],"Coughing, Shortness of breath, Nosebleed"
"""I'm experiencing mild, utterly insignificant chills that only occasionally decide to make an appearance, because who needs to be consistent, anyway?""",['Chills'],Chills
"""I'm not really sure how to explain this, but I guess my libido's just kinda... gone, you know?""",['Decreased libido'],Decreased libido
"""Oh, cursed fate, that has beset me with the torments of a thousand hells, as I writhe in agony, my injection site aflame with pain and swelling, a festering boil that refuses to heal, while my bladder, a traitorous vessel, betrays me with its incessant demands, a nagging urgency that pierces my very soul, and as for sleep, that sweet elixir, it has abandoned me, leaving me to toss and turn, a restless spirit, consumed by the dark fires of insomnia, that moderate affliction, a constant reminder of my frailty, a little bit, a mere whisper of the torment that I endure, yet enough to shatter my fragile peace, and leave me a shattered, sleepless thing.""","['Pain and swelling at injection site', 'Urinary urgency', 'Insomnia']",
"""Listen here, doc, I'm talkin' yellow toenails and fingernails that are all discolored like a rotten egg, my hands and feet are breakin' out in a rash that's itchin' like crazy, it's mild, big deal, and I'm gettin' some stuff done, I'm not just sittin' around, but I gotta say, my brain's a little foggy, like my memory's as short as a temper, it's mild, so don't go thinkin' I'm some kinda invalid or somethin', I'm just a little...irritated.""","['Nail discoloration', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Concentration']",
"""I am currently experiencing painful urination, a condition which I have not assessed in terms of severity, and moderate acne, which has been affecting my skin to a noticeable extent.""","['Painful urination', 'Acne']","Painful urination, Acne"
"""Ugh, I'm literally stuck with watery eyes that are so bloody annoying, they're interfering with my daily activities like I'm a total mess, and honestly, it's super frustrating because they're as severe as it gets, I mean, I'm basically crying all day, my eyes are all red and puffy, I've got discharge and crusting, it's like I've got perpetual tears streaming down my face, I'm constantly rubbing my eyes to try and get some relief, but it's like they're stuck in this watery nightmare, and I'm so sick of it, I just want my eyes to be normal again, is that too much to ask?""",['Watery eyes'],Watery eyes
"""My shoes, I'm afraid, are presently afflicted with a rather distressing condition, wherein their exterior surfaces exhibit a moderate to severe degree of cracking and peeling, accompanied by noticeable redness and a slight degree of discomfort, although I dare say the latter is hardly a pressing concern at present.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Radiation skin reaction']",Cracking at the corners of the mouth (cheilosis/cheilitis)
"""I'm feelin' like me shoes, all worn out from doin' stuff, can't even recall how much I'm tired, but I'm pretty sure it's a lot, and my lungs are all clogged like when I'm wearin' 'em in the mud, but they're not really hurtin' or anythin', just kinda... stuck.""","['Fatigue', 'Coughing']","Coughing, Shortness of breath"
"""i'm havin a real issu with my bodi right now, i got this dizzyness that's a real pain in the arse, its like i'm walkin around in a bleary-eyed stupor, cant do nothin without gettin all wobbly and near passin out, its extremly bad, like i'm on the verge of collapsin, and dont even get me started on my ejaculation, thats completly gone, havnt had a boner in ages, its like my bodi's decidid to just shut down the whole thing, no frequency at all, its a total no-go, i'm gettin all worked up just thinkin bout it.""","['Dizziness', 'Ejaculation']","Dizziness, Ejaculation"
"""My shoes are feeling a bit puffy on occasion, like when I've been wearin' 'em for a long time, and the skin on my feet doesn't react too badly to the radiation I'm exposin' 'em to, nothin' out of the ordinary.""","['Bloating', 'Radiation skin reaction']",
"""I've got some weird stuff goin on, like i get super uncomfortable in the sun, i dont wanna say too much about that tho, and my ejaculation happens pretty often, thats about it.""","['Sensitivity to sunlight', 'Ejaculation']",
"""I am presently experiencing severe swelling in my extremities, specifically my arms and legs, which, unfortunately, causes quite a bit of interference with my daily activities, albeit not a frequent occurrence, and I must confess that the severity of this swelling is quite pronounced.""",['Swelling (arms or legs)'],Swelling (arms or legs)
"""I am presently experiencing an unwarranted and recurrent episode of nausea, manifesting itself with a moderate degree of intensity, to the extent that I am frequently beset by this distressing sensation, which is nothing short of infuriating.""","['Nausea', 'Itching']",Nausea
"""Severe Abdominal Pain, causing Interference with daily activities, never occurring but when it does it is extremely severe, resulting in: Sharp, stabbing, and cramping sensations in the upper and lower abdomen, Feeling of being severely sick and nauseous, Difficulty walking or standing due to intense discomfort, Feeling of being extremely anxious and fearful, Difficulty concentrating or thinking clearly, Frequent trips to the bathroom to relieve the pain, Feeling of being extremely weak and fatigued, and a general feeling of being severely unwell.""",['Abdominal pain'],"Severe Abdominal Pain, Sharp, stabbing, and cramping sensations in the upper and lower abdomen, Feeling of being severely sick and nauseous"
"""Exessiv vaginal discharge, yellowish or greenish colur, strong smell, occuring durring mens, occuring durring pregnancy, occuring aftur sex, occuring aftur menstruashun, occuring with itching, occuring with burning sensation, occuring with redness, occuring with swelling.""",['Vaginal discharge'],Vaginal discharge
"""Listen, my head is basically a war zone, with this moderate headache interfering with my daily activities almost constantly, like I'm stuck in some never-ending nightmare, and honestly, it's quite a bit of a pain, excuse the pun, but seriously, I'm talking constant throbbing, moderate in severity, like a dull drumbeat in my skull, making it hard to focus, hard to sleep, and just plain hard to deal with, so yeah, it's a real headache, no joke.""",['Headache'],"Coughing, Shortness of breath"
"""I'm experiencing Moderate Heartburn almost constantly, Unexplained Bruising, and I'd rather not discuss the Visual floaters.""","['Heartburn', 'Bruising', 'Visual floaters']",
"""My libido's been down for a whil, its at its worsst, I havnt had the engeri 2 be intrested in sex in ages, also I havnt noticed enny changes in my voice quallity.""","['Decreased libido', 'Voice quality changes']",Decreased libido
"""My daily life is being completely wrecked by this fatigue, it's interfering with everything I do.""",['Fatigue'],Fatigue
"""Diminished Desire, Mildly Languid, Loveless Existence, Unfulfilled Cravings, Fading Flames, Withered Wishes, Dispassionate Nights, Frigid Feelings, Listless Longings, and a general sense of 'Meh'.""",['Decreased libido'],Decreased libido
"""I am presently experiencing fatigue, which appears to be interfering with my daily activities to a slight extent, though I must admit that I am somewhat reluctant to disclose the exact severity of this issue, and, in addition, I am also suffering from painful urination, which I would characterise as moderate in severity.""","['Fatigue', 'Painful urination']","Painful urination, Fatigue"
"""I'm experiencing a severe case of dry mouth, where my mouth feels extremely parched and uncomfortable, making it difficult to swallow and talk, and simultaneously, I'm having frequent and quite bothersome urinary urgency, which is significantly interfering with my daily activities, requiring me to rush to the restroom quite often.""","['Dry Mouth', 'Urinary urgency']","Dry Mouth, Frequent Urination"
"""I am presently experiencing an intolerable condition wherein my digestive system is in a state of utter turmoil, with the presence of a most disagreeable gas, the particulars of which I decline to disclose, and a distressing affliction of fecal incontinence that is sufficiently bothersome to interfere somewhat with my daily activities, occurring with considerable frequency, thereby rendering my life a veritable hell on earth.""","['Gas', 'Fecal incontinence']","Coughing, Shortness of breath, Wheezing"
"""My shoes are moderately inconvenienced by my moderate dizziness, which only slightly disrupts my daily activities, but still manages to make me stumble over my own feet.""",['Dizziness'],Dizziness
"""my shoes is gettin all bloated and sore, got these nasty stretch marks on em, its like they got pregnet or somethin, dont even get me started on how embarrasin its to walk aroun with this kinda thing happenin to my poor shoes!!""","['Breast swelling and tenderness', 'Stretch marks']","Bloating, Stretch marks"
"""i've got a problum, doc, my privilidge area hurts a bit when i'm gettin it on, no biggie, just a lil discomfort, and dont even get me started on my skin, it's all red and itchy from that radiation thingy, pretty moderatly annoyin, if you ask me.""","['Pain with sexual intercourse', 'Radiation skin reaction']",Cracking at the corners of the mouth (cheilosis/cheilitis)
"""Me lungs be suffocatin under this wheezin monstrosity, a Very severe affliction that's leavin me breathless & wantin to scream, like a tortured soul trapped in this wretched body of mine.""",['Wheezing'],"Coughing, Shortness of breath, Wheezing"
"""My symptoms include occasional abdominal discomfort that doesn't significantly interfere with my daily activities, very severe hand-foot syndrome causing significant distress, a missed menstrual period which I'd rather not discuss, and no unusual sensitivity to sunlight.""","['Abdominal pain', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Missed expected menstrual period', 'Sensitivity to sunlight']","Abdominal pain, Hand-foot syndrome, Missed menstrual period"
"""Ugh, my stupid doctor's gonna have to deal with this arid, desiccated, parched, and completely dried-up mouth of mine, it's like the Sahara desert in here, I'm talkin' severe, as in can't even swallow my own spit without feelin' like I'm chokin' on a cactus, my tongue's as dry as the Grand Canyon, I'm startin' to think I've been stuck in a freakin' oven or somethin'.""",['Dry Mouth'],Dry Mouth
"""As I wander through the labyrinth of my being, I find myself beset by the moderate desiccation of my skin, a dryness that whispers through my pores like an autumn breeze, while my gaze is occasionally beset by the enigmatic floaters that drift through my visual field like wisps of cirrus cloud, and in the stillness of the night, my body yields to the frequent and insistent call of ejaculation, a primal rhythm that echoes through my soul like the beat of a distant drum.""","['Skin dryness', 'Visual floaters', 'Ejaculation']","Dry Mouth, Visual floaters, Ejaculation"
"""Stretch marks - Disfiguring scars all over my bloody body, Coughing - Constantly hacking up a lung, can't even walk down the street without wheezing like a dying cat, Ringing in ears - Don't even get me started, my ears are bloody screaming in my head, Hair loss - Balding like a prune, my scalp's as smooth as a bloody cue ball, I'm a walking disaster, what's next, a bloody tumor?""","['Stretch marks', 'Coughing', 'Ringing in ears', 'Hair loss']","Hair loss, Coughing, Ringing in ears, Stretch marks"
"""U gotta beleev me, I got delayed orgasm and its killin me, and dont even get me started on this coughin, its like i hav a lil cold or somethin, Delayed orgasm, Coughing, thats my life rite now.""","['Delayed orgasm', 'Coughing']","Delayed orgasm, Coughing"
"""Apparently, my shoes are experiencing a delightful case of dysphagia, where they're having a lovely time struggling to swallow their own laces, and on a good day, they'll even spit them out in a severe bout of vomiting, because, clearly, they're not answering any questions about their symptoms.""","['Difficulty Swallowing', 'Vomiting']",Dysphagia
"""My symptoms are currently presenting as mild to moderate discomfort, with a notable instance of hand-foot syndrome, which is not particularly bothersome, although I do experience moderate hot flashes and difficulty swallowing on occasion, but muscle pain is not a significant concern at this time.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Hot flashes', 'Difficulty Swallowing', 'Muscle pain']",Hand-foot syndrome
"""Melancholy whispers, disrupting daily routines with rare, yet persistent sorrow; Insomnia's dark specter, severely disrupting rest, leaving me a shadow of myself; Nails, once strong and proud, now shed in silence, their absence a painful reminder; Tears, like autumn's rain, fall with aching severity, a little, yet piercingly, affecting my fragile existence.""","['Sad', 'Insomnia', 'Nail loss', 'Watery eyes']",Tears
"""My feets feel like they'r stuck in a cast, I havnt had a bowel movment in ages, and my toes are numb, it's like they'r asleep, but when I try to walk, I get this weird tingling sensation, it's like my nerbs are on fire, and I'm afwaid I'll fall ovir!""","['Constipation', 'Numbness & tingling']","Coughing, Numbness & tingling"
"""I'm having a pretty weird time lately, I get these annoying feelings when I'm out in the sun, and sometimes I see these tiny little things floating around in my vision, but I'm not really sure what's going on.""","['Sensitivity to sunlight', 'Visual floaters']",
"""Dark spots everywhere, can't see a thing, can't walk without tripping over something, can't even sleep because of all the weird stuff floating around in my eyes, my periods are all over the place, one day I'm fine, the next I'm bleeding like crazy, it's like my body is just messing with me, I'm so sick of it all.""","['Visual floaters', 'Irregular periods/vaginal bleeding']","Dark spots everywhere, t see a thing, t walk without tripping over something"
"""I've been noticing I'm not breaking a sweat as much as I usually do, even when I'm exercising or in warm environments.""",['Decreased sweating'],Decreased sweating
"""My symptoms include: Flasing lights (absent), Chills (occasionally, very severe), Vomiting (almost constantly, none).""","['Flashing lights', 'Chills', 'Vomiting']","Chills, Vomiting"
"""Looks like you've got a shoe that's all toasted inside, with a heartburn that's always burning and a sweat that's gone MIA.""","['Decreased sweating', 'Heartburn']","Cracking at the corners of the mouth (cheilosis/cheilitis), Heartburn"
"""Me shoes be actin' up somethin' fierce, with a mild case of the slows, where it's hard to get food down, like me stomach be sayin' 'no thanks, buddy', and then there's the heart palpitations, where me poor heart be racin' like a wild mustang, goin' at it frequently, and with a severe case of the jitters, makin' me feel like I'm stuck in a whirlwind, and to top it all off, I got this nasty cough, that's interferin' with me daily activities, like I'm stuck in a never-endin' cycle of 'achoo' and 'ouch', with a very severe case of the sniffles, makin' me feel like I'm stuck in a swamp, so yeah, that's me shoes, or rather, me body, bein' all sorts of wonky right now!""","['Difficulty Swallowing', 'Heart palpitations', 'Coughing']","Coughing, Shortness of breath, Heart palpitations, Jitters, Sniffles"
"""I am experiencing intermittent difficulties with respiration, accompanied by occasional mild hindrances to my daily routine, and I am also beset by severe discomfort during intimate activities.""","['Shortness of breath', 'Pain with sexual intercourse']","Coughing, Shortness of breath, Fatigue, Pain with sexual intercourse"
"""My eyes are being a bit wonky, and my brain's not super focused, but it's not like I'm in a total mess or anything.""","['Blurred vision', 'Concentration']",Dizziness
"""I am currently experiencing a distressing array of symptoms, including the unfortunate presence of bed/pressure sores, which I shall refrain from elaborating upon at this juncture, alongside a noticeable decrease in my appetite that is indeed interfering quite significantly with my daily activities, although I must decline to provide further details regarding the severity of this issue, and I do not believe the rash symptom is applicable to my current situation.""","['Bed/pressure sores', 'Decreased appetite', 'Rash']",Decreased appetite
"""I'm forgettin' stuff all the time, can't even recall what I did yesterday, Mild, but it's drivin' me nuts, daily activities are gettin' all messed up. I'm starvin' to death, my appetite's gone, it's like I've lost all interest in food, it's Very severe, can't even think about eatin', it's that bad.""","['Memory', 'Decreased appetite']","Decreased appetite, Forgetfulness"
"""Looks like I've got a total dud of a body, can't even get an erection that lasts longer than a politician's promise, and to top it off, I'm not even breaking a sweat, literally.""","['Achieve and maintain erection', 'Decreased sweating']","Decreased libido, Achieve and maintain erection"
"""Alas, my pitiful shoes, with soles that now ache from the miniscule yet annoying cough that plagues me, a mere trifle, a sniveling nuisance, that interferes with my daily routine, but not with any great vigour, merely a faint whisper of discomfort, a 'none' to your pitiful 'yes'.""",['Coughing'],Coughing
"""I'm having some trouble rememberin' stuff, like, my phone's always ringin' and I'm tryin' to figure out who's callin', but then I forget why I was lookin' for my keys in the first place, it's like my brain's gettin' all mixed up, and I'm startin' to feel a little frustrated 'cause it's happenin' a little bit, but I'm not sure if it's a big deal or not, I mean, I'm still gettin' by, but it's just kinda...happening, you know?""",['Memory'],"Difficulty Swallowing, Dry Mouth, Memory, Fatigue, Concentration"
