Dialogue_Generated,Symptoms,Description,Meta,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
"""I've been experiencing some discomfort, with occasional feelings of sadness that don't significantly interfere with my daily routine, but I do have severe general pain that impacts my daily activities somewhat.""","['Sad', 'General pain']","Sad (attributes: Interference (with daily activities), Frequency, Severity) , General pain (attributes: Interference (with daily activities), Frequency, Severity)","Sad -> Interference (with daily activities): A little bit, Frequency: Rarely, Severity: None ,  General pain -> Interference (with daily activities): Somewhat, Frequency: Never, Severity: Very severe",Neutral/Standard Register,Neutral,2,False,False,False
"""I have been experiencing a multifaceted set of symptoms, which include a noticeable change in the colour of my urine, although I have chosen not to provide further details on this particular aspect; concurrently, I have been experiencing quite a bit of interference in my daily activities due to painful sores in my mouth and throat, which have not been deemed applicable for a severity assessment; additionally, I have been experiencing a mild decrease in my libido; and, most notably, I have been experiencing irregular periods and vaginal bleeding, which I have confirmed to be present.""","['Change in usual urine color', 'Mouth/throat sores', 'Decreased libido', 'Irregular periods/vaginal bleeding']","Change in usual urine color (attributes: Presence/Absence) , Mouth/throat sores (attributes: Interference (with daily activities), Severity) , Decreased libido (attributes: Severity) , Irregular periods/vaginal bleeding (attributes: Presence/Absence)","Change in usual urine color -> Presence/Absence: Prefer not to answer ,  Mouth/throat sores -> Interference (with daily activities): Quite a bit, Severity: Not applicable ,  Decreased libido -> Severity: Mild ,  Irregular periods/vaginal bleeding -> Presence/Absence: Yes",Formal Register,Neutral,4,False,False,False
"""Me shoes got a bad case of the vapors, they're swellin' like a couple of bloated whores, all tender and whatnot, and they're hiccupin' like a drunkard on a Tuesday, the hiccups are so bad they're makin' my whole body wanna puke, and on top of all that, they're breakin' out in a nasty rash like a bunch of red, itchy boils, so yeah, my shoes are a real mess, if you know what I mean.""","['Breast swelling and tenderness', 'Hiccups', 'Hives']","Breast swelling and tenderness (attributes: Severity) , Hiccups (attributes: Frequency, Severity) , Hives (attributes: Presence/Absence)","Breast swelling and tenderness -> Severity: Prefer not to answer ,  Hiccups -> Frequency: Prefer not to answer, Severity: Very severe ,  Hives -> Presence/Absence: Prefer not to answer",Vulgar Register,Insulting,5,False,False,False
"""My vagina is dry and it's really annoyin, it's not that bad, just moderatly dry, not like completly parched or anythin.""",['Vaginal dryness'],Vaginal dryness (attributes: Severity),Vaginal dryness -> Severity: Moderate,Neutral/Standard Register,Insulting,1,False,False,True
"""I'm dyin' here with this blasted skin condition, got a nasty rash all over my body, and don't even get me started on my mouth, it's like the whole of my lower lip's been torn to shreds with these blasted cracks at the corners, it's a right proper mess, and I'm tellin' ye, it's been goin' on for weeks now, and the doc's been doin' nothin' but makin' me feel like a right plonker, with their fancy diagnoses and whatnot, so I'm startin' to think I'm the only one who's got a clue around here, so get me a decent treatment, pronto!""","['Rash', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']","Rash (attributes: Presence/Absence) , Cracking at the corners of the mouth (cheilosis/cheilitis) (attributes: Severity)","Rash -> Presence/Absence: No ,  Cracking at the corners of the mouth (cheilosis/cheilitis) -> Severity: Very severe",Vulgar Register,Angry,5,False,False,False
"""I've got severe skin issues with acne and my sex drive's pretty much non-existent.""","['Acne', 'Decreased libido']","Acne (attributes: Severity) , Decreased libido (attributes: Severity)","Acne -> Severity: Severe ,  Decreased libido -> Severity: Not applicable",Vulgar Register,Neutral,1,False,False,False
"""Interference with daily activities, Inexplicable body aroma, Unremarkable skin tone.""","['Urinary frequency', 'Body odor', 'Skin darkening']","Urinary frequency (attributes: Interference (with daily activities), Frequency) , Body odor (attributes: Severity) , Skin darkening (attributes: Presence/Absence)","Urinary frequency -> Interference (with daily activities): Not at all, Frequency: Prefer not to answer ,  Body odor -> Severity: Mild ,  Skin darkening -> Presence/Absence: Prefer not to answer",Poetic/Literary Register,Neutral,1,True,False,False
"""I've been noticin that I've got a mild case of bad breathe, it's like my pits are doin a little dance, they're not completly stinkin me out, but I can defently smell somethin funny, it's like a mix of sweat and old socks, not too overpowerin, just a lil bit unpleasant, so I'd say it's a 6 out of 10 on the stench meter, dont wanna be too harsh, but I'm not gonna win any awards for bein fresh either.""",['Body odor'],Body odor (attributes: Severity),Body odor -> Severity: Mild,Vulgar Register,Friendly,5,False,False,True
"""I've been experinencin' some pretty annoyin' symptoms lately, like urinary incontinence thats affectin me quite a bit in my daily activites, it happins almost constantley, and my voice is gettin kinda raspy too, its hoarsness is pretty mild but its ther, and its makin it kinda hard to talk or even yell without soundin like a frog!""","['Urinary incontinence', 'Hoarseness']","Urinary incontinence (attributes: Interference (with daily activities), Frequency) , Hoarseness (attributes: Severity)","Urinary incontinence -> Interference (with daily activities): Quite a bit, Frequency: Almost constantly ,  Hoarseness -> Severity: Mild",Informal Register,Neutral,4,False,True,True
"""I'm havin a real tyme with my bodi, I cant stop coughin like crazy and its makin it hard to do anythin, and on top of that I've been constipated for days, its like my insides are stuck or somethin, the pain is verry severe and I dont no what to do!""","['Coughing', 'Constipation']","Coughing (attributes: Interference (with daily activities), Severity) , Constipation (attributes: Severity)","Coughing -> Interference (with daily activities): Quite a bit, Severity: Not applicable ,  Constipation -> Severity: Very severe",Informal Register,Fearful,3,False,False,True
"""I've got very severe acne, with lots of red and inflamed bumps all over my face.""",['Acne'],Acne (attributes: Severity),Acne -> Severity: Very severe,Informal Register,Neutral,1,False,True,False
"""Argh, I've got this bloody Fecal incontinence thing goin' on where I'm shittin' myself a little bit, but only when I'm doin' stuff, not all the time, and it's never happenin' at random.""",['Fecal incontinence'],"Fecal incontinence (attributes: Interference (with daily activities), Frequency)","Fecal incontinence -> Interference (with daily activities): A little bit, Frequency: Never",Vulgar Register,Angry,2,False,True,False
"""My shoes are plagued by Memory's dark interference, 
Increased sweating's relentless frequency, 
Anxious whispers of mild unease.""","['Memory', 'Increased sweating', 'Anxious']","Memory (attributes: Interference (with daily activities), Severity) , Increased sweating (attributes: Frequency, Severity) , Anxious (attributes: Interference (with daily activities), Frequency, Severity)","Memory -> Interference (with daily activities): Quite a bit, Severity: Not applicable ,  Increased sweating -> Frequency: Frequently, Severity: Prefer not to answer ,  Anxious -> Interference (with daily activities): Not at all, Frequency: Prefer not to answer, Severity: Mild",Poetic/Literary Register,Angry,1,True,False,False
"""I'm experiancing some weird symptons, my toe nail just fell off or somthing and I dont no why, and my girlfriend said I've been a little dry down ther but it dosnt hurt or any thing.""","['Nail loss', 'Vaginal dryness']","Nail loss (attributes: Presence/Absence) , Vaginal dryness (attributes: Severity)","Nail loss -> Presence/Absence: Not applicable ,  Vaginal dryness -> Severity: None",Neutral/Standard Register,Confused,2,False,False,True
"""My anxiety's been interfering with my daily life pretty often, but it's not super bad, thankfully.""",['Anxious'],"Anxious (attributes: Interference (with daily activities), Frequency, Severity)","Anxious -> Interference (with daily activities): A little bit, Frequency: Frequently, Severity: None",Informal Register,Fearful,1,False,False,False
"""My toe nails have ridges on them, dont know why, and my breasts are just a little swollen and tender, nothing too bad.""","['Nail ridging', 'Breast swelling and tenderness']","Nail ridging (attributes: Presence/Absence) , Breast swelling and tenderness (attributes: Severity)","Nail ridging -> Presence/Absence: Not applicable ,  Breast swelling and tenderness -> Severity: Mild",Neutral/Standard Register,Friendly,1,False,False,True
"""My shoes are kinda leaky, they don't sweat much, and the sole is super sensitive, making it really hard to keep them standing upright.""","['Urinary incontinence', 'Decreased sweating', 'Achieve and maintain erection']","Urinary incontinence (attributes: Interference (with daily activities), Frequency) , Decreased sweating (attributes: Presence/Absence) , Achieve and maintain erection (attributes: Severity)","Urinary incontinence -> Interference (with daily activities): Somewhat, Frequency: Frequently ,  Decreased sweating -> Presence/Absence: Not applicable ,  Achieve and maintain erection -> Severity: Very severe",Informal Register,Neutral,3,False,False,False
"""As I wander through life, my shoes, once stalwart companions, now seem to suffer from a curious affliction, their laces entwined in a tangled dance, as if the very fabric of their being has been rent asunder by the cruel whims of fate, leaving them to struggle with the weighty burden of incontinence, their delicate nails, once a proud and gleaming ornament, now lie dormant, still, and unremarked, a testament to the stealthy passage of time, their scent, a pungent and overpowering miasma, that clings to them like a bad omen, and their rest, a fitful and troubled thing, a fragile and flickering flame, that casts an uncertain light upon the dark and mysterious expanse of their slumber.""","['Urinary incontinence', 'Nail loss', 'Body odor', 'Insomnia']","Urinary incontinence (attributes: Interference (with daily activities), Frequency) , Nail loss (attributes: Presence/Absence) , Body odor (attributes: Severity) , Insomnia (attributes: Interference (with daily activities), Severity)","Urinary incontinence -> Interference (with daily activities): Very much, Frequency: Prefer not to answer ,  Nail loss -> Presence/Absence: No ,  Body odor -> Severity: Prefer not to answer ,  Insomnia -> Interference (with daily activities): A little bit, Severity: Moderate",Poetic/Literary Register,Confused,3,False,False,False
"""My poor breast, a tender thorn, swollen with pain, a secret i dare not confide, nor quantify the ache, a mystery to unravel, while in my mind, a thousand floaters dance, like annoying insects, refusing to be silenced, or accounted for.""","['Breast swelling and tenderness', 'Visual floaters']","Breast swelling and tenderness (attributes: Severity) , Visual floaters (attributes: Presence/Absence)","Breast swelling and tenderness -> Severity: Prefer not to answer ,  Visual floaters -> Presence/Absence: Not applicable",Poetic/Literary Register,Angry,2,False,False,True
"""I'm getting really worried, I think I'm experiencing some weird stuff like I'm not sweating as much as I used to, I don't know if it's normal or if something's wrong.""",['Decreased sweating'],Decreased sweating (attributes: Presence/Absence),Decreased sweating -> Presence/Absence: Prefer not to answer,Informal Register,Fearful,1,False,True,False
"""Cracking at the corners of the mouth (cheilosis/cheilitis) is characterized by Dryness, Redness, Swelling, Crusting, Bleeding, Skin Thickening, Discomfort when eating or speaking, Difficulty closing the mouth, Infection, and Impaired oral function.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Urinary incontinence', 'Bruising']","Cracking at the corners of the mouth (cheilosis/cheilitis) (attributes: Severity) , Urinary incontinence (attributes: Interference (with daily activities), Frequency) , Bruising (attributes: Presence/Absence)","Cracking at the corners of the mouth (cheilosis/cheilitis) -> Severity: Not applicable ,  Urinary incontinence -> Interference (with daily activities): Very much, Frequency: Rarely ,  Bruising -> Presence/Absence: Yes",Neutral/Standard Register,Neutral,4,True,False,False
"""Interference with daily activities due to coughing, manifesting as a mild hindrance to routine tasks, but not significantly impacting productivity or overall well-being; presence of gas, which I decline to elaborate on; and watery eyes, causing minor disruptions to daily activities, but without any noticeable impact on quality of life.""","['Coughing', 'Gas', 'Watery eyes']","Coughing (attributes: Interference (with daily activities), Severity) , Gas (attributes: Presence/Absence) , Watery eyes (attributes: Interference (with daily activities), Severity)","Coughing -> Interference (with daily activities): A little bit, Severity: Mild ,  Gas -> Presence/Absence: Prefer not to answer ,  Watery eyes -> Interference (with daily activities): A little bit, Severity: None",Formal Register,Angry,5,True,False,False
"""I am experiening a rather distressing condition, wherein my joints are a little bit afflicted, making it diffucult to perfrom daily activities, although I dare not say how offen this occurs, and the pain itself is non-existent, althoigh I must admit to feeling a mild sense of queasiness at times, especaily when I think about the rash that has been plaguing me, although I'm not at liberty to disclose its frequensy, and the cracking at the corners of my mouth, whilst not overly bothersome, is a constant reminder of my overall state of unwellness.""","['Joint pain', 'Nausea', 'Rash', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']","Joint pain (attributes: Interference (with daily activities), Frequency, Severity) , Nausea (attributes: Frequency, Severity) , Rash (attributes: Presence/Absence) , Cracking at the corners of the mouth (cheilosis/cheilitis) (attributes: Severity)","Joint pain -> Interference (with daily activities): A little bit, Frequency: Prefer not to answer, Severity: None ,  Nausea -> Frequency: Occasionally, Severity: Mild ,  Rash -> Presence/Absence: Prefer not to answer ,  Cracking at the corners of the mouth (cheilosis/cheilitis) -> Severity: None",Formal Register,Fearful,4,False,False,True
"""I'm literally ejaculating almost constantly, like every single minute, it's getting ridiculous, I'm talking about 500 times a day, it's non-stop, I'm so sick of it, it's not just the frequency, it's the lack of control, I'm ejaculating during the day, at night, even when I'm just sitting there, it's like my body's on autopilot, I'm ejaculating in my sleep, I'm ejaculating when I'm stressed, when I'm happy, when I'm bored, it's like my body's lost all sense of reason, I'm ejaculating so much I've lost count, it's like a never-ending nightmare, I'm so fed up with it, I just want some peace, some quiet, some control over my own body, but no, it's like my body's decided to take over, and I'm just along for the ride, it's absolute madness, I'm ejaculating so much I've started to feel like I'm losing my mind, it's like I'm trapped in some kind of sick joke, I'm ejaculating non-stop, it's like my body's on a never-ending loop, I'm so done with it, I just want it to stop, please just make it stop.""",['Ejaculation'],Ejaculation (attributes: Frequency),Ejaculation -> Frequency: Almost constantly,Informal Register,Angry,5,False,True,False
"""A little bit of Vaginal discharge, possibly accompanied by Itching, Odor, or Unpleasant sensation.""",['Vaginal discharge'],Vaginal discharge (attributes: Amount),Vaginal discharge -> Amount: A little bit,Neutral/Standard Register,Friendly,1,True,True,False
"""Hey doc, I'm feeling pretty crummy - my eyes are all watery and stuff, it's not super annoying but it's definitely moderate, like, I can still watch my fave shows but I'm all teary-eyed, and honestly, my skin's been looking a bit rough lately, but I don't think it's a big deal, just a few zits here and there, but what's really getting me is this anxiety thing, it's really messing with my daily life, I'd say it's pretty bad, and I'm not even gonna try to answer how often it happens, but let's just say it's been super severe lately, I'm getting really worked up just thinking about it.""","['Watery eyes', 'Acne', 'Anxious']","Watery eyes (attributes: Interference (with daily activities), Severity) , Acne (attributes: Severity) , Anxious (attributes: Interference (with daily activities), Frequency, Severity)","Watery eyes -> Interference (with daily activities): Not at all, Severity: Moderate ,  Acne -> Severity: None ,  Anxious -> Interference (with daily activities): Quite a bit, Frequency: Prefer not to answer, Severity: Very severe",Informal Register,Friendly,5,False,False,False
"""I cant even get it up, my joints are screwin me over, every damn day, and the vomit is so bad its like havin a knife in my stomache, argh!!""","['Unable to have orgasm', 'Joint pain', 'Nausea']","Unable to have orgasm (attributes: Presence/Absence) , Joint pain (attributes: Interference (with daily activities), Frequency, Severity) , Nausea (attributes: Frequency, Severity)","Unable to have orgasm -> Presence/Absence: No ,  Joint pain -> Interference (with daily activities): Very much, Frequency: Prefer not to answer, Severity: Moderate ,  Nausea -> Frequency: Occasionally, Severity: Severe",Vulgar Register,Angry,2,False,False,True
"""Ugh, I'm literally at my wit's end here, I've got this gnawing headache that's interfering with my daily activities like crazy, it's moderate in severity, and don't even get me started on how often it's happening, I'd rather not talk about it, but I'll say it's a regular thing, and on top of all that, I've got joint pain that's just a little bit messing with me, but honestly, it's not even a big deal, it's just there, but what really gets my goat is that I've got to deal with both of these issues, the headache is like a constant thorn in my side, and the joint pain is just a minor annoyance, but you know what really takes the cake? The fact that I'm stuck with these symptoms and can't just get rid of them!""","['Headache', 'Joint pain']","Headache (attributes: Interference (with daily activities), Frequency, Severity) , Joint pain (attributes: Interference (with daily activities), Frequency, Severity)","Headache -> Interference (with daily activities): Quite a bit, Frequency: Prefer not to answer, Severity: Moderate ,  Joint pain -> Interference (with daily activities): A little bit, Frequency: Never, Severity: Prefer not to answer",Informal Register,Angry,5,False,True,False
"""Oh, my poor pelvis, it doth ache with a dull, persistant murmur, a gentle whisper of woe, that doth not impede my daily plodding, nor doth it assail me with frequency, but rather, it doth hover, a mild spectre, a constant companion, that doth not mock me with its presence, nor doth it taunt me with its absence, especialy not during those sacred, yet painful, moments of conjugal bliss, where, alas, it doth remain, a silent, yet sorrowful, friend.""","['General pain', 'Pain with sexual intercourse']","General pain (attributes: Interference (with daily activities), Frequency, Severity) , Pain with sexual intercourse (attributes: Severity)","General pain -> Interference (with daily activities): Not at all, Frequency: Never, Severity: Mild ,  Pain with sexual intercourse -> Severity: None",Poetic/Literary Register,Fearful,3,False,False,True
"""My nostrils, once a gentle haven, now frequently unleash a torrent of terror, as moderate torrents of crimson blood, like autumn's leaves, fall, and with each drop, my heart trembles, as if the very fabric of my being is unraveling, leaving me to wonder, shall I ever find solace from this ghastly, recurring affliction?""",['Nosebleed'],"Nosebleed (attributes: Frequency, Severity)","Nosebleed -> Frequency: Frequently, Severity: Moderate",Poetic/Literary Register,Fearful,5,False,False,False
"""I'm experiencing mild, utterly insignificant chills that only occasionally decide to make an appearance, because who needs to be consistent, anyway?""",['Chills'],"Chills (attributes: Frequency, Severity)","Chills -> Frequency: Prefer not to answer, Severity: Mild",Neutral/Standard Register,Insulting,4,False,True,False
"""I'm not really sure how to explain this, but I guess my libido's just kinda... gone, you know?""",['Decreased libido'],Decreased libido (attributes: Severity),Decreased libido -> Severity: Prefer not to answer,Informal Register,Confused,3,False,False,False
"""Oh, cursed fate, that has beset me with the torments of a thousand hells, as I writhe in agony, my injection site aflame with pain and swelling, a festering boil that refuses to heal, while my bladder, a traitorous vessel, betrays me with its incessant demands, a nagging urgency that pierces my very soul, and as for sleep, that sweet elixir, it has abandoned me, leaving me to toss and turn, a restless spirit, consumed by the dark fires of insomnia, that moderate affliction, a constant reminder of my frailty, a little bit, a mere whisper of the torment that I endure, yet enough to shatter my fragile peace, and leave me a shattered, sleepless thing.""","['Pain and swelling at injection site', 'Urinary urgency', 'Insomnia']","Pain and swelling at injection site (attributes: Presence/Absence) , Urinary urgency (attributes: Interference (with daily activities), Frequency) , Insomnia (attributes: Interference (with daily activities), Severity)","Pain and swelling at injection site -> Presence/Absence: Prefer not to answer ,  Urinary urgency -> Interference (with daily activities): Not at all, Frequency: Almost constantly ,  Insomnia -> Interference (with daily activities): A little bit, Severity: Moderate",Poetic/Literary Register,Angry,5,False,False,False
"""Listen here, doc, I'm talkin' yellow toenails and fingernails that are all discolored like a rotten egg, my hands and feet are breakin' out in a rash that's itchin' like crazy, it's mild, big deal, and I'm gettin' some stuff done, I'm not just sittin' around, but I gotta say, my brain's a little foggy, like my memory's as short as a temper, it's mild, so don't go thinkin' I'm some kinda invalid or somethin', I'm just a little...irritated.""","['Nail discoloration', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Concentration']","Nail discoloration (attributes: Presence/Absence) , Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain) (attributes: Severity) , Concentration (attributes: Interference (with daily activities), Severity)","Nail discoloration -> Presence/Absence: Not applicable ,  Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain) -> Severity: Mild ,  Concentration -> Interference (with daily activities): Not at all, Severity: Mild",Vulgar Register,Angry,5,False,False,False
"""I am currently experiencing painful urination, a condition which I have not assessed in terms of severity, and moderate acne, which has been affecting my skin to a noticeable extent.""","['Painful urination', 'Acne']","Painful urination (attributes: Severity) , Acne (attributes: Severity)","Painful urination -> Severity: Not applicable ,  Acne -> Severity: Moderate",Formal Register,Neutral,3,False,True,False
"""Ugh, I'm literally stuck with watery eyes that are so bloody annoying, they're interfering with my daily activities like I'm a total mess, and honestly, it's super frustrating because they're as severe as it gets, I mean, I'm basically crying all day, my eyes are all red and puffy, I've got discharge and crusting, it's like I've got perpetual tears streaming down my face, I'm constantly rubbing my eyes to try and get some relief, but it's like they're stuck in this watery nightmare, and I'm so sick of it, I just want my eyes to be normal again, is that too much to ask?""",['Watery eyes'],"Watery eyes (attributes: Interference (with daily activities), Severity)","Watery eyes -> Interference (with daily activities): Somewhat, Severity: Very severe",Informal Register,Insulting,5,False,True,False
