Dialogue,True_Symptom,Extracted_Symptom
"""I am experiencing a slight difficulty in achieving and maintaining an erection, but it is not a significant issue at present.""",['Achieve and maintain erection'],Achieve and maintain erection
"""I'm experiening some kind of fatigue, I gess, where I feel like I'm losin engergy or somethin, especialy when I'm doin day to day stuff, like takin a shower or gettin dressed, it's like my boddy is just kinda... meh, not really bothered, but at the same time, I dont feel like doin anything, if you know what I mean, it's like I'm just kinda... stuck, but not really tired, if that makes sens.""",['Fatigue'],Fatigue
"""I'm experincing sever nosebleeds thats happend only one time, but it was extremly bad, and i've also got alot of strech marks on my body thats kinda scaring me.""","['Nosebleed', 'Stretch marks']","Nosebleed, Stretch marks"
"""I am currently experiencing symptoms of hives, severe interference with concentration which significantly affects my daily activities, and moderate blurred vision that moderately hampers my daily routines.""","['Hives', 'Concentration', 'Blurred vision']","Hives, Concentration, Blurred vision"
"""Oh no, I'm freaking out, I've got these awful symptoms, I'm vomiting like, um, not really, but I'm not gonna lie, it's a thing, and I'm so itchy, like, seriously, it's severe, I'm literally scratching myself raw.""","['Vomiting', 'Itching']","Vomiting, Itching"
"""My condition is characterised by a lack of energy which does not significantly interfere with my daily routine, accompanied by darkened skin which is not relevant to this form.""","['Fatigue', 'Skin darkening']",Darkened Skin
"""U got me with this Memory thing, it's like my brain's a mess, cant even rember what I did yesterday, it's interferin with my daily activites big time, I'm talkin total chaos, like I'm 50 yrs old or somethin, and dont even get me started on the severity, thats just a joke, not applikable, u get me?""",['Memory'],Memory
"""I've been experiening some issues with my feet and eyes, I've got ridges on my nail's and my eyes get a little watery sometimes, but it's not that bad, I can stil go about my day, but I'm not shure whats causin it.""","['Nail ridging', 'Watery eyes']",
"""It appears that my shoes are currently suffering from a moderate cacophony of incessant clanging, which is somewhat tolerable, although it would be quite beneficial if they could also address the rather severe and debilitating diminution of their culinary inclinations, whereby their gastronomical interests are being severely restricted, to the point where it is rather inconvenient for them to participate in even the most mundane daily activities.""","['Ringing in ears', 'Decreased appetite']",Decreased appetite
"""My stomach's been doing this weird thing where it hurts a little bit, but not super bad, only like once in a while, and it doesn't really stop me from doing anything, but it's still pretty annoying.""",['Abdominal pain'],Abdominal pain
"""Severe Bloating, Feeling Extremely Full and Tight, Constant Cramps and Discomfort, Difficulty Swallowing, Feeling Sick to My Stomach, Swelling in My Abdomen, Feeling Like I'm Going to Explode, Can't Breathe Properly, Feeling Anxious and Scared, Having to Lie Down Frequently, Feeling Weak and Tired, Feeling Like I've Been Hit by a Truck, Having to Rush to the Bathroom Frequently, Feeling Like I'm Going to Pass Out.""","['Bloating', 'Painful urination']",
"""Looks like I've got a real treat, doc, my shoes are all messed up, got these annoying visual thingys floatin around and I'm just fartin away like a pig, no big deal, I guess.""","['Visual floaters', 'Gas']",
"""Alas, my shoes, how wretched you are, beset by the triple curse of nocturnal ejaculations that come with the frequency of a man possessed, yet you are as dry as the Sahara desert's skin, devoid of even a hint of moisture, a desolate landscape that screams for hydration, and now, your throat, a path I dare not tread, constricted by the moderate grip of dysphagia, as if a tiny hand has taken hold, refusing to let go, a woeful state, indeed.""","['Ejaculation', 'Skin dryness', 'Difficulty Swallowing']","Skin dryness, Bed/pressure sores"
"""I'm freaking out, my feet are killing me, I've got swelling in my legs that's making it super hard to walk, I'm anxious all the time, I'm having some minor issues with peeing, but thankfully my nails are still intact.""","['Anxious', 'Swelling (arms or legs)', 'Painful urination', 'Nail loss']","Bed/pressure sores, Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)"
"""Diminished Desire, Fading Embers, Apathy, Disconnection, Emotional Detachment, Lack of Passion, Inner Despair, Hollow Feelings.""",['Decreased libido'],"Decreased libido, Achieve and maintain erection"
"""I am presently experiencing a condition where my fingernails and toenails are exhibiting a noticeable discoloration, with the nail plates displaying a distinct change in colour, specifically a shift from their normal healthy hue to a more pale or yellowish tint, which is a relatively recent development that has become more pronounced over the past fortnight.""",['Nail discoloration'],Nail discoloration
"""Me shoes be gettin' darker, tastin' like nothin' but sugar, and they be makin' me so anxious I be wanna stay in bed all day!""","['Skin darkening', 'Taste Changes', 'Anxious']",Blurred vision
"""Ugh, I've got this annoying shoe that's got me feelin kinda weird, it's got nothin goin on with this itchyness thingy, but the missin of my period is defo not applicable, I mean, I'm a dude, get it? And, omg, I gotta pee like 5 times a day, it's kinda annoyin, but I dont wanna say how often, and my shoe's just not sweatin like usual, idk, maybe it's just lazy or somethin.""","['Itching', 'Missed expected menstrual period', 'Urinary frequency', 'Decreased sweating']",
"""Oh woe is me, my stomach doth protest with a moderate murmur, a little bit of discontent doth creep into my daily existence, a faint whisper of hunger doth taunt me, but alas, my mouth doth refuse to utter a single morsel, as if my very soul doth shudder at the thought of sustenance, and, oh cruel fate, my bladder doth betray me with an occasional, yet insidious, urgency, a whispered warning of impending doom, a reminder that my fragile form doth teeter on the brink of a most unseemly, a most distressing, a most severe and unrelenting perspiration, a sweat that doth cling to my very pores like a damp, cold shroud, a constant, creeping dread that doth seep into my every waking moment.""","['Decreased appetite', 'Urinary urgency', 'Increased sweating']","Nausea, Vomiting, Decreased appetite, Weight loss"
"""Oh, cruel fate that hath beset me, with my womb in silent protest, my bowels in stubborn refusal to move, and my skin a canvas of unsightly stretch marks, like scars of a life unlived, my period's absence a dark and foreboding omen, my constipation a bitter pill to swallow, and my stretch marks a constant reminder of my own mortality, and I am left to seethe with rage and frustration, my body a battleground, my mind a maelstrom of misery, and I will not be silenced, I will not be ignored, I will not be placated with empty words and half-hearted promises, I demand answers, I demand action, I demand relief from this torturous existence!""","['Missed expected menstrual period', 'Constipation', 'Stretch marks']","Stretch marks, Constipation"
"""Interference with daily activities, a moderate yet unexplained disturbance, no recurring bouts, a moderate yet vague discomfort.""",['Abdominal pain'],Fatigue
"""I'm freaking out, my boobs are super swollen and sore, like they're gonna explod or somethin, it's severe, and it's been goin on for a while now, and it's makin me super anxious, like, i'm gettin anxious just thinkin about it, it's kinda interferin with my daily life, but not too much, i mean, i'm still gettin by, but it's just, ugh, i dont no what's goin on with my body, it's all just so overwhelmin""","['Breast swelling and tenderness', 'Anxious']",Breast swelling and tenderness
"""Me shoes don't get nosebleeds, they're just a bit drippy now and then, no big deal.""",['Nosebleed'],Nosebleed
"""Severe Abdominal Pain, causing Interference with daily activities, never occurring but when it does it is extremely severe, resulting in: Sharp, stabbing, and cramping sensations in the upper and lower abdomen, Feeling of being severely sick and nauseous, Difficulty walking or standing due to intense discomfort, Feeling of being extremely anxious and fearful, Difficulty concentrating or thinking clearly, Frequent trips to the bathroom to relieve the pain, Feeling of being extremely weak and fatigued, and a general feeling of being severely unwell.""",['Abdominal pain'],Abdominal pain
"""i've got this weird stuff goin on, i feel like i'm losin all appitite for, you know, the romantic stuff, its like my libido just dissapeard, i dont know whats goin on with my body, i got these bruises evrywhere, i mean, not really, i think i forgot to answer that question, but yeah, i'm pretty sure i got some, and my girlfriend says i'm doin somethin wrong, but i dont know whats goin on, and the worst part is, i cant even, you know, finish things off, its like my body just shuts down, and to make things worse, i'm gettin nosebleeds all the time, like, almost constantley, its like my nose is tryin to bleed out or somethin, but its not that bad, just a lil annoying.""","['Decreased libido', 'Bruising', 'Unable to have orgasm', 'Nosebleed']",
"""My shoes, beset by the vicissitudes of time, display the telltale signs of a life well-lived, their supple leather now etched with the silvery lines of experience, a map of the trials I have endured, while my very feet, the foundation of my being, dance upon the precipice of existence, buffeted by the tempests of dizziness, a maelstrom that swirls with a ferocity that is both severe and all-consuming, yet, in a curious paradox, leaves me, for the most part, to navigate the quotidian routines of life with only a little bit of trepidation.""","['Stretch marks', 'Dizziness']",
"""I've been experiening quite a bit of vaginal discharge, it's been comming out pretty fast and its a white-ish color, not too smelly but its definately there, and it's been happing for the past few days, I've tried to clean my self up good but it just keeps comming back.""",['Vaginal discharge'],Vaginal discharge
"""My sexual performance has been hindered by an uncharacteristic delayed orgasm, while my nasal passages have been subjected to infrequent yet excruciatingly severe nosebleeds.""","['Delayed orgasm', 'Nosebleed']",
"""I'm experiencing an extremely severe cough that's interfering with my daily activities to a great extent, making it almost impossible for me to do anything without feeling completely drained, and on top of that, I've developed nail ridging, which is a noticeable ridging or lifting of my nail plate, indicating some kind of underlying issue that needs immediate attention.""","['Coughing', 'Nail ridging']","Coughing, Nail ridging"
"""Alas, my poor shoes, beset by the cruel whims of fate, now suffer from a woefully inadequate supply of oxygen, as if a gagging hand had clutched my very breath, leaving me gasping like a landed fish, unable to stroll with the leisurely pace I once knew; and, to add insult to injury, a pounding drumbeat in my temples, a maddening migraine that strikes with all the subtlety of a sledgehammer, occasionally, but with a persistence that's nothing short of a personal affront; and, to cap it all, a stomach that's as empty as a beggar's purse, a severe and gnawing hunger that's quite a bit of a nuisance, a constant reminder that my very essence is as dry as the Sahara, and all this, I dare say, is a fitting punishment for the crimes I've committed, which, I suppose, include eating one too many slices of pizza and neglecting to water my poor, parched soul.""","['Shortness of breath', 'Headache', 'Decreased appetite']","Headache, Nausea, Concentration"
"""Apparently my poor excuse for a body's got a major issue, it can't even be bothered to have an orgasm, like, ever, and don't even get me started on the stench it's giving off, it's like a dumpster fire in here, I'm pretty sure my sweat glands are on strike or something.""","['Unable to have orgasm', 'Body odor']","Body odor, Unable to have orgasm"
"""Mouth/throat sores: Painful blisters, Swollen glands, Difficulty swallowing, Bad breathe, Somewhat interferes with daily activites.""",['Mouth/throat sores'],Mouth/throat sores
"""Regrettably, my vision has deteriorated to an unacceptable degree, rendering it a Herculean task to accomplish even the most mundane daily activities, as if a thick veil of obscurity has been draped over my line of sight, completely obscuring the world around me, and rendering every endeavour a daunting, if not altogether futile, exercise.""",['Blurred vision'],Fatigue
"""My poor shoe, worn down by the weight of woes, beset by Moderate Headaches that rarely intrude, yet still manage to impede my daily stride, while my Wheezing, a gentle whisper, is none at all, a silence that belies my inner turmoil, my irregular periods/vaginal bleeding, a mystery that lies beyond my grasp, and my Fatigue, a weary heaviness that settles quite a bit, a Moderate weight that threatens to drag me down, with each step, a struggle to keep pace.""","['Headache', 'Wheezing', 'Irregular periods/vaginal bleeding', 'Fatigue']",
"""My shoes seem to have a raspy voice, the leather is kinda dry and cracky, and they're always on edge, especialy when I try to walk.""","['Hoarseness', 'Skin dryness', 'Anxious']",
"""Listen up, you bloody doctor, my shoes are aching all over, can't walk more than a few feet without needing to catch my breath, which is like trying to suck in a bloody helium balloon, it's all a bit too much, and to top it off, my shoes' muscles are sore, but let's just say they're not exactly 'feeling the pain' today, if you know what I mean.""","['General pain', 'Shortness of breath', 'Muscle pain']",
"""My bodily functions seem to be in disarray, with a strong, unpleasant aroma emanating from my person, and my usual urges appear to be in a state of dormancy, both issues being quite severe.""","['Body odor', 'Decreased libido']","Body odor, Decreased libido"
"""My shoes, it appears, have developed a rather unbecoming discoloration, accompanied by an inexplicable propensity for extreme inflation, which is simply unacceptable for a pair of footwear.""","['Nail discoloration', 'Bloating']",Breast swelling and tenderness
"""I've been noticin that I've got a mild case of bad breathe, it's like my pits are doin a little dance, they're not completly stinkin me out, but I can defently smell somethin funny, it's like a mix of sweat and old socks, not too overpowerin, just a lil bit unpleasant, so I'd say it's a 6 out of 10 on the stench meter, dont wanna be too harsh, but I'm not gonna win any awards for bein fresh either.""",['Body odor'],Bad breath
"""My anxiety's been interfering with my daily life pretty often, but it's not super bad, thankfully.""",['Anxious'],Anxiety
"""Looks like I've got a pair of shoes with explosive tendencies and a nasty sunburn from a nuclear blast.""","['Gas', 'Radiation skin reaction']","Hair loss, Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)"
"""I'm experiencing a mild disturbance in my balance, which is causing a slight impairment in my daily routine, but it's not severe enough to hinder my ability to perform tasks; additionally, I've noticed a change in the color of my urine, which is now a different hue than what I'm used to, indicating an alteration in my body's normal functioning.""","['Dizziness', 'Change in usual urine color']","Nausea, Vomiting"
"""I'm experiencing some discomfort, my mouth feels a bit dry, but I don't think it's a big issue, and as for other symptoms, I'm not really comfortable discussing that right now.""","['Dry Mouth', 'Ejaculation']",Dry Mouth
"""I've been experiancing some pretty scary symptons lately, especily fatigue thats been interfearing with my daily activites somwhat and dry mouth thats been actuallly pretty mild, but its stil got me worried sick.""","['Fatigue', 'Dry Mouth']","Fatigue, Dry Mouth"
"""I experience occasional, involuntary ejaculation with rare frequency.""",['Ejaculation'],Ejaculation
"""i'm havin a real issu with my bodi right now, i got this dizzyness that's a real pain in the arse, its like i'm walkin around in a bleary-eyed stupor, cant do nothin without gettin all wobbly and near passin out, its extremly bad, like i'm on the verge of collapsin, and dont even get me started on my ejaculation, thats completly gone, havnt had a boner in ages, its like my bodi's decidid to just shut down the whole thing, no frequency at all, its a total no-go, i'm gettin all worked up just thinkin bout it.""","['Dizziness', 'Ejaculation']","Dizziness, Ejaculation"
"""I don't know why I'm fillin' this out, but I guess I got a weird reaction from my shoe, it's like, swollen and hurts to walk in it, I think I need to see a doc about it.""",['Pain and swelling at injection site'],Swelling (arms or legs)
"""I havnticly notisd that Ive ben losin a bit of hair, its not a lot, just somethin, I'd say its about half of whats usual, I dont no whats causin it, its just happenin.""",['Hair loss'],Hair loss
"""I'm experiancing a rather unsettling condition where the corners of my mouth are cracking, and to make matters worse, I'm feeling a little fatigued, though I dare not ask how severe it actuallly is.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Fatigue']","Cracking at the corners of the mouth (cheilosis/cheilitis), Fatigue"
"""Apparently, my shoes seem to be experiencing some bizarre issues, what with the constant thumping in the left sneaker, due to the frequent, yet mildly annoying, heart palpitations that I'm apparently experiencing, and the dark stains on the right sneaker, which I'm pretty sure are just a side effect of my skin darkening, because, you know, that's a thing, and the occasional leak from the sole, which I'm guessing is just my urinary urgency trying to make its presence known, a little bit, occasionally, because, honestly, who doesn't have a little bit of incontinence now and then?""","['Heart palpitations', 'Skin darkening', 'Urinary urgency']","Skin darkening, Heart palpitations, Urinary urgency"
"""Swollen arms and legs, which be gettin' in the way of my daily activities, hurtin' a moderate amount, and happenin' all the time.""",['Swelling (arms or legs)'],Swelling (arms or legs)
"""Me shoes got a bad case a' the dreaded 'T's: me peepers be watery from all the cummin' out too often, me legs be weak from all the restin', me whole body be achin' somethin' fierce, and I got a nasty red rash all over me feet!""","['Ejaculation', 'Fatigue', 'General pain', 'Rash']","Breast swelling and tenderness, Dizziness, Gas"
"""my shoes is gettin all bloated and sore, got these nasty stretch marks on em, its like they got pregnet or somethin, dont even get me started on how embarrasin its to walk aroun with this kinda thing happenin to my poor shoes!!""","['Breast swelling and tenderness', 'Stretch marks']","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain), Bloating"
"""I'm getting really dizzy when I stand up too fast, or even when I'm walking, and it's making it hard for me to do normal stuff, it's moderate, I feel like I'm gonna pass out.""",['Dizziness'],
"""Oh man, I'm gettin a real bad case of Hand-foot syndrom, my hands and feet are all red and sore, there's crackin and peelin everywhere, it hurts so bad when I walk or do anything, I'm gettin blisters and it feels like my skin is goin to peal off, I'm so scared I'll get an infekshun or somethin, I dont know what to do, I've never had anythin like this befor, it's like my whole body is on fire, I'm gettin these big red patches on my palms and soles, I'm startin to freak out, I just want it to go away!""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)']","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)"
"""I'm experiancing hives and insomnia, the hives arnt presant but the insomnia is interfearing with my daily actvities very much and is moderatly sevre.""","['Hives', 'Insomnia']","Hives, Insomnia"
"""I'm experinicing a pretty bad case of radiation skin reaction, my skin is lookin like its been through a war, its red and sore, and dont even get me started on the skin darkening, i dont have any of that, thats just great, and to top it all off, i'm havin trouble concentratin, i can barely focus on my daily activities, its like my brain is foggy and i'm feelin quite a bit of interference, but the good news is that my concentration is not that severe, i mean, i'm still able to function, just barely.""","['Radiation skin reaction', 'Skin darkening', 'Concentration']","Radiation skin reaction, Skin darkening, Concentration problems"
"""Alas, my poor sole, it seems thou hast been afflicted with a trifling case of 'Vitriolic Toes', wherein thy nails, those delicate and lovely flowers, have withered away, leaving thee a pitiful, bare, and forlorn thing, like a beggar's foot, unworthy of the noble arches that support my weighty, yet wretched, body; and, to make matters worse, thy intimate companion, that most sensitive of organs, hath been rendered as scarce as a poet's wit, its rare and fleeting appearances a cruel jest, a mockery of the tender affections that once bound us together; and, as if these two afflictions were not enough, thy joints, those sturdy pillars that support the weight of my miserable existence, have been reduced to a mere mockery of their former selves, aching and throbbing with a severity that would make even the most hardened of souls weep, their frequent and persistent protests a constant reminder of my own frailty and decrepitude.""","['Nail loss', 'Ejaculation', 'Joint pain']",
"""As I wander through the twilight of my days, my weary soul succumbs to the crushing weight of fatigue, a moderate malevolence that interferes with the gentle dance of daily activities, leaving me a shadow of my former self, while in the secret chambers of my heart, a dark and foreboding presence whispers of a delayed orgasm, a yes, a solemn and haunting affirmation that echoes through the desolate landscapes of my being.""","['Fatigue', 'Delayed orgasm']",
"""I am experiencing a considerable amount of hair loss.""",['Hair loss'],
"""I'm experiening hot flashes somtimes, my urine looks normal, havnt noticed any rash, but im feelin kinda anxious somtimes which is kinda botherin me.""","['Hot flashes', 'Change in usual urine color', 'Rash', 'Anxious']",
"""I'm literally ejaculating almost constantly, like every single minute, it's getting ridiculous, I'm talking about 500 times a day, it's non-stop, I'm so sick of it, it's not just the frequency, it's the lack of control, I'm ejaculating during the day, at night, even when I'm just sitting there, it's like my body's on autopilot, I'm ejaculating in my sleep, I'm ejaculating when I'm stressed, when I'm happy, when I'm bored, it's like my body's lost all sense of reason, I'm ejaculating so much I've lost count, it's like a never-ending nightmare, I'm so fed up with it, I just want some peace, some quiet, some control over my own body, but no, it's like my body's decided to take over, and I'm just along for the ride, it's absolute madness, I'm ejaculating so much I've started to feel like I'm losing my mind, it's like I'm trapped in some kind of sick joke, I'm ejaculating non-stop, it's like my body's on a never-ending loop, I'm so done with it, I just want it to stop, please just make it stop.""",['Ejaculation'],Ejaculation
"""Man, I'm feelin' like I've got my shoes stuck in the mud - my mouth is super dry, like the Sahara desert, and I'm leakin' pee everywhere, like a toddler who can't hold it in, it's happenin' almost all the time, and it's really gettin' in the way of my daily life, like I'm constantly worried about losin' control, it's a real pain!""","['Dry Mouth', 'Urinary incontinence']","Dry Mouth, Urinary incontinence"
"""I'm affrid of havin a mind that dont rememba nothin, and now my skyns got these horrid stripy marks, its like i'm losin my grip on reality!!""","['Stretch marks', 'Memory']","Skin darkening, Memory"
"""I'm experiencing some weird stuff, like I've got a rash that I'm kinda hesitant to talk about, but it's not really bothering me that much, and then there's these mouth and throat sores that are somewhat of a nuisance, but I can still eat and talk, and on top of that, my nails are looking a bit ridged, but they're not actually ridged, they're just normal.""","['Rash', 'Mouth/throat sores', 'Nail ridging']","Rash, Mouth/throat sores, Nail ridging"
"""I am presently experiencing fatigue, which appears to be interfering with my daily activities to a slight extent, though I must admit that I am somewhat reluctant to disclose the exact severity of this issue, and, in addition, I am also suffering from painful urination, which I would characterise as moderate in severity.""","['Fatigue', 'Painful urination']","Fatigue, Painful urination"
"""General pain: Somewhat interferes with daily activities, mild severity, never experienced; Missed expected menstrual period: yes; Urinary urgency: somewhat interferes with daily activities, rarely experienced.""","['General pain', 'Missed expected menstrual period', 'Urinary urgency']","Missed expected menstrual period, Urinary urgency"
"""I'm experiencing a severe case of dry mouth, where my mouth feels extremely parched and uncomfortable, making it difficult to swallow and talk, and simultaneously, I'm having frequent and quite bothersome urinary urgency, which is significantly interfering with my daily activities, requiring me to rush to the restroom quite often.""","['Dry Mouth', 'Urinary urgency']","Dry Mouth, Urinary urgency"
"""My shoes be gettin' wet every day, like I'm a leaky bucket, 'cause I'm always losin' control, if ya know what I mean.""",['Urinary incontinence'],"Watery eyes, Urinary incontinence"
"""Hey doc, I'm experiencing moderate heartburn that's never too frequent, but I'm also dealing with some crazy loud ringing in my ears that's super severe, and, um, I guess I'll just mention I've got some stretch marks, but that's not really relevant to my visit today.""","['Heartburn', 'Ringing in ears', 'Stretch marks']","Ringing in ears, Stretch marks"
"""A gentle maiden, once a steadfast friend, now doth whisper in a voice so mild, with periods that dance to an unheard rhythm, and a silence that falls, like a shroud, on her monthly guest.""","['Irregular periods/vaginal bleeding', 'Hoarseness', 'Missed expected menstrual period']",Hot flashes
"""Doc, I'm havin' some real issues, I'm seein' these flashin' lights everywhere, but to be honest, they ain't really flashin', they're more like just bein' there, ya know, like a constant glow, and I'm also dealin' with some pretty severe painful urination, it's like my bladder's tryin' to tell me somethin', it's gettin' all the attention, if ya catch my drift.""","['Flashing lights', 'Painful urination']","Flashing lights, Painful urination"
"""Constant conflagrations beset my form, a perpetual blaze that cannot be measured, while a certain...pungency wafts, unremarkable in its intensity.""","['Hot flashes', 'Body odor']","Hot flashes, Diarrhea, Decreased sweating"
"""My beleagured soul is tormented by the most vexing of afflictions, a malady so heinous it defies the feeble attempts of mortal men to comprehend it, wherein I am plagued by the incessant, maddening flashing lights that dance before mine eyes like a thousand fiery dervishes, their strobing pulses a symphony of anguish that threatens to consume me whole, and yet, in a cruel twist of fate, my stomach, that most finicky of organs, has seen fit to bestow upon me the gift of moderate, yet nonetheless debilitating, vomiting, a reflex so spasmodic it would put the most accomplished of contortionists to shame, a condition so grievous, so calamitous, that I am forced to wonder if the very fabric of reality itself is not unraveling before mine eyes.""","['Flashing lights', 'Vomiting']",
"""My shoes have been experinshing a considerable amount of perspiration, occuring quite frequently, with a moderate level of intensity, resulting in a slightly damp and clammy feel, especialy during the warmer parts of the day.""",['Increased sweating'],Increased sweating
"""I'm experiencing moderate heart palpitations, with a rash that thankfully isn't present, but I'm still frustrated with this whole situation.""","['Heart palpitations', 'Rash']",Fatigue
"""One would think that a cursory glance at my medical history would reveal a modicum of information, but alas, it appears that my'muscle pain' is merely a trifling inconvenience, a minor impediment to my otherwise illustrious daily routine, while my 'irregular periods/vaginal bleeding' are a veritable parade of symptoms, a cacophony of discomfort that one might expect to find in a medical textbook, and as for my 'nail loss', I suppose it's simply too distressing to be bothered with the particulars, but rest assured, it's a pressing concern, really.""","['Muscle pain', 'Irregular periods/vaginal bleeding', 'Nail loss']",
"""I get these crazy hot flashes like, super rarely, but when they hit me, they're super bad, like my whole body is on fire, sweating like crazy and stuff.""",['Hot flashes'],
"""As I wander through life, my soul is beset by the cruel whims of fate, my skin scorched by the radiant beams of sunlight, my ardor extinguished by the severe drought of desire, my cranium throbbing with a headache that whispers secrets in my ear, and my bladder, a restless drumbeat, urging me to seek relief with an insistent frequency that disrupts the gentle rhythms of my daily existence.""","['Sensitivity to sunlight', 'Decreased libido', 'Headache', 'Urinary frequency']","Headache, Urinary urgency"
"""Alas, my poor shoe's got a bit of a raspy voice, Moderatey, I suppose, but it's got a MIND like a steel trap, Very severely, it remembers everythng, Not a single day passes without it reminding me of my own ineptitude.""","['Hoarseness', 'Memory']",
