Dialogue_Generated,Symptoms,Description,Meta,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
"""Yer, I've got some funky stuff goin' on - my skin's gettin' all darkened, like I've been spendin' too much time outdoors, and I've got mouth/throat sores that don't bother me too much, but they're there, y'know?""","['Skin darkening', 'Mouth/throat sores']","Skin darkening (attributes: Presence/Absence) , Mouth/throat sores (attributes: Interference (with daily activities), Severity)","Skin darkening -> Presence/Absence: Yes ,  Mouth/throat sores -> Interference (with daily activities): Somewhat, Severity: None",Vulgar Register,Friendly,2,False,True,False
"""Me arse, I'm wheezin' like a bloody asthmatic donkey, it's mild, so it's not like I'm dyin' or anyfing, but it's still annoyin'.""",['Wheezing'],Wheezing (attributes: Severity),Wheezing -> Severity: Mild,Vulgar Register,Insulting,3,False,False,False
"""Look at me, I'm a walking bruise fest, got blue and purplish marks all over, dont no if its from the fall or just my life in general, cant even get a decent pair of shoes.""",['Bruising'],Bruising (attributes: Presence/Absence),Bruising -> Presence/Absence: Not applicable,Neutral/Standard Register,Insulting,3,False,False,True
"""I am experiancing a compleat and utter failure in the area of Achieveing and Maintaining Erection, a phenomina which is absolutly Not Applicable to my current state, in that I am unable to attain or sustaine a proper erection, a condition which is extremly frustraiting and causng me great distress.""",['Achieve and maintain erection'],Achieve and maintain erection (attributes: Severity),Achieve and maintain erection -> Severity: Not applicable,Formal Register,Angry,4,False,True,True
"""I'm experiening some skin issues, like my skin is super dry and flaky, especialy after i had some radition therpy, but its not that bad, its just mild, my doc says, and my erections arent really a concernt for me right now, but i did have some issues with gettin em in the past, and i'm also gettin these sudden urges to pee, but they dont really interupt anything, i can just go when i need to, so its all good.""","['Skin dryness', 'Radiation skin reaction', 'Achieve and maintain erection', 'Urinary urgency']","Skin dryness (attributes: Severity) , Radiation skin reaction (attributes: Severity) , Achieve and maintain erection (attributes: Severity) , Urinary urgency (attributes: Interference (with daily activities), Frequency)","Skin dryness -> Severity: Prefer not to answer ,  Radiation skin reaction -> Severity: Mild ,  Achieve and maintain erection -> Severity: Not applicable ,  Urinary urgency -> Interference (with daily activities): Not at all, Frequency: Never",Informal Register,Neutral,4,False,False,True
"""My shoes are currently experiencing mild flavor changes, are extremely sensitive to UV exposure, are feeling quite unstable and causing me to lose my balance very often, and are having severe stomach issues that I'd rather not discuss in detail.""","['Taste Changes', 'Sensitivity to sunlight', 'Dizziness', 'Nausea']","Taste Changes (attributes: Severity) , Sensitivity to sunlight (attributes: Presence/Absence) , Dizziness (attributes: Interference (with daily activities), Severity) , Nausea (attributes: Frequency, Severity)","Taste Changes -> Severity: Mild ,  Sensitivity to sunlight -> Presence/Absence: Not applicable ,  Dizziness -> Interference (with daily activities): Very much, Severity: Severe ,  Nausea -> Frequency: Prefer not to answer, Severity: Very severe",Neutral/Standard Register,Neutral,2,False,False,False
"""Alas, my poor cranium, bereft of its former glory, now lies exposed, a barren wasteland where once a lush tapestry of tresses flourished, and I, a pitiful wretch, am left to survey the ravages of time, which have stripped me of my locks, leaving naught but a desolate expanse of scalp, a testament to the ravages of my receding hairline, which, I dare say, has been ravaged by the cruel hand of fate.""",['Hair loss'],Hair loss (attributes: Amount),Hair loss -> Amount: Very much,Poetic/Literary Register,Insulting,3,False,False,False
"""Look at my poor shoes, they're basically hoarse, I mean, they're still talking, but they've got this annoying, raspy voice, like someone poured acid down their throat, and, to make matters worse, their sole is super dry, like the Sahara desert, I'm not even kidding, it's so parched, I'm surprised they haven't cracked yet, and don't even get me started on their insides, it's like they're stuck in a perpetual drought, ugh, I'm starting to feel bad for them.""","['Voice quality changes', 'Vaginal dryness']","Voice quality changes (attributes: Presence/Absence) , Vaginal dryness (attributes: Severity)","Voice quality changes -> Presence/Absence: No ,  Vaginal dryness -> Severity: Moderate",Informal Register,Insulting,5,False,False,False
"""My dear fellow, I seem to be experiencing a rather peculiar condition, whereby my personal hygiene is not quite up to par, despite my best efforts, and, I'm afraid, my sleep patterns are quite disrupted, significantly impacting my daily routine.""","['Body odor', 'Insomnia']","Body odor (attributes: Severity) , Insomnia (attributes: Interference (with daily activities), Severity)","Body odor -> Severity: None ,  Insomnia -> Interference (with daily activities): Quite a bit, Severity: Severe",Formal Register,Friendly,2,False,False,False
"""I'm a pretty average guy, but lately I've been noticing some weird stuff - I've got some dark marks on my skin, I bruise pretty easily, and sometimes I leak a bit when I'm not expecting to.""","['Stretch marks', 'Bruising', 'Urinary incontinence']","Stretch marks (attributes: Presence/Absence) , Bruising (attributes: Presence/Absence) , Urinary incontinence (attributes: Interference (with daily activities), Frequency)","Stretch marks -> Presence/Absence: No ,  Bruising -> Presence/Absence: Yes ,  Urinary incontinence -> Interference (with daily activities): A little bit, Frequency: Occasionally",Informal Register,Neutral,2,False,False,False
"""The patient is experiancing a mild condition of vaginal dryness, with no noticable discomfort or distress, accompaned by an unremarkable reduction in persperation, indicatind a possiblity of a mild hormonal imbalance or an underlying medicall condition.""","['Vaginal dryness', 'Decreased sweating']","Vaginal dryness (attributes: Severity) , Decreased sweating (attributes: Presence/Absence)","Vaginal dryness -> Severity: None ,  Decreased sweating -> Presence/Absence: Yes",Formal Register,Neutral,5,False,False,True
"""My shoes, once faithful companions, now suffer the slings of an anxious existence, their soles worn by the weight of my occasional, yet severe, interference with the mundane tasks of daily life, a little bit of doubt seeping into the crevices of their leather, a constant reminder of the turmoil that besets my very being.""",['Anxious'],"Anxious (attributes: Interference (with daily activities), Frequency, Severity)","Anxious -> Interference (with daily activities): A little bit, Frequency: Occasionally, Severity: Severe",Poetic/Literary Register,Angry,5,False,False,False
"""Looks like you've got a mouth that's drier than my aunt's wit and a bladder that's more sensitive than a teenager's ego.""","['Voice quality changes', 'Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Painful urination']","Voice quality changes (attributes: Presence/Absence) , Cracking at the corners of the mouth (cheilosis/cheilitis) (attributes: Severity) , Painful urination (attributes: Severity)","Voice quality changes -> Presence/Absence: Prefer not to answer ,  Cracking at the corners of the mouth (cheilosis/cheilitis) -> Severity: Not applicable ,  Painful urination -> Severity: None",Informal Register,Insulting,1,False,False,False
"""Look, I'm tryin' to fill out this form and you're askin' me to describe my symptoms, but honestly, I'm not even feelin' that bad, I mean, I've got some issues, but they're not like, life-threatening or anythin', I've got difficulty swallowin', like, it's a tiny bit hard, but I'm not chokin' or anythin', just a minor thing, and then there's this painful urination, but it's not like I'm bleedIN' or anythin', it's just a little discomfort, so, can't you just, like, take it easy on me and just write down that I'm fine or somethin'?""","['Difficulty Swallowing', 'Painful urination']","Difficulty Swallowing (attributes: Severity) , Painful urination (attributes: Severity)","Difficulty Swallowing -> Severity: None ,  Painful urination -> Severity: None",Informal Register,Angry,4,False,False,False
"""Oh, woe is me, my epidermis doth wither away, a parched and cracked expanse, a severe desiccation that doth assail my very skin, leaving it a dry and flaky husk, while in my bowels, a strange and unsettling calm hath taken hold, a constipation of eerie silence, a void that doth mock my very fears.""","['Skin dryness', 'Constipation']","Skin dryness (attributes: Severity) , Constipation (attributes: Severity)","Skin dryness -> Severity: Severe ,  Constipation -> Severity: None",Poetic/Literary Register,Fearful,4,False,False,False
"""Voice quality changes: Changes in Voice Pitch, Difficulty Speaking Clearly, Feeling of Hoarseness, Vocal Fatigue, Vocal Strain, Voice Breaks, Voice Catches, Voice Becomes Weak, Vomiting: None, as I've never experienced it.""","['Voice quality changes', 'Vomiting']","Voice quality changes (attributes: Presence/Absence) , Vomiting (attributes: Frequency, Severity)","Voice quality changes -> Presence/Absence: Yes ,  Vomiting -> Frequency: Never, Severity: Prefer not to answer",Neutral/Standard Register,Friendly,2,True,True,False
"""I'm experiening a rather distressing condition wherein my breithing becomes laboured, making it extremly dificult for me to engage in even the most mundane of daily activites, such as taking a stroll or even simply conversing, and the severity of this shortness of breith is nothing short of severe, leaving me feeling rather fatigued and short of breith, especialy after exersing myself or climbing stairs.""",['Shortness of breath'],"Shortness of breath (attributes: Interference (with daily activities), Severity)","Shortness of breath -> Interference (with daily activities): Somewhat, Severity: Severe",Formal Register,Friendly,4,False,False,True
"""I'm feelin' a bit rough, got some dryness at the corners of my mouth, my belly's been achin' somethin' decent, but it's not too bad, and I'm losin' a lot of hair.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Abdominal pain', 'Hair loss']","Cracking at the corners of the mouth (cheilosis/cheilitis) (attributes: Severity) , Abdominal pain (attributes: Interference (with daily activities), Frequency, Severity) , Hair loss (attributes: Amount)","Cracking at the corners of the mouth (cheilosis/cheilitis) -> Severity: None ,  Abdominal pain -> Interference (with daily activities): Somewhat, Frequency: Occasionally, Severity: None ,  Hair loss -> Amount: Very much",Vulgar Register,Neutral,2,False,False,False
"""I've been experinencin a right ol' mess with my peepers, mate, got watery eyes, ya know, like they're always on the brink of overflowin, makin it dificult to do even the simples things, like watchin the telly or readin a book, without gettin a bit of a sting in 'em, and it's not even that bad, just a bit of a mild annoyance, but still, it's a right nuisance, got watery eyes, and they're gettin all runny, like I've been cryin or somethin, but I ain't, I swear, it's just my eyes bein a bit wonky, and it's happenin a lot, like, very much, I'd say, it's a regular thing now, so if ya don't mind, could ya please help me out with this pesky problem, cheers!""",['Watery eyes'],"Watery eyes (attributes: Interference (with daily activities), Severity)","Watery eyes -> Interference (with daily activities): Very much, Severity: Mild",Vulgar Register,Friendly,5,False,True,True
"""I'm experiencing a range of unsettling symptoms, including a decreased libido that I'm hesitant to discuss, a severe loss of appetite that's interfering with my daily routine to a great extent and is extremely severe, a peculiar but non-disruptive hoarseness, infrequent but unsettling hot flashes that I'm not comfortable discussing, and a dry mouth that's not causing any noticeable issues.""","['Decreased libido', 'Decreased appetite', 'Hoarseness', 'Hot flashes', 'Dry Mouth']","Decreased libido (attributes: Severity) , Decreased appetite (attributes: Interference (with daily activities), Severity) , Hoarseness (attributes: Severity) , Hot flashes (attributes: Frequency, Severity) , Dry Mouth (attributes: Severity)","Decreased libido -> Severity: Prefer not to answer ,  Decreased appetite -> Interference (with daily activities): Very much, Severity: Very severe ,  Hoarseness -> Severity: None ,  Hot flashes -> Frequency: Rarely, Severity: Prefer not to answer ,  Dry Mouth -> Severity: None",Neutral/Standard Register,Fearful,4,False,False,False
"""I'm experiancing Heartburn - Severe belching and burning in my chest, Rarely happenin, but it's super painful. And Urinary urgency - I have to pee alot, but it's not like I have to go all the time, it's just that when I do go, it's kinda of a rush, Somewhat interferin with my daily activites, but I'm managin.""","['Heartburn', 'Urinary urgency']","Heartburn (attributes: Frequency, Severity) , Urinary urgency (attributes: Interference (with daily activities), Frequency)","Heartburn -> Frequency: Rarely, Severity: Severe ,  Urinary urgency -> Interference (with daily activities): Somewhat, Frequency: Never",Informal Register,Fearful,3,True,False,True
"""Occasional, yet all-consuming Waves of Malaise, Unrelenting Vomiting, Overwhelming Discomfort, and a Sense of Being Besieged by an Unseen Force, with Rare but Torturous Episodes that Leave Me Breathless and Disoriented.""",['Nausea'],"Nausea (attributes: Frequency, Severity)","Nausea -> Frequency: Rarely, Severity: Very severe",Poetic/Literary Register,Confused,5,True,False,False
"""I'm having some weird stuff goin' on, like I see flashes of light when I'm not lookin', my voice is a bit scratchy but it's not that bad, I get the occasional hiccup but it's no big deal, my muscles are achin' a bit but it's not hurtin' me that much, and I'm havin' some issues gettin' it on with my partner, but that's about it, I guess.""","['Flashing lights', 'Hoarseness', 'Hiccups', 'Muscle pain', 'Delayed orgasm']","Flashing lights (attributes: Presence/Absence) , Hoarseness (attributes: Severity) , Hiccups (attributes: Frequency, Severity) , Muscle pain (attributes: Interference (with daily activities), Frequency, Severity) , Delayed orgasm (attributes: Presence/Absence)","Flashing lights -> Presence/Absence: No ,  Hoarseness -> Severity: None ,  Hiccups -> Frequency: Never, Severity: Mild ,  Muscle pain -> Interference (with daily activities): Not at all, Frequency: Prefer not to answer, Severity: Moderate ,  Delayed orgasm -> Presence/Absence: Yes",Vulgar Register,Neutral,3,False,False,False
