Dialogue,True_Symptom,Extracted_Symptom
"""decreased libidio: no sex drive at all, no intrest in sex, dont feel like havin sex even with my wife, insomnia: cant sleep at all, wakin up every hour, cant concetrate during the day, my mind is allways racin, havent slept in wieks, my body feels like its been put thru a wringer, my mind is mush, i feel like i havnt slept in yrs, my day is allmost over and i stil havnt slept, cant remember the last time i had a good nites sleep, feel like a zombie, my brain is allways foggy, cant think strait, my mood is allmost always bad, my wife says i m a diffrent person now, i dont know whats happnin to me, my body feels like its been through a war, my mind is allways racin, cant sleep at all, my day is allmost over and i stil havnt slept, cant rember the last time i had a good nites sleep, feel like a zombie, my brain is allways foggy, cant think strait, my mood is allmost always bad, my wife says i m a diffrent person now, i dont know whats happnin to me, my body feels like its been through a war, my mind is allways racin, cant sleep at all, my day is allmost over and i stil havnt slept, cant rem","['Decreased libido', 'Insomnia']",
"""My cough is a wee bit of a nuisance, but it's not too bad, I can still get around, I suppose.""",['Coughing'],
"""Me swallowing's as slick as a politician's promise, don't ask me how bad it is, I ain't tellin'.""",['Difficulty Swallowing'],
"""No symptoms of bloating have been experienced.""",['Bloating'],
"""I be experiencin' a considerable degree of urinary incontinence, where I be losin' control over me bladder, interferin' somewhat with me daily activities, and it be happenin' almost constantly, like me bladder be actin' like a leaky faucet, and on top of that, I be dealin' with some itchiness, but I be not too keen on discussin' the severity of it, if you catch my drift.""","['Urinary incontinence', 'Itching']",
"""I am experiening a rather puzzling set of sympotms, includinng Nosebleeds which occur with great frecuency, though the severity is non-existent, Nail discoloration which is apparantly present, a rather annoyin Hiccup which afflicts me occassionally with moderate severity, and Joint pain which interfers somewhat with my daily activites, manifesting it self rarely, but with very severe sympotms.""","['Nosebleed', 'Nail discoloration', 'Hiccups', 'Joint pain']",
"""My mouth's been gettin' all cracked at the corners, and I'm gettin' these headaches that hit me almost constantly, but they ain't too bad, just a nuisance.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Headache']",
"""Got a mild case of difficulty swallowin', like my food's stuck in my throat, but I guess it's not that bad, I can still choke it down.""",['Difficulty Swallowing'],
"""The womans vulva is experinshing a mild lack of lubrication, I supose.""",['Vaginal dryness'],
"""No big deal, my voice is still the same, no changes or anything.""",['Voice quality changes'],
"""I'm experiancing these godforaken sores in my mouth and throat that are so bad they're interruping my daily life, I mean I cant even eat without excersing excrusiating pain and now my fingernails are completly gone, not even a single one is left, and on top of all this I'm hearing this annoying ringing in my ears that's not even that bad, I mean it's just a mild nuisance but honestly, can't I just have one thing go right for once?""","['Mouth/throat sores', 'Nail loss', 'Ringing in ears']",
"""I'm experiencing moderate interference with my daily activities, which is a bit of a puzzle to me, as I'm not entirely sure what's causing it, but I'd say it's affecting me about half the time, and when it does, it's not severe, but rather just a general feeling of being a bit sluggish, like my body's batteries are running low, but I'm not sure if it's related to my diet, sleep, or maybe even my mood, but it's definitely impacting my ability to do things, like going for a walk or even just getting out of bed in the morning, which is kind of frustrating, to be honest.""",['Fatigue'],
"""Discolouration and Thickening of Fingernails, Difficulty Walking due to Joint Pain, Inflammation at the Injection Site, Swollen and Red Skin.""","['Pain and swelling at injection site', 'Nail ridging']",
"""I am presently experincing a most inconsiderate and unbecoming condition, wherein my stomach, in a fit of obstinacy, chooses to betray me with occassional and utterly insignifcant bouts of heartburn, which, I might add, are utterly devoid of any discernible severity, a trifling nuisance, if you will, and, quite frankly, a minor irritation, whereas my personal hygiene, I am compelled to observe, has been, of late, marred by a most distressing and distressing case of body odour, which, I dare say, is, at this juncture, only mildly pronounced, a trifle, I suppose, but, nonetheless, a source of considerable vexation and perturbation to myself.""","['Heartburn', 'Body odor']",
"""I dont no whats goin on with my bodie but I got these thingies on my bodie thats like welts or sumthin, they dont hurt or ennythin, they just ther, on my bottom and back, like I been sittin on a rock or enny rock for to long, I dont no how long they been ther or ennythin, I just no they arnt goin away, they arnt itchy or red or ennything, they just ther, like a part of me or ennything.""",['Bed/pressure sores'],confidence
"""My concentration has been severely impaired, to the point where it's now interfering with even the most mundane daily activities, like being able to put my shoes on without having to be reminded to do so, because apparently, my brain has decided to stage a protest against its own functionality.""",['Concentration'],
"""I am experiencing a worrisome situation, as I have missed my expected menstrual period, and I am deeply concerned about the potential underlying causes, such as hormonal imbalances, polycystic ovary syndrome, or even pregnancy, which could be contributing to this irregularity, and I am experiencing a mix of anxiety and fear as I await a medical evaluation to determine the root cause of this missed period.""",['Missed expected menstrual period'],
"""I'm experiencing irregularities with my menstrual cycle, severe mouth irritation, and mildly affecting vision.""","['Missed expected menstrual period', 'Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Blurred vision']",
"""I'm experiencing quite a bit of interference with my daily activities due to a rare headache that I'm not really comfortable discussing, and I've also been noticing that I sweat a lot more frequently than usual, but it's only mildly severe.""","['Headache', 'Increased sweating']",
"""I'm not sure what's goin' on, but I've got this weird combo of stuff happenin' - I'm gettin' these flashin' lights, but they're not really flashin' or anythin', I just wrote 'no' so I guess that means I'm not gettin' 'em; I smell pretty bad, like moderate bad, not super stinky or anythin', but I'm pretty sure that's not normal; peeing hurts a bit, not too much, but it's like, moderate hurt, I dunno; and, weirdly, I'm super sensitive to sunlight, like, it's like lookin' directly at the sun or somethin'.""","['Flashing lights', 'Body odor', 'Painful urination', 'Sensitivity to sunlight']",
"""My lips are literally falling apart, got these nasty cracks at the corners, it's moderate pain, like, I can feel it when I eat or drink, and on top of that, I'm losing my hair, it's not a lot, but it's like, somewhat noticeable, not like I'm bald or anything, but it's enough to make me feel like I'm losing my mind.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Hair loss']",
"""I must confess that my state of being 'Sad' has been manifesting in a most peculiar manner, as it appears to be causing quite a bit of interference with my daily activities, yet paradoxically, this affliction has never presented itself frequently, and its severity is, I dare say, severe.""",['Sad'],
"""I'm havin a problum with my shoe, it's got a lot of white stuf cummin out of it, dont no whats causin it, and it aint really affectin me, but sometimes i feel a little bit tired, like i cant put enuf effort to tie its lace.""","['Vaginal discharge', 'Fatigue']",
"""Oh, the dreadfull plight, my bladder doth protest with ceaseless cries, never a moment's peace, as it doth call upon me, with an urgency most cruel, to heed its summons, again and again, and again, my daily life, a constant, maddening refrain.""",['Urinary frequency'],
"""Your urine's peculiar hue, a mystery I shall not unravel, nor shall I sully the pages of this form with an answer so mundane.""",['Change in usual urine color'],
"""I am experiening a bit of confusment regarding my foot, as I beleev I have developed a rather peculier condition, wherein my shoe is afflicted with a slight itching sensation, which I would rate as non-existant, however, I have also noticied that my shoe has sustaned a certain amount of bruising, as indicated by the presence of several discolorations, I am not quite shure what to make of this, but I thought it best to bring it to your attention, as one never knows when a shoe may develop such an unusual set of symptoms.""","['Itching', 'Bruising']",
"""My shoes are ailing, with pesky floaters dancing in ther eyes, a foul stench that wont dissapear, and a vaginal discharge that dosent exsist, oh the horror!""","['Visual floaters', 'Body odor', 'Vaginal discharge']",
"""My feet ar goin crazy with numbness & tingling, cant even walk rite cuz its interferin with alot of my daily activites!!""",['Numbness & tingling'],
"""I'm experiencing severe dry mouth and moderate constipation, I'm not really sure what's going on.""","['Dry Mouth', 'Constipation']",
"""Severe Headache, Interference with daily activities is quite a bit, never experienced but when present it is severe.""",['Headache'],
"""Alas, my poor phallus, a vessel of fleeting desires, seems to defy its own purpose, for the task of achieving and maintaining that most delicate of erections proves a riddle, a mystery that escapes my grasp, a conundrum of unanswerable questions, and thus, I must confess, its severity remains a void, a blank slate, a mystery that refuses to be penned.""",['Achieve and maintain erection'],
"""My blasted shoes are feelin' quite a bit interfered with, occasionally, and I'd rather not say how much, by this wretched discouragement, which is keepin' me up all night, very much, with moderate sleep deprivation, and it's a real pain, but at least they don't have any stinkin' body odor, and I'm not seein' any flashin' lights, thank the gods.""","['Discouraged', 'Insomnia', 'Flashing lights', 'Body odor']",
"""My shoes are feelin kinda stuck, havent eaten much in a wile and when i do, its hard to get it down, and dont no wut happend to my keys or wut i had for brekfast this mornin.""","['Constipation', 'Difficulty Swallowing', 'Memory']",
"""Me shoes are feelin' a bit stinky, like they got a bad case of BO goin' on, and when I try to put 'em on, I gotta swallow me tongue, and when I breathe, I hear a weird wheezin' sound, like the soles are gettin' a little winded.""","['Body odor', 'Difficulty Swallowing', 'Wheezing']",
"""As I wander through the labyrinth of my daily routine, my mind is beset by the unwelcome guest of Concentration, its interference quite pronounced, yet its severity a void, a chasm that defies quantification; and Anxiety, that insidious thief, steals away my tranquility, its frequency a relentless drumbeat, its severity a dark and foreclosed door that I dare not open.""","['Concentration', 'Anxious']",
"""I do believe my shoes are suffering from a most distressing case of urinary incontinence, with its incessant and almost constant urgings rendering it utterly incapable of participating in even the most mundane of daily activities, such as being placed in a neat row or polished to a satisfactory sheen, without the unfortunate consequence of involuntary leakage occurring at the most inopportune of moments.""",['Urinary incontinence'],
"""Me and my lady's nether regions are gettin' along just fine, moderate dryness, not too bad, not too good, just a nice, even, arid landscape, if you catch my drift.""",['Vaginal dryness'],
"""Alas, my poor shoe, it doth suffer a most confounding plight, beset on one side by the unpredictable whims of ejaculation, on another by the noxious fumes of gas that doth refuse to be contained, its sole afflicted by the spasmodic contractions of hiccups, and its very essence assaulted by the piercing din of ringing in the ears, a cacophony of woes that doth leave me, its poor owner, utterly bewildered.""","['Ejaculation', 'Gas', 'Hiccups', 'Ringing in ears']",
"""Me shoes be gettin' all sorts o' troubles, like me ears ringin' like a church bell, me voice gone hoarse like a frog, me breath gettin' all short like I'm runnin' from a pack o' wolves, and me bowels be actin' up like a churnin' milk bucket, frequently, oh dear lord have mercy on me!""","['Ringing in ears', 'Hoarseness', 'Shortness of breath', 'Diarrhea']",
"""I am experiencing the unfortunate symptoms of Fecal incontinence, Change in usual urine color, and Hoarseness, with the former causing no significant interference with my daily activities and never occurring, the latter not being present, and the former's severity being, quite frankly, none of your business.""","['Fecal incontinence', 'Change in usual urine color', 'Hoarseness']",
"""The patient experiening Breast swelling and tenderness is presenting with the following symptoms: Swollen Breasts, Tender Breasts, Itching, and other symptons. Additionally, the patient is also experiening Itching, which is described as: Itching.""","['Breast swelling and tenderness', 'Itching']",
"""Tormented by a moderate hellfire that scorches my loins, and a dark, unyielding force that seizes my soul, yet I dare not speak its name.""","['Painful urination', 'Ejaculation']",
"""I'm experiening some unfortunat diffikulties with my oral cavity, I have mouth/throat sores that ar quite pesky, especialy whn I try to eat or speak, and I also have some bruising that I'd rather not discus, if you dont mind.""","['Mouth/throat sores', 'Bruising']",
"""I've got mild pain when i do the deed, and my bod is smellin kinda bad, like moderate BO.""","['Pain with sexual intercourse', 'Body odor']",
"""In the rare and fleeting moments of ejaculashun, my body's rhythem is disrupted, yet I find no visible scars, no stretch marks to mar my skin, a paradox of bodily expresions, a tale of two truths, where the first whispers of pleasure are met with the silence of imperfection.""","['Ejaculation', 'Stretch marks']",
"""Silent wounds, like unspoken truths, my skin doth bear the weight of unasked questions.""",['Bed/pressure sores'],
"""I'm experiencing mild mouth/throat sores that aren't interfering with my daily activities, but it's still unsettling.""",['Mouth/throat sores'],
"""I'm feelin like my shoes r gettin all dry and cracky on the outside (thats wht my skin is like, super dry) but on the inside, its like my pee r tryin to escape from a tiny little room with no door, its like nothin (painful urination dont seem to be a big deal, lol) but my heart is goin haywire, its like it never stops racin, but when it does, its like its tryin to jump outta my chest (heart palpitations r a real thing, even tho they never happn) and sometimes i feel like i'm goin to barf all over my shoes (vomiting is a thing, but its not like, super common) and my voice is all raspy like a old guy's, like i've been screamin all day (hoarseness is a thing, but not really applicable to me, idk) ""","['Skin dryness', 'Painful urination', 'Heart palpitations', 'Vomiting', 'Hoarseness']",
"""I experience quite a bit of severe general pain that interferes with my daily activities, but it's not something that happens very often.""",['General pain'],
"""I'm experiening: Radiation skin reaction - redness, sweling, blisters, and itchiness all over my bodi; Vaginal dryness - mild discomft; Painful urination - sever burning sensation while pissin.""","['Radiation skin reaction', 'Vaginal dryness', 'Painful urination']",
"""My bladder's incessant cries, a woeful refrain, shattering peaceful hours, a constant, gnawing pain.""",['Urinary frequency'],
"""I seem to be suffering from a rather peculiar affliction, wherein my shoes, much like myself, appear to be experiencing a most distressing and altogether unremarkable condition, characterized by an occasional and entirely inconsequential discomfort, specifically a mild, yet hardly noteworthy, vexation, during the act of being worn, which, I dare say, has not, in any way, significantly impacted my daily activities, nor, indeed, has it caused any considerable distress, beyond the faintest whisper of a twinge, which, I assure you, is hardly worth mentioning.""","['Pain with sexual intercourse', 'Discouraged']",
"""These mouth/throat sores are an absolute nuisance, causing me considerable distress and severely impairing my daily functioning.""",['Mouth/throat sores'],
"""Mild wheezing, like me breathin' through a tiny straw, but no big deal, right?""",['Wheezing'],
"""Redness, Itching, Swelling, Raised Bumps.""",['Hives'],
"""Vaginal dryness, flashing lights, urinary incontinence.""","['Vaginal dryness', 'Flashing lights', 'Urinary incontinence']",
"""As I traverse the realms of my daily existence, a moderate murmur of malodor wafts from my bodily orifices, a gentle yet persistent reminder of my mortal coil's imperfections.""",['Body odor'],
"""My poor peepers are all foggy like a misty mornin, and my anxious heart is a-flutter like a bird in a cage, with a moderate dose of worry that's got me feeling rather queasy.""","['Blurred vision', 'Anxious']",
"""A moderate muddle befell me, as if the very axis of my existence had been subtly shifted, rendering the most mundane tasks, such as rising from my bed, an exercise in delicate balance, though the world around me remained steadfast, a paradox that left me moderately perplexed.""",['Dizziness'],
"""Severe, Rare, and Interfering Headache: Severe Pain, Rare Occurrences, Daily Life Disruption; Mild, Interfering Insomnia: Restless Nights, Mild Discomfort, Daily Life Disruption.""","['Headache', 'Insomnia']","Severe, Rare, and Interfering Headache, Mild, Interfering Insomnia"
"""I'm experiencing Fatigue due to Very severe interference with daily activities, Memory issues due to A little bit interference with daily activities, and Nosebleeds that are Frequently occurring with no associated discomfort.""","['Fatigue', 'Memory', 'Nosebleed']",
""" I'm experiening Bed/pressure sores which are present, Erection issues that dont realy apply to me, and Bruising which I'd prefer not to discus.""","['Bed/pressure sores', 'Achieve and maintain erection', 'Bruising']",
"""Increased Frequency of Ejaculation, with episodes occurring at unpredictable intervals, without discernible pattern or precipitating factors; and Heart palpitations, manifested by Rare and Mild occurrences, characterized by a gentle acceleration of the heart rate, without any significant disruption of daily activities.""","['Ejaculation', 'Heart palpitations']",
"""My schlong's been acting wonky, got a very bad case of decreased gettin' it on, and I'm shootin' blanks almost all the time.""","['Decreased libido', 'Ejaculation']",confidence
"""Verily, my stomach doth churn with a ceaseless tumult, vomiting forth its bitter bile in anguish, a woeful affliction that doth beset me almost constantly, with severity that doth rival the fiercest tempests.""",['Vomiting'],
"""Alas, my once-reliable feminine cycle hath deserted me, a barren and unforgiving silence now reigns where gentle periods once flowed, a void that gnaws at my very soul, while my heart, a rebellious drum, beats with a ferocity that threatens to consume me, its very severe palpitations a constant, maddening reminder of my body's treacherous betrayal.""","['Missed expected menstrual period', 'Heart palpitations']",
"""My skin's looking pretty chill, just a tiny bit of acne that's not really bothering me, but my memory's been a bit wonky lately, I've been forgetting stuff that's moderately annoying, like where I put my keys or what I had for breakfast.""","['Acne', 'Memory']",
"""I am experiencing mild discomfort due to a dry mouth and, I must confess, I am somewhat apprehensive about the state of my nails, which seem to be exhibiting some ridging.""","['Dry Mouth', 'Nail ridging']",
"""My shoes are experiancing extreem fatigue, as they are being continously worn out and are unable to perfom their daily functions to the best of their abilities, due to the excessive strain they are under, which is having a very much interference with their usual routine, however, I must admit that they are not experiancing any sever pain or discomfort, as their pain levels are not applicable, and they are not experiancing any decrease in their libidio, as that is not applicable either, but I do notice that they are having some issues with diarrhoea, as they are occasionally experiancing loose stools, which is quite frustraiting, I must say.""","['Fatigue', 'General pain', 'Decreased libido', 'Diarrhea']",
"""I'm havin a fit, got flashin lights in my eyes all the time, hiccupin like a damn jackrabbit, and my voice is soundin like a freakin dying cat, argh!""","['Flashing lights', 'Hiccups', 'Voice quality changes']",
"""My sex drive has been significantly impacted, with moderate frustration resulting from the persistent decline in my sexual interest.""",['Decreased libido'],
"""I'm experiencing urinary frequency that's occasionally disrupting my daily routine, somewhat affecting my ability to function, and now I've got a very severe decrease in libido that's causing me significant distress, but what really has me at my wit's end is this recurring nosebleed that I'm not even going to bother answering the frequency and severity questions about because it's just that infuriating.""","['Urinary frequency', 'Decreased libido', 'Nosebleed']",
"""Ah, my shoes, a woeful pair, afflicted with a tongue that's gone awry, its flavors dulled, a dullness that's not applicable, a numbness that's not worth my while, while my muscles, a pair of mighty warriors, ache with a ferocity that's very severe, a pain that's occasionally visited upon me, a plague that's not at all a hindrance to my daily pursuits, for I, a master of my domain, can still walk with ease, despite the fact that my shoes are suffering.""","['Taste Changes', 'Muscle pain']",
"""I don't rightly recall how to explain this, but seems like I'm havin' some kinda... trouble, y'know, when I'm, uh, 'do it' with my significant other, it's like there's this... discomfort, like a sharp pinch, but only when we're, ah, you know, in the act, and it's not there at other times, and I'm gettin' all mixed up, 'cause I'm not sure if it's just my imagination or what, so, if you could, like, help me out, that'd be great.""",['Pain with sexual intercourse'],
"""Alas, I find myself beset by the cruel whims of Urinary frequency, which, I confess, doth rarely disturb my daily rounds, yet Joint pain, that most insidious of companions, doth cling to me with fervent tenacity, afflicting me with its Moderate severity, and Very much, disrupting the gentle flow of my daily activities.""","['Urinary frequency', 'Joint pain']",
"""Are you kidding me, I'm here with nail loss and you're asking if it's present or absent, like it's some kind of joke, my nails are literally falling off, okay, so I'm gonna say not applicable because what's the point of saying yes or no when you're clearly not taking this seriously.""",['Nail loss'],
"""I dont no whats goin on but i got dis wheezin thingy thats kinda mild i guess, like i sound like a kazoo when i breth, not too bad but enuf to be annoyin""",['Wheezing'],
"""My poor shoes, worn by the weight of my sagging soul, with stretch marks of time etched upon their once-pristine leather, now suffer the slings of outrageous fortune, their laces frayed by the bitter tides of my discouraged heart, which occasionally rebels against the mundane, leaving me to stumble through life with a severe sense of disquiet, and in the dim recesses of my vision, a host of visual floaters dance, like tiny, maddening devils, taunting me with their presence.""","['Stretch marks', 'Discouraged', 'Visual floaters']",
"""Regrettably, I have been experiancing a rather distressing set of sympotoms, which includ wheezing, a condition wherein I have noticied a slighty audible, yet not overly discomfiting, hissing sound in my chest, however, I must admit that this is not a major consern for me at present; on the other hand, I have been facng considerable dificulty with concentratng on my daily activites, as the sympotm of concentration dificulties has been interfearing with my abiltiy to focuse and complet tasks, and I must admit that the severity of this sympotm is, quite frankly, not somethng I wish to discuss at this time.""","['Wheezing', 'Concentration']",
"""Dark, Cloudy, Yellow, Brown, Red, Green, Milky, Tea-Colored Urine.""",['Change in usual urine color'],
"""I am experiening Urinary frequencey, which is interfearing with my daily activites somewhat, along with Hives which I prefer not to answe, and a mild Coughing that dos not interfear with my daily activites at all.""","['Urinary frequency', 'Hives', 'Coughing']",
"""I'm experiencing very severe itching that's been keeping me up at night, the sensation is unbearable and I'm worried it might be a sign of something serious.""",['Itching'],
"""I'm experiencing difficulties with intimacy and I've also noticed some discoloration on my nails, although I'm not sure if that's relevant.""","['Unable to have orgasm', 'Nail discoloration']",
