Dialogue,True_Symptom,Extracted_Symptom
"""I occasionally experience a nosebleed, the severity of which I prefer not to disclose.""",Nosebleed,
"""Constant pounding in my brain, non-stop throbbing that won't let me sleep, or even think straight, making me unable to do anything else but lay here and complain about it.""",Headache,
"""Mine Ears are a symphonie of annoyence, a cacophony of displeasure, a ringing of infernal bells, and i dare not say how much, for it's a secret i'd rather keep from the likes of you.""",Ringing in ears,
"""In the stillness of my days, my limbs, like swollen rivers, gently impede my passage, a mild and occasional trespass on my daily stride.""",Swelling (arms or legs),
"""My shoes are killin me, i get these severe pains occassionally in my feet and legs, it makes it kinda hard to walk, espescially when i'm doin alot, but it dont stop me completly.""",General pain,
"""O, woe is me, with sores in mouth/throat, they do interfier with daily activites quite a bit, a plague upon my tastebuds, and a hinderance to my merry mien.""",Mouth/throat sores,
"""Urinary Incontinence - Inability to Control Urine Flow, Frequent and Urgent Need to Urinate, Accidents and Leaks, Interference with Daily Activities, Difficulty in Maintaining Personal Hygiene, Emotional Distress and Anxiety, Social Isolation and Embarrassment.""",Urinary incontinence,
"""I'm experiencing moderate joint pain that interferes very much with my daily activities, occurring occasionally.""",Joint pain,
"""My blasted joints are actin' up, achin' like the blazes, occasionally knockin' me off my feet, but I can still get around, just can't do much of nothin' without wantin' to rip my own skin off, it's like someone's stuck a hot poker in there and won't let me be.""",Joint pain,
"""Due to the fact that I have not experienced a significant decrease in libido to be concerned about, and I don't have any further information to provide regarding this symptom, I'm going to leave this field blank for now.""",Decreased libido,
"""I'm havin a real bad time with vomitin, its like my stomach is churnin somethin awful, I dont no how ofen it happins, its just a weird feelin that comes outta no where, I feel like I'm goin to be sick all the time, its like my body is tryin to get rid of somethin, but I dont no what, its a real scary feelin, I'm gettin a lot of pain in my stomac and I feel like I'm goin to pass out, its a bad situation, I'm so worried about this, I just hope it stops soon!""",Vomiting,
"""I've been experiencing severe chills that occur extremely rarely, manifesting as an intense, sudden, and short-lived sensation of extreme coldness that hits me with little to no warning, often leaving me feeling quite uncomfortable and shaken, but fortunately, this happens so infrequently that it's become almost an anomaly in my otherwise normal daily life.""",Chills,confidence
"""My hiccups, they be a maddening mist, a vaporous vapour that doth beset me with spasmodic sobs, very severe, I dare say, though the frequency of these fitful interruptions doth remain a mystery, a cipher to be deciphered, a riddle wrapped in an enigma, and I, a hapless sufferer, am left to ponder the why and the wherefore of this most vexing affliction.""",Hiccups,
"""I'm experiencing frequent episodes of joint pain, but it's not severe, and it only interferes with my daily activities a little bit, mainly when I'm doing things that require a bit of exertion.""",Joint pain,
"""Fiery sores, like mocking jesters, dance upon my tongue, their cruel whispers a reminder of the fleeting peace I've lost.""",Mouth/throat sores,
"""I experiance feelings of Sadness, it interfears with my daily activites, it happends frequently, and its extremly severe, I feel Overwhelmed, Hopeless, Tearfull, Irritable, Loss of Appetite, Difficulty Sleeping.""",Sad,
"""My blasted foot's got general pain that's only botherin' me somewhat, but it's never happenin', so what's the point?""",General pain,
"""I am experiencing considerable discomfort, as my muscles, on occasion, exhibit moderate levels of affliction, which, I must confess, significantly impede my ability to engage in daily pursuits, albeit not with excessive regularity, but certainly to a considerable extent.""",Muscle pain,confidence
"""Constantly hacking up a lung, can't even breathe without coughing up a lung, interferes with my daily activities more than my ex interferes with my sanity, and honestly, I'd rather not think about how bad it is.""",Coughing,
"""I'm experiencing very severe heartburn, which is quite uncomfortable.""",Heartburn,confidence
"""My muscle pain is a constant companion that interferes with my daily activities quite a bit, manifesting itself frequently in mild episodes of soreness and stiffness, particularly in my lower back and legs, making it hard to walk, sit, or even stand for long periods without feeling some discomfort.""",Muscle pain,
"""As I wander through the dark expanse of my existence, my abdomen protests with a cacophony of anguish, its pain a relentless drumbeat that thunders through my very being, a maelstrom of discomfort that assails me with every step, every breath, every heartbeat, its grip so tight, so unyielding, that I am forced to surrender to its will, my daily activities reduced to mere whispers of their former selves, as the agony, a fiery serpent, coils around my core, its venom coursing through my veins, a burning reminder that I am not alone in this desolate landscape, for my abdomen, a rebellious and unforgiving monarch, rules with an iron fist, its decrees of pain and discomfort issued with ruthless precision, leaving me to tremble in its shadow, a supplicant to its capricious whims, a prisoner of its merciless design.""",Abdominal pain,
"""I've got severe discouragement, it's a bloody nightmare that's always there, interferes with nothing, but still feels like it's killing me.""",Discouraged,
"""Fie upon these feet that trouble me so, for anxiety's pesky grasp doth interfere with daily deeds, a frequent and maddening foe.""",Anxious,
"""I am experiancing these detestable 'floaters' in my vison, apparantly they are small dark specks that appear in my eye sight, I dare not speculate on ther freqency or severity, but I assure you ther presence is a most distressing affliction.""",Visual floaters,
"""My joints ache almost constantly, making it somewhat hard to do daily stuff, and it's pretty severe.""",Joint pain,
"""Memory - Total Recall of Past Insults, Severe Disregard for Present Instructions, Unrelenting Desire to Forget Entire Medical History.""",Memory,
"""Interference with daily activities due to anxiety - Somewhat: Trouble sleeping, Difficulty concentrating, Increased heart rate, Sweaty palms, Rapid breathing, Restlessness, Irritability, Feeling on edge.""",Anxious,
"""Occasional but super intense tummy aches that kinda ruin my day.""",Abdominal pain,
"""As my slumbering soul is beset by the weight of wakefulness, I find myself ensnared by the tender threads of insomnia, a gentle yet persistent intruder that weaves a subtle tapestry of restlessness, its mild severity a whispered promise of nocturnal unease, a little bit of which seeps into the fabric of my daily existence, a soft infiltration that subtly disrupts the harmony of my waking hours.""",Insomnia,
"""No visible stretch marks.""",Stretch marks,
"""Anxious thoughts, Restlessness, Difficulty concentrating, Feeling on edge, Irritability, Insomnia, Rapid heartbeat, Sweating, Trembling.""",Anxious,
"""I've got Occasional Heartburn, dont no whats causin it, havin bouts of Chest Pain, Stomach Discomfort, Difficulty Swallowin, and feelin like food is stuck in my throat.""",Heartburn,
"""My shoes are feelin alot of anxiety somtimes when im walkin they get a littel nervous and its hard for me to focus on the road ahead but its not like they cant walk or enything its just that they get a littel worried about what might happin next.""",Anxious,
"""I'm constantly in agony, can't even walk to the kitchen without wincing in pain, my back and legs ache all the time, it's like someone's stabbing me with a knife, I'm in so much pain I can barely get out of bed, I've got to take breaks just to rest, my daily routine is a struggle, I'm exhausted, it's like I've been hit by a truck, my muscles feel like they're on fire, I'm getting weaker by the day, I'm starting to lose hope.""",Muscle pain,
"""My tummy's been killing me lately, but it's not super bad, like, I can still do stuff, but it's just a mild ache that comes and goes, sometimes it's like, really annoying, but I can handle it.""",Abdominal pain,
"""My eyes get pretty watery, but it's not super bad, it's just mild, so I can still do my daily stuff, but it's annoying because it's happening quite a bit.""",Watery eyes,
"""I am experiencing a mild and intermittent affliction of Vomiting, which is characterized by an occasional and involuntary regurgitation of my stomach's contents, with a frequency of never, and I must confess, I am deeply perturbed by this distressing symptom, as it has been occurring with a severity that is merely mild, yet, it is enough to cause me considerable apprehension and trepidation.""",Vomiting,confidence
"""Intermittent, yet rarely occurring, mild Headache that significantly interferes with my daily routine, manifesting as a dull, throbbing sensation, often localized to the frontal and occipital regions, accompanied by moderate photophobia, phonophobia, and mild nausea.""",Headache,confidence
"""My shoes feel quite a bit affected by this occasional emotional pain known as Sad, with no severe impact on my ability to wear them, but it's getting in the way of my daily activities, like walking out the door.""",Sad,
"""My belly hurts all the time and its making me miss out on alot of things, i get it alot, its not too bad but its stil pretty annoyin, i feel it in my stomach and it hurts like a moderate amount, its not to the point where i cant do anything but its stil pretty bad.""",Abdominal pain,
"""My shoes r feelin super down, cant do nothin with them, happnd never but its super bad!""",Sad,
"""Breathing's a real challenge, I'm winded all the time and it's super hard to do anything.""",Shortness of breath,
"""I've been experiencing quite a bit of interference with my daily activities due to feeling discouraged, but it's never a constant issue and I wouldn't say it's something that can be rated in terms of severity.""",Discouraged,
"""Menstrual Cycles Gone Awry: Irregular Periods, Vaginal Bleeding, Unpredictable Flow, Cramping, Bloating, Mood Swings, Fatigue, Weight Gain, Anxiety, Difficulty Sleeping.""",Irregular periods/vaginal bleeding,
"""I be gettin' these wicked bouts of vomitin' that's as severe as a demon's curse, hit me maybe 1 or 2 times a week, and it's so bad it's like my insides be tryin' to rip themselves out.""",Vomiting,
"""Ugh, I'm literally sweating bullets all day, these hot flashes are so bad I don't even wanna bother counting how many I get, but I can tell you they're basically non-stop and they're making my life a living hell.""",Hot flashes,
"""Methinks I be plagued by these infernal hot flashes, which beset me with frequency, like a relentless curse, descending upon me at sundry intervals, yet, alack, their severity, I dare say, is naught but a mere trifle, a trifling annoyance, a gentle tickle, that doth not cause me undue distress, forsooth.""",Hot flashes,
"""As I wander through life, my joints cry out in anguish, a constant refrain of severe pain that dances in and out of my daily steps, a troublesome waltz that I can only hope will soon subside.""",Joint pain,
"""I'm experiencing severe dizziness that's interfering with my daily activities quite a bit, but I'm not entirely sure what's causing it or how to put my finger on it.""",Dizziness,
"""Oh, woe is me, my belly doth ache with bloating's cruel grasp, it strikes me occassionally, like a thief in the night, leaving me breathless and crippled, with severity so very severe, it's a torment that doth pierce my soul, a knell that tolls my very being, a woeful fate that doth afflict me thus, with swelling that doth mock my feeble frame.""",Bloating,
"""I'm experiencing mild itching, which is quite unsettling.""",Itching,
"""Ugh, my shoes are literally leaking all over the place, they're constantly wet and it's getting in the way of me doing my daily stuff, I'm talking about peeing on myself almost every single time I move, it's super frustrating!""",Urinary incontinence,
"""Mine anxious shoe, a tempest brews within thy sole, with daily activites a maddening strife, like a tempest that doth rage and never cease, thy interference a constant, gnawing pain, though I dare not quantify its frequency, nor can I say if severity doth even apply, yet still I feel thy weight, a heavy burden to bear, and in this torment, I am lost, a ship without anchor, tossed upon the waves of woe.""",Anxious,
"""I've been experiencing almost constant, very severe hiccups, where my diaphragm spasms approximately 20 times per minute, causing me to involuntarily inhale and exhale rapidly, resulting in a loud, sharp 'hic' sound, which is quite distressing and disrupting my daily activities.""",Hiccups,
"""My cranium throbs with a dull ache, a constant companion that never comes, a non-existant weight that hampers my every move, a quite bit of bother that refuses to cease.""",Headache,
"""Disquieting Whisperings in the Mind, Rare and Faint, No Consequences, No Weight.""",Anxious,
"""Ugh, I've got these stupid hiccups that are kicking my butt - they're happening almost constantly, like, every 2 seconds, and they're super severe, making me wanna scream!""",Hiccups,confidence
"""Me heid hurts like a sodding nightmare, its very severe, dont even get me started on the pain, its like a hammer smashin me brane, and its happnin all the time, even when im just sittin ther, doin absolutly nothin!""",Headache,
"""My shoes are feeling kinda down, they'r always affected by my mood and i cant use them alot, they'r in a pretty bad state.""",Sad,
"""I'm feelin really discouraged, its gettin in the way of my daily activities a little bit, dont happin often, but when it does its mild, its like a naggin voice in my head, always remindin me of my failures.""",Discouraged,
"""Interference with daily activities due to sadness includes: being somewhat unable to perform tasks, occasionally feeling overwhelmed, moderate mood disturbances, mood swings, irritability, decreased motivation, lack of interest in usual activities, decreased productivity, and difficulty concentrating.""",Sad,
"""I am presently experiencing a most distressing and very severe condition, wherein the corners of my mouth are afflicted with a pronounced and debilitating cracking, accompanied by a noticeable dryness and irritation, which is causing me considerable discomfort and distress, and I must stress that this condition is not only extremely painful but also aesthetically displeasing.""",Cracking at the corners of the mouth (cheilosis/cheilitis),
"""U got a right ol pair of shoes, theyre all like 'discouraged' and stuff, cant even do nothin without gettin all messed up, dont wanna say how often its happnin, but its VERRY SEVERE, got it?""",Discouraged,
"""I be experiencin' this anxiousness a lot, it's interferin' with me daily activities somethin' fierce, I'm havin' trouble doin' even the simplest t'ings, and it's happenin' with a regularity that's gettin' on me nerves, I ain't gonna say it's bad or good, it just is.""",Anxious,
"""Alas, my pitiful shoes, you creak and groan with a very severe, albeit rarely occurring, gout-like affliction, a throbbing, gut-wrenching ache that interferes with every step, every stride, every wretched move, as if the very soles of my feet have been rent asunder by some malignant force, leaving me crippled and helpless, a mere shadow of my former self, a hapless, stumbling fool, doomed to suffer the slings and arrows of outrageous fortune, with each step a tortured, anguished cry, a lament for the misery that has beset me.""",Abdominal pain,
"""Look who's asking, I've got severe swelling in both my arms and legs, it's rarely a problem for me, but it's a massive issue, I'm talking severe, can't even walk without looking like the Michelin man.""",Swelling (arms or legs),
"""Bloating: Swelling and discomfort in the abdominal area, Feeling uncomfortably full and tight, Visible swelling in the stomach, Painful and tender to the touch, Feeling nauseous and vomiting, Difficulty digesting food, Feeling anxious and irritable.""",Bloating,
"""i got these mouth/throat sores thats moderate bad, but they dont realy interfear with my daily life, its just a littel annoying""",Mouth/throat sores,
"""Disruption of Routine, Uncooperative Silences, Empty Spaces, Weightless Feelings, Hollow Echoes, Invisible Chains.""",Discouraged,
"""Ugh, my mouth is as dry as the Sahara desert, it's like I've been sucking on a cotton ball for weeks, I can barely swallow, my tongue feels like sandpaper, and I'm constantly thirsty, it's so bad that I've been waking up in the middle of the night with a parched throat, my very severe dry mouth is driving me crazy!""",Dry Mouth,
