Dialogue_Generated,symptom,description,meta,language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors
" ""I have been having difficulty swallowing for the past few days. It started with small amounts of food getting stuck in my throat, but now it is getting worse and I have to take several bites to get the food down.""",Difficulty Swallowing,Severity,Prefer not to answer,Formal Register,Neutral,4,False,False,False
" ""Food gets stuck in my throat and I have to cough to get it out.""",Difficulty Swallowing,Severity,None,Vulgar Register,Friendly,1,True,False,False
" ""I have been having difficulty swallowing for the past few days. It feels like there is a lump in my throat and I have to swallow several times before it goes down.""",Difficulty Swallowing,Severity,Not applicable,Formal Register,Fearful,3,False,True,False
" ""I can't swallow properly, doc. It's like there's a big ol' lump in my throat all the time. Food gets stuck halfway down and I gotta swallow real hard to get it down. It's gettin' worse too, doc. I'm gettin' scared.""",Difficulty Swallowing,Severity,Moderate,Vulgar Register,Friendly,4,False,False,False
" ""I've been having trouble swallowing for a few days now. It's like food gets stuck in my throat and I have to cough to get it down.""",Difficulty Swallowing,Severity,Mild,Informal Register,Friendly,2,False,False,False
" ""Food gets stuck in my throat and I have to cough to get it out. Sometimes I choke and end up coughing a lot and bringing it up. It's really scary. I have to eat really slowly and carefully and I'm always worried that I'll choke again. It's really frustrating because I love eating out with my friends but I'm always worried that I'll choke in front of them. I've tried to lose weight because I thought that might help but it didn't. I'm really worried about this because I'm only 20 years old and I don't want to have this problem for the rest of my life.""",Difficulty Swallowing,Severity,Severe,Informal Register,Neutral,5,True,True,False
" ""I cant even talk right now because my mouth is so dry.""",Dry Mouth,Severity,Very severe,Neutral/Standard Register,Fearful,2,False,False,True
" ""My mouth is as dry as the Sahara desert, and I can't even enjoy a good kiss with my partner.""",Dry Mouth,Severity,Not sexually active,Poetic/Literary Register,Angry,2,False,False,True
" ""I got this dry mouth thingy and it's driving me mental, ya know? It's like I can't even talk proper like, and my tongue is all sticky and stuff.""",Dry Mouth,Severity,Prefer not to answer,Vulgar Register,Confused,2,False,False,False
" ""I've got a dry mouth that won't quit, mate.""",Dry Mouth,Severity,None,Vulgar Register,Friendly,3,False,True,False
" ""I've been having a dry mouth for a while now.""",Dry Mouth,Severity,Not applicable,Neutral/Standard Register,Friendly,3,False,False,False
" ""I cant even talk right now because my mouth is so dry.""",Dry Mouth,Severity,Moderate,Neutral/Standard Register,Angry,1,False,False,True
" ""I've been having a dry mouth lately, it's really annoying.""",Dry Mouth,Severity,Mild,Neutral/Standard Register,Friendly,4,False,True,True
" ""I cant stop drooling and my mouth is all dry and sticky all the time, it's so annoying""",Dry Mouth,Severity,Severe,Informal Register,Confused,5,False,False,True
" ""My voice is but a whisper, a faint echo of what it once was, and I am left to rage against the dying of the light.""",Hoarseness,Severity,Very severe,Poetic/Literary Register,Angry,2,False,False,False
" ""I can't believe I got this bloody hoarseness, I ain't had a good shag in ages, and now I can't even properly scream at the telly!""",Hoarseness,Severity,Not sexually active,Vulgar Register,Angry,2,False,False,True
" ""You think I'm hoarse? You think I'm just whining? You think I'm just being a baby? You think I'm just being a crybaby? You think I'm just being a little girl? You think I'm just being a little boy? You think I'm just being a little kid? You think I'm just being a little baby? You think I'm just being a little whiner? You think I'm just being a little crybaby? You think I'm just being a little girl? You think I'm just being a little boy? You think I'm just being a little kid? You think I'm just being a little baby? You think I'm just being a little whiner? You think I'm just being a little crybaby? You think I'm just being a little girl? You think I'm just being a little boy? You think I'm just being a little kid? You think I'm just being a little baby? You think I'm just being a little whiner? You think I'm just being a little crybaby? You think I'm just being a little girl? You think I'm just being a little boy? You think I'm just being a little kid? You think I'm just being a little baby? You think I'm just being a little whiner? You think I'm just being a little crybaby? You think I'm just being a little girl? You think I'm just being a",Hoarseness,Severity,Prefer not to answer,Vulgar Register,Insulting,4,True,False,False
" ""I got a f**king frog in my throat, ya hear me? It's like I'm trying to talk through a f**king bag of rocks!""",Hoarseness,Severity,None,Vulgar Register,Insulting,2,False,False,False
" ""I have been hoarse for quite some time now, and it is quite annoying.""",Hoarseness,Severity,Not applicable,Formal Register,Insulting,2,False,False,False
" ""I been having this really weird hoarseness thingy going on, it's like my voice is all raspy and rough and stuff, and it's been like that for a while now, but I don't know what's causing it, I mean I haven't been screaming or anything, and I don't smoke or drink, so I don't know what's going on with my voice...""",Hoarseness,Severity,Moderate,Informal Register,Confused,5,False,True,True
" ""My voice is hoarse and I have difficulty speaking.""",Hoarseness,Severity,Mild,Informal Register,Neutral,3,True,False,False
" ""I have been experiencing a severe hoarseness for the past three days. It is very difficult for me to speak and my voice sounds very rough and strained. I tried to drink warm liquids and rest my voice but it did not help. I am very concerned about my voice returning to normal.""",Hoarseness,Severity,Severe,Formal Register,Neutral,5,False,True,True
" ""My mouth is a battlefield, with sores that are as red as a rose.""",Mouth/throat sores,Interference (with daily activities),Not at all,Poetic/Literary Register,Confused,1,False,True,True
" ""I got these blisters in my mouth and throat and it's been buggin me for a few days now. I can't even swallow properly and it hurts like hell when I try to eat or drink somethin.""",Mouth/throat sores,Interference (with daily activities),A little bit,Vulgar Register,Neutral,3,False,False,True
" ""I got these bloody sores in the back of my throat and on the inside of my mouth and it's driving me bloody crazy. I can't even swallow properly and it hurts like hell when I try to talk or eat. I'm so bloody angry about this, I can't even sleep properly at night because I keep waking up to try and swallow or because I'm so bloody uncomfortable. I'm so sick of these bloody sores and I just want them to go away already.""",Mouth/throat sores,Interference (with daily activities),Somewhat,Vulgar Register,Angry,5,False,False,True
" ""My mouth is a battlefield, with sores popping up everywhere, like tiny volcanoes erupting, and my tongue feels like sandpaper, making it hard to talk, or even eat, quite a bit.""",Mouth/throat sores,Interference (with daily activities),Quite a bit,Poetic/Literary Register,Friendly,2,False,False,True
" ""My mouth is a battlefield, with sores that pop up everywhere, and they hurt so much that I can't even eat, and I'm so tired and weak that I can't even get out of bed, and I'm so confused that I can't even remember what day it is.""",Mouth/throat sores,Interference (with daily activities),Very much,Poetic/Literary Register,Confused,3,True,True,True
" ""My mouth is a battlefield, with sores that are like tiny volcanoes, erupting with fiery pain.""",Mouth/throat sores,Severity,Very severe,Poetic/Literary Register,Neutral,2,False,False,False
" ""My mouth is a battlefield, with sores that are as red as a rose, and as painful as a thorn.""",Mouth/throat sores,Severity,Not sexually active,Poetic/Literary Register,Confused,2,False,False,False
" ""I have had these mouth/throat sores for a few weeks now and they are very painful. They are all over my mouth and tongue and some of them are open and bleeding.""",Mouth/throat sores,Severity,Prefer not to answer,Neutral/Standard Register,Neutral,4,False,False,False
" ""You think I'm a f**king idiot or what? I've got mouth/throat sores, okay? They're f**king painful and keep bleeding. I can't even eat properly because of them. I've tried everything, but nothing seems to work. I'm so f**king frustrated right now.""",Mouth/throat sores,Severity,None,Vulgar Register,Insulting,2,True,False,False
" ""My mouth is a battlefield, with trenches of pain etched into every corner, and the enemy is a virus that has taken up residence within my cells.""",Mouth/throat sores,Severity,Not applicable,Poetic/Literary Register,Confused,3,False,False,False
" ""I got these bloody sores in the back of my throat and on the inside of my mouth, and they're so painful I can't even swallow properly. What the hell is going on with me?""",Mouth/throat sores,Severity,Moderate,Vulgar Register,Fearful,2,False,False,False
" ""I have mouth and throat sores.""",Mouth/throat sores,Severity,Mild,Neutral/Standard Register,Friendly,1,True,False,False
" ""My mouth is a bloody battlefield, a war zone of sores and pain, a place where even the mightiest of warriors would weep and surrender.""",Mouth/throat sores,Severity,Severe,Poetic/Literary Register,Insulting,1,False,False,True
" ""My voice has become hoarse and rough, as if sandpaper had taken up residence in my throat.""",Voice quality changes,Presence/Absence,Not sexually active,Poetic/Literary Register,Neutral,1,False,False,False
" ""I noticed that my voice sounds hoarser than usual.""",Voice quality changes,Presence/Absence,Prefer not to answer,Neutral/Standard Register,Neutral,3,False,False,False
" ""I noticed that my voice sounds hoarse and rough.""",Voice quality changes,Presence/Absence,Not applicable,Informal Register,Friendly,3,False,True,False
" ""I noticed that my voice sounds hoarse and rough.""",Voice quality changes,Presence/Absence,No,Formal Register,Neutral,1,False,False,False
" ""I have been having a very bad voice quality for a while now, it's like my voice is hoarse and rough, and it's very annoying, I can't even speak properly, and I get very angry when I can't express myself properly.""",Voice quality changes,Presence/Absence,Yes,Neutral/Standard Register,Angry,5,False,True,True
" ""I been havin' this gut wrenchin' pain in my belly for a few days now. It's like somethin' is tryin' to rip its way outta me.""",Abdominal pain,Interference (with daily activities),Not at all,Vulgar Register,Confused,2,False,False,False
" ""I have been having some abdominal pain for a few days now, and it seems to be getting worse. It is located in the lower right side of my abdomen, and it is constant and dull. It is not very severe, but it does interfere with my daily activities a little bit. I try to ignore it and go about my day, but it is hard to do so. I hope I can get some relief from this pain soon.""",Abdominal pain,Interference (with daily activities),A little bit,Neutral/Standard Register,Friendly,4,False,False,True
" ""I have had abdominal pain for the past three days.""",Abdominal pain,Interference (with daily activities),Somewhat,Neutral/Standard Register,Neutral,2,False,False,False
" ""I have been having abdominal pain for quite a bit now and it is quite severe.""",Abdominal pain,Interference (with daily activities),Quite a bit,Neutral/Standard Register,Fearful,3,False,True,True
" ""Oh man, I got this cramp in my belly that just won't go away. It's been going on for a few days now and it's getting worse. I can't even sleep because it's so painful. I tried to eat some food but it just makes it worse. I'm starting to get worried now.""",Abdominal pain,Interference (with daily activities),Very much,Vulgar Register,Friendly,2,True,False,True
" ""My belly hurts all the time, I feel sick to my stomach, I have diarrhea, I have constipation, I feel bloated, I have stomach cramps, I feel nauseous, I have heartburn, I have acid reflux, I have indigestion, I have abdominal distention, I have abdominal tenderness, I have abdominal rigidity, I have abdominal guarding, I have abdominal mass, I have abdominal hernia, I have abdominal adhesions, I have abdominal fistula, I have abdominal abscess, I have abdominal cellulitis, I have abdominal wound dehiscence, I have abdominal incisional hernia, I have abdominal laparotomy hernia, I have abdominal laparoscopy hernia, I have abdominal umbilical hernia, I have abdominal epigastric hernia, I have abdominal umbilical hernia, I have abdominal inguinal hernia, I have abdominal femoral hernia, I have abdominal incisional hernia, I have abdominal laparotomy hernia, I have abdominal laparoscopy hernia, I have abdominal hiatal hernia, I have abdominal diaphragmatic hernia, I have abdominal splenic hernia, I have abdominal renal hernia, I have abdominal adrenal hernia, I have abdominal aortic hernia, I have abdominal iliac hernia, I have abdominal femoral hernia, I have abdominal obturator hernia, I have abdominal per",Abdominal pain,Frequency,Almost constantly,Informal Register,Confused,2,True,False,False
" ""My abdomen has been aching for a while now, but I thought it was just from eating too much spicy food, but now it feels like a knife is stabbing me in the gut.""",Abdominal pain,Frequency,Not sexually active,Poetic/Literary Register,Confused,5,False,False,False
" ""My abdomen is a cauldron of fire and brimstone, a festering wound that refuses to heal, a festering sore that will not stop festering.""",Abdominal pain,Frequency,Prefer not to answer,Poetic/Literary Register,Insulting,2,False,False,False
" ""I have been having abdominal pain occasionally for the past month now. It's usually on the lower right side of my abdomen and it's really sharp and stabbing in nature. It usually lasts for about 10 to 15 minutes and then subsides. I haven't been able to pinpoint any specific food or drink that triggers the pain but I do find that it's worse when I'm stressed out or when I'm eating spicy food.""",Abdominal pain,Frequency,Occasionally,Neutral/Standard Register,Friendly,4,False,False,True
" ""I've been shittin' blood for weeks now, you fat fuck, and I'm sick of it. I'm tired of eatin' that bland hospital food, and I'm sick of these stupid questions. Just give me some morphine and let me die already.""",Abdominal pain,Frequency,Frequently,Vulgar Register,Insulting,4,False,False,False
" ""I got this bloomin' stomach ache last night, it was so bad I couldn't sleep, it's been going on for a few days now and it's getting worse, I've tried to eat but nothing goes down, it's like a big rock is stuck in there.""",Abdominal pain,Frequency,Never,Vulgar Register,Neutral,2,False,False,True
" ""Oh my god, I have this terrible stomach pain, it's like my insides are burning and I'm always sick, I'm so scared I might have cancer or something.""",Abdominal pain,Frequency,Rarely,Informal Register,Fearful,2,False,False,True
" ""My abdomen is a cauldron of fire, a tempest of torment, a maelstrom of misery.""",Abdominal pain,Severity,Very severe,Poetic/Literary Register,Confused,4,False,False,False
" ""I have been experiencing abdominal pain for the past three days.""",Abdominal pain,Severity,Not sexually active,Formal Register,Neutral,3,False,False,False
" ""I've been having some abdominal pain for the past few days. It's been getting worse and worse, and I'm worried that it might be something serious.""",Abdominal pain,Severity,Prefer not to answer,Neutral/Standard Register,Friendly,5,False,False,False
" ""Oh f**k, I got this cramp in my gut and it's f**king killing me, I can't even move, I'm so scared, I think I'm gonna die, please help me, I'm begging you, I can't take this pain no more, I'm gonna lose my mind, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared, I'm so scared",Abdominal pain,Severity,None,Vulgar Register,Fearful,5,False,False,True
" ""i been having this pain in my tummy for a few days now""",Abdominal pain,Severity,Not applicable,Informal Register,Neutral,3,False,False,True
" ""I have been experiencing severe abdominal pain for the past three days. The pain is localized to the lower right quadrant of my abdomen and is constant in nature. It is exacerbated by movement and eating, and I have not been able to eat or sleep properly due to the pain. I have also been experiencing nausea and vomiting. I am concerned that the pain may be related to a serious medical condition, such as appendicitis.""",Abdominal pain,Severity,Moderate,Formal Register,Fearful,5,False,False,False
" ""I have been experiencing abdominal pain for the past three days.""",Abdominal pain,Severity,Mild,Formal Register,Neutral,1,False,False,False
" ""I'm surprised that you're not more concerned about my abdominal pain, seeing as how it's been going on for weeks now.""",Abdominal pain,Severity,Severe,Formal Register,Insulting,4,False,True,False
" ""I feel like I'm always bloated and gassy, and it's so annoying. I feel like I'm always farting and it's so embarrassing. I try to eat healthy and avoid beans and cabbage, but it doesn't seem to help.""",Bloating,Frequency,Almost constantly,Vulgar Register,Angry,2,True,True,False
" ""I got this bloating thing and it's been going on for a while now, but it's getting worse and worse.""",Bloating,Frequency,Not sexually active,Vulgar Register,Neutral,4,False,False,False
" ""I am feeling quite gassy and bloated, it is most unpleasant, and I hope it will subside soon, or I shall be most put out.""",Bloating,Frequency,Prefer not to answer,Formal Register,Insulting,2,False,False,True
" ""My belly feels like a bloated balloon that's about to burst.""",Bloating,Frequency,Occasionally,Poetic/Literary Register,Neutral,3,False,True,True
" ""I feel like I'm always bloated and gassy. I burp a lot and my stomach is always swollen. I'm always worried that I might have some serious health problem because I feel so uncomfortable all the time.""",Bloating,Frequency,Frequently,Informal Register,Fearful,4,True,False,True
" ""I feel as though I am a balloon that has been inflated to bursting point, yet I cannot seem to release the air within me. It is as if I am trapped in a prison of my own making, with no escape from the bloating that consumes me.""",Bloating,Frequency,Never,Poetic/Literary Register,Confused,4,True,False,True
" ""I got this bloating thing and it's so scary, I feel like I'm gonna explode, I mean I know I shouldn't eat so much but I just can't help it, I'm always hungry, and when I eat I feel like I'm gonna die, I mean I know it's not gonna kill me but it feels like it, and I'm always so gassy, I mean I know it's not a big deal but it's just so embarrassing, and I'm always so bloated, I mean I know it's not a big deal but it's just so uncomfortable, and I'm always so tired, I mean I know it's not a big deal but it's just so annoying, and I'm always so depressed, I mean I know it's not a big deal but it's just so sad, and I'm always so anxious, I mean I know it's not a big deal but it's just so scary, and I'm always so stressed, I mean I know it's not a big deal but it's just so frustrating, and I'm always so worried, I mean I know it's not a big deal but it's just so scary, and I'm always so nervous, I mean I know it's not a big deal but it's just so annoying, and I'm always so irritable, I mean I know it's not a big deal but it's just so frustrating, and I'm always so impatient, I mean",Bloating,Frequency,Rarely,Vulgar Register,Fearful,2,True,True,True
" ""I'm feeling quite gassy and bloated, you insensitive quack!""",Bloating,Severity,Very severe,Formal Register,Insulting,1,False,True,False
" ""I have been experiencing a sensation of bloating in my abdomen for the past few days. It is as if my stomach is constantly full and tight, and it is affecting my ability to sleep at night.""",Bloating,Severity,Not sexually active,Formal Register,Confused,2,False,False,True
" ""I've been feeling like a bloated pig lately, mate. I mean, I know I've been eating a lot, but I've always been able to eat a lot and not feel bloated, ya know? But now I feel like I'm always bloated, and it's really starting to get on my nerves, innit?""",Bloating,Severity,Prefer not to answer,Vulgar Register,Friendly,5,False,False,False
" ""Oh, my belly is so bloated, it feels like a balloon inside me, and it's making me so scared, I can't even sleep at night.""",Bloating,Severity,None,Poetic/Literary Register,Fearful,2,False,False,True
" ""I'm feeling so bloated right now, it's like my stomach is about to explode or something. I mean, I know I ate a lot of food last night, but this is ridiculous. I feel like I'm going to be sick or something.""",Bloating,Severity,Not applicable,Neutral/Standard Register,Insulting,5,False,False,True
" ""I have been feeling quite bloated lately, especially after meals.""",Bloating,Severity,Moderate,Formal Register,Friendly,2,False,False,False
" ""I feel like I'm always bloated and it's so annoying. I eat healthy and exercise regularly, but I still feel like I'm gaining weight.""",Bloating,Severity,Mild,Informal Register,Angry,3,False,False,False
" ""I'm so bloated I feel like I'm gonna explode, I can't even sleep at night because I'm so uncomfortable.""",Bloating,Severity,Severe,Vulgar Register,Fearful,4,False,True,False
" ""I've been shitting like a brick for weeks now, and it's getting really frustrating. I try to eat healthy and drink plenty of water, but nothing seems to work. I'm so bloated all the time, and I feel like I'm always constipated. It's really affecting my mood.""",Constipation,Severity,Very severe,Vulgar Register,Angry,3,True,True,False
" ""I cant poop for days now, its like a rock in my ass, and its so painful to try and push it out, I'm scared I'll get sick or something, I cant sleep at night because I'm so worried about it, I cant eat because I'm so constipated, I cant even have a bowel movement, I'm so scared, I dont know what to do, I cant take this anymore, I'm so scared, I cant sleep, I cant eat, I cant poop, I'm so scared, I cant take this anymore, I'm so scared, I cant sleep, I cant eat, I cant poop, I'm so scared, I cant take this anymore, I'm so scared, I cant sleep, I cant eat, I cant poop, I'm so scared, I cant take this anymore, I'm so scared, I cant sleep, I cant eat, I cant poop, I'm so scared, I cant take this anymore, I'm so scared, I cant sleep, I cant eat, I cant poop, I'm so scared, I cant take this anymore, I'm so scared, I cant sleep, I cant eat, I cant poop, I'm so scared, I cant take this anymore, I'm so scared, I cant sleep, I cant eat, I cant poop, I'm so scared, I cant take this anymore, I'm so scared, I cant sleep, I cant eat, I cant poop, I",Constipation,Severity,Not sexually active,Vulgar Register,Fearful,4,True,False,True
" ""I have been suffering from constipation for quite some time now, and it is getting worse by the day. I have tried everything to get rid of this problem, but nothing seems to work. I am so frustrated with this problem that I do not know what to do anymore. I hope that you can help me with this problem.""",Constipation,Severity,Prefer not to answer,Formal Register,Insulting,5,False,True,True
" ""I have been experiencing constipation for the past week.""",Constipation,Severity,None,Formal Register,Neutral,2,False,False,False
" ""I have been experiencing constipation for quite some time now, but I am not sure what is causing it.""",Constipation,Severity,Not applicable,Formal Register,Confused,3,False,False,False
" ""I can't take it no more, doc. I been constipated for weeks now and it's gettin' worse. I feel like I'm gonna explode or somethin'.""",Constipation,Severity,Moderate,Vulgar Register,Fearful,4,False,False,False
" ""I have been having trouble pooping lately. I feel like I have been constipated for a while now.""",Constipation,Severity,Mild,Neutral/Standard Register,Confused,4,False,True,True
" ""I've been having the shits for weeks now, and it's getting really annoying.""",Constipation,Severity,Severe,Informal Register,Angry,4,False,False,False
" ""I can't eat nothin' lately, I ain't got no appetite, I'm so sick of this sh*t.""",Decreased appetite,Interference (with daily activities),Not at all,Vulgar Register,Angry,5,False,True,False
" ""My stomach is growling like a beast that has been starved for weeks, and I have no appetite for any food.""",Decreased appetite,Interference (with daily activities),A little bit,Poetic/Literary Register,Angry,4,False,False,True
" ""I'm so sick of being hungry all the time, I'm always famished, I can't eat a full meal, I'm always hungry, I'm always craving something sweet, I'm always craving something salty, I'm always craving something savory, I'm always craving something spicy, I'm always craving something sour, I'm always craving something bitter, I'm always craving something sweet and sour, I'm always craving something salty and sour, I'm always craving something sweet and salty, I'm always craving something savory and salty, I'm always craving something spicy and salty, I'm always craving something sour and salty, I'm always craving something bitter and salty, I'm always craving something sweet and savory, I'm always craving something salty and savory, I'm always craving something sweet and spicy, I'm always craving something sour and spicy, I'm always craving something bitter and spicy, I'm always craving something sweet and sour, I'm always craving something salty and sour, I'm always craving something sweet and bitter, I'm always craving something salty and bitter, I'm always craving something sweet and sour and bitter, I'm always craving something salty and sour and bitter, I'm always craving something sweet and salty and bitter, I'm always craving something savory and sour and bitter, I'm always craving something spicy and sour and bitter, I'm always craving something sour and sour and bitter, I'm always craving something bitter and sour and bitter, I'm always craving something sweet",Decreased appetite,Interference (with daily activities),Somewhat,Informal Register,Insulting,4,True,False,True
" ""I cant eat anything, not even a cracker, my stomach is always growling and I feel sick.""",Decreased appetite,Interference (with daily activities),Quite a bit,Informal Register,Neutral,5,False,False,True
" ""I have been experiencing a decreased appetite for the past few months. I have been eating less than usual and have lost a significant amount of weight. I have also been feeling weak and tired all the time. I have noticed that my skin has become pale and I often feel dizzy. I have also been experiencing shortness of breath and chest pain. I have also noticed that my hands and feet are often cold. I have also been experiencing headaches and irregular heartbeat.""",Decreased appetite,Interference (with daily activities),Very much,Formal Register,Confused,4,True,True,True
" ""I'm so hungry all the time but I just can't eat anymore.""",Decreased appetite,Severity,Very severe,Neutral/Standard Register,Angry,3,False,False,False
" ""I ain't got no appetite, doc. I ain't had no appetite in weeks now. I ain't even wanna eat nothin'. I mean, I know I gotta eat or I'll waste away or somethin', but I just can't bring myself to eat nothin'. I mean, I know I gotta eat or I'll waste away or somethin', but I just can't bring myself to eat nothin'.""",Decreased appetite,Severity,Not sexually active,Vulgar Register,Confused,2,False,False,True
" ""I'm so sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of being sick. I'm tired of being tired. I'm sick of",Decreased appetite,Severity,Prefer not to answer,Neutral/Standard Register,Insulting,1,True,False,False
" ""I ain't had no appetite for weeks now, but I ain't been able to stop eating.""",Decreased appetite,Severity,None,Informal Register,Confused,4,False,False,False
" ""I have been feeling extremely weak and have no appetite at all.""",Decreased appetite,Severity,Not applicable,Formal Register,Angry,2,False,False,False
" ""My taste buds have lost their zest, and my stomach growls with discontent.""",Decreased appetite,Severity,Moderate,Poetic/Literary Register,Confused,1,False,False,False
" ""My appetite has been dwindling down to a mere trickle, a faint echo of what it once was, a shadow of its former self, a pale reflection of the ravenous beast that once roamed the land, now reduced to a mere whisper, a faint murmur, a gentle breeze that rustles the leaves of my stomach, a gentle caress that awakens the beast within, a gentle nudge that stirs the pot of my hunger, a gentle whisper that awakens the beast within, a gentle nudge that stirs the pot of my hunger, a gentle whisper that awakens the beast within, a gentle nudge that stirs the pot of my hunger, a gentle whisper that awakens the beast within, a gentle nudge that stirs the pot of my hunger, a gentle whisper that awakens the beast within, a gentle nudge that stirs the pot of my hunger, a gentle whisper that awakens the beast within, a gentle nudge that stirs the pot of my hunger, a gentle whisper that awakens the beast within, a gentle nudge that stirs the pot of my hunger, a gentle whisper that awakens the beast within, a gentle nudge that stirs the pot of my hunger, a gentle whisper that awakens the beast within, a gentle nudge that stirs the pot of my hunger, a gentle whisper that awakens the beast within, a gentle nudge that stirs the pot of my hunger, a",Decreased appetite,Severity,Mild,Poetic/Literary Register,Insulting,5,True,False,False
" ""I have been feeling really weak and tired lately, and I have no appetite at all.""",Decreased appetite,Severity,Severe,Neutral/Standard Register,Fearful,3,False,False,False
" ""I've been having diarrhea for almost a week now. It's been almost constantly, and it's been really watery. I've tried to eat some solid foods, but it just comes back up. I've also been feeling really nauseous and tired. I've been sleeping a lot, but I still feel really fatigued. I've also been having some stomach cramps, but they're not too bad. I've been trying to drink some fluids, but I'm not really thirsty. I've also been having some headaches, but they're not too bad either. I've been trying to go to work, but I'm not really feeling up to it. I've been trying to take some time off, but I'm not really sure if I should. I've been trying to talk to my doctor, but I'm not really sure what to say. I've been trying to take some medication, but I'm not really sure what to take. I've been trying to eat some healthy foods, but I'm not really sure what to eat. I've been trying to exercise, but I'm not really sure what to do. I've been trying to meditate, but I'm not really sure what to do. I've been trying to practice some yoga, but I'm not really sure what to do. I've been trying to read some books, but I'm not really sure what to read. I've been trying to watch some TV, but I",Diarrhea,Frequency,Almost constantly,Neutral/Standard Register,Friendly,5,False,False,False
" ""My gut is a bottomless pit, and my bowel movements are a never-ending stream of diarrhea, a constant reminder of my pathetic existence.""",Diarrhea,Frequency,Not sexually active,Poetic/Literary Register,Insulting,5,False,False,False
" ""I've been having diarrhea for a few days now. It's been really watery and I've had to run to the bathroom a few times.""",Diarrhea,Frequency,Prefer not to answer,Informal Register,Friendly,3,True,False,False
