,Symptoms,Dialogue_Generated,Language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors,Prompt
10,"['Methemoglobinemia', 'Arthritis']","""I feel like I'm dyin in me body, it's like my bones are on fire, and I'm not able to move, arthritic all ovah me, methemoglobinemia is makin me feel like I'm dyin, it's like my brain is gettin all confused and I'm losin me mind""",Vulgar Register,Angry,5,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Methemoglobinemia, Arthritis. The symptoms are graded on a scale of ['Grade 3', 'Grade 5'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Requiring urgent intervention', ' -']. The patient speaks in Vulgar Register and uses a Angry tone. The description should be very detailed and comprehensive. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
11,['Thrombotic thrombocytopenic purpura'],"""I wuv my familee but I dont wanna be a pain to them, I dont wanna be a pain to them, I feel like I am bein killed by the meds I take, I am bein killed by the meds I take, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood and I dont know why, I am bein drained of all my blood",Poetic/Literary Register,Insulting,4,False,True,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Thrombotic thrombocytopenic purpura. The patient speaks in Poetic/Literary Register and uses a Insulting tone. The description should be detailed and thorough. The patient should explicitly mention all symptoms they have, specifically: Thrombotic thrombocytopenic purpura. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
12,"['Aortic valve disease', 'Dysphasia']","""Ouch my heart is goin out, and i dont no why i cant breke out of dis pain, it feels like the aortic valve is losin its job, and i cant do anythin but feel the pain, and my head is goin crazy, like its losin its mind, i cant think straight, i dont no why, i just feelin pain all the time, and my heart is feelin like it is losin its beat, and i dont no how to stop it, i just feelin pain all the time, and my head is goin crazy, i just feelin pain all the time...""",Poetic/Literary Register,Confused,2,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Aortic valve disease, Dysphasia. The patient speaks in Poetic/Literary Register and uses a Confused tone. The description should be brief with some basic details. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
13,['Asystole'],"""I am experiencing a severe reduction in my heart rate, which is now at 2, and I am experiencing a severe reduction in my respiratory rate, which is now at 4, and I am experiencing a severe reduction in my blood pressure, which is now at 3.""",Formal Register,Neutral,4,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Asystole. The symptoms are graded on a scale of ['Grade 2'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: [' -']. The patient speaks in Formal Register and uses a Neutral tone. The description should be detailed and thorough. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
14,['Atrial fibrillation'],"""My heart is racing like 5, and my atria are throbbing like 3, and my ventricles are feelin like 5, and I am in agony, I am in pain, I am in agony, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum, my heart is a pounding drum,",Poetic/Literary Register,Neutral,4,True,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Atrial fibrillation. The symptoms are graded on a scale of ['Grade 3'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Symptomatic, urgent intervention indicated; device (e.g., pacemaker); ablation; new onset']. The patient speaks in Poetic/Literary Register and uses a Neutral tone. The description should be detailed and thorough. The patient should enumerate their symptoms directly.Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
15,['Atrial flutter'],"""I feel like I'm having a heart attack every time I eat a sandwich.""",Neutral/Standard Register,Insulting,1,False,True,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Atrial flutter. The patient speaks in Neutral/Standard Register and uses a Insulting tone. The description should be very brief with minimal details. The patient should explicitly mention all symptoms they have, specifically: Atrial flutter. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
16,['Atrioventricular block complete'],"""I am suffering from an atrioventricular block complete, where my heart is beating irregularly and I am unable to get my heart to beat in sync with the rest of my body, and it's like my heart is stuck in a rhythm that's not my own, and I'm not able to control it, and I'm not even sure if it's happening or not, and it's like my body is just a mess, with my heart beating in sync with the rest of my body, and it's not like my heart is beating in sync, and I'm not even sure if it's happening or not, and I'm not able to control it, and I'm not even sure if it's happening or not, and I'm not even sure if it's happening or not, and I'm not even sure if it's happening or not, and I'm not even sure if it's happening or not, and I'm not even sure if it's happening or not, and I'm not even sure if it's happening or not, and I'm not even sure if it's happening or not, and I'm not even sure if it's happening or not, and I'm not even sure if it's happening or not, and I'm not even sure if it's happening or not, and I'm not even sure if it's happening or not, and I'm not even sure if it's happening or not, and I'm not even sure if it",Poetic/Literary Register,Confused,5,True,True,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Atrioventricular block complete. The symptoms are graded on a scale of ['Grade 3'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker); new onset']. The patient speaks in Poetic/Literary Register and uses a Confused tone. The description should be very detailed and comprehensive. The patient should enumerate their symptoms directly.The patient should explicitly mention all symptoms they have, specifically: Atrioventricular block complete. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
17,['Atrioventricular block first degree'],"""I feel like i'm bein gettin me heart beat slow and me atrio ventricular block is gettin worse every day, my heart bein in pain and i dont no how to stop it, i feel like i'm bein suffed by a heavy weight on me hea, my atrio ventricular block is like a big rock in me hea, it's like me hea bein stuck in the mud, i dont no how to get unstuck, my heart bein in pain and i dont no how to stop it, i feel like i'm bein suffed by a heavy weight on me hea, my atrio ventricular block is gettin worse every day, my heart bein in pain and i dont no how to stop it, my heart bein in pain and i dont no how to stop it, my heart bein in pain and i dont no how to stop it, my atrio ventricular block is gettin worse every day, my heart bein in pain and i dont no how to stop it, my heart bein in pain and i dont no how to stop it, my heart bein in pain and i dont no how to stop it, my atrio ventricular block is gettin worse every day, my heart bein in pain and i dont no how to stop it, my heart bein in pain and i dont no how to stop it, my atrio ventricular block is gettin",Vulgar Register,Confused,5,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Atrioventricular block first degree. The symptoms are graded on a scale of ['Grade 4'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: [' -']. The patient speaks in Vulgar Register and uses a Confused tone. The description should be very detailed and comprehensive. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
18,"['Cardiac arrest', 'Hypernatremia', 'Rectal mucositis']","""The heart is goin down the drain, I've had cardiac arrest, I'm as hypernatremic as a hippo, and my bum's on fire, I've got rectal mucositis, I'm in agony, I'm in pain, I'm in sepsis, I'm in hell, I'm in cardiac arrest, I'm a goner, I'm a dead man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man, I'm a dying man,",Vulgar Register,Angry,2,True,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Cardiac arrest, Hypernatremia, Rectal mucositis. The symptoms are graded on a scale of ['Grade 2', 'Grade 4', 'Grade 1'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: [' -', '>160 mmol/L; life-threatening consequences', 'Asymptomatic or mild symptoms; intervention not indicated']. The patient speaks in Vulgar Register and uses a Angry tone. The description should be brief with some basic details. The patient should enumerate their symptoms directly.Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
19,"['Cardiac disorders - Other, specify']","""Och, ma dae's a' ither daein' on ma heid, ma' heid's a' ither daein' on ma heid.  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  """,Vulgar Register,Neutral,3,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Cardiac disorders - Other, specify. The symptoms are graded on a scale of ['Grade 2'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL']. The patient speaks in Vulgar Register and uses a Neutral tone. The description should provide a moderate level of detail. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
20,['Chest pain - cardiac'],"""My chest feels like it's being squeezed by a vice, and I can feel the pain spreading to my left arm and my throat, and I'm not sure if I've had a heart attack or not, but I'm pretty sure it's not a heart attack, but it's definitely not a heart attack.""",Poetic/Literary Register,Neutral,3,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Chest pain - cardiac. The symptoms are graded on a scale of ['Grade 5'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: [' -']. The patient speaks in Poetic/Literary Register and uses a Neutral tone. The description should provide a moderate level of detail. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
21,"['Conduction disorder', 'Duodenal fistula', 'Voice alteration']","""Oh, woe is me, a conduction disorder so dire, duodenal fistula, a voice alteration most vile, I'll need urgent care, or I'll perish!""",Poetic/Literary Register,Angry,1,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Conduction disorder, Duodenal fistula, Voice alteration. The symptoms are graded on a scale of ['Grade 2', 'Grade 3', 'Grade 5'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Non-urgent medical intervention indicated', 'Invasive intervention indicated', ' -']. The patient speaks in Poetic/Literary Register and uses a Angry tone. The description should be very brief with minimal details. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
22,['Cyanosis'],"""I am a shadow of my former self, and I can feel the redness spreading across my skin, but it's not just a color, it's a poison that's eating away at me from the inside out.""",Poetic/Literary Register,Angry,1,True,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Cyanosis. The symptoms are graded on a scale of ['Grade 4'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: [' -']. The patient speaks in Poetic/Literary Register and uses a Angry tone. The description should be very brief with minimal details. The patient should enumerate their symptoms directly.Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
23,"['Heart failure', 'Vertigo']","""I'm feelin' like a right ol' bloody mess, mate, heart's goin' outta control, vertigo's got me turnin' me 'ead around like a right ol' top!""",Vulgar Register,Confused,1,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Heart failure, Vertigo. The symptoms are graded on a scale of ['Grade 5', 'Grade 3'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Death', 'Severe symptoms; limiting self care ADL']. The patient speaks in Vulgar Register and uses a Confused tone. The description should be very brief with minimal details. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
24,"['Left ventricular systolic dysfunction', 'Growth suppression']","""I feel weak and tired all the time, and my heart is not pumping as well as it used to, and I am not able to grow as I should, and I am feeling very confused and disoriented.""",Formal Register,Confused,2,True,True,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Left ventricular systolic dysfunction, Growth suppression. The patient speaks in Formal Register and uses a Confused tone. The description should be brief with some basic details. The patient should enumerate their symptoms directly.The patient should explicitly mention all symptoms they have, specifically: Left ventricular systolic dysfunction, Growth suppression. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
25,"['Mitral valve disease', 'Colonic perforation']","""I am a shadow of my former self, a mere specter of my former life, for my mitral valve disease is a raging fire that burns my heart, and my colonic perforation is a festering wound that cuts deep into my soul.""",Poetic/Literary Register,Angry,3,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Mitral valve disease, Colonic perforation. The symptoms are graded on a scale of ['Grade 5', 'Grade 2'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Death', 'Invasive intervention not indicated']. The patient speaks in Poetic/Literary Register and uses a Angry tone. The description should provide a moderate level of detail. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
26,"['Mobitz (type) II atrioventricular block', 'Belching']","""I'm feeling a lot of heartburn, I have a lot of heartburn, my heart is beating a little bit slower than it used to, I'm feeling a little bit more tired than I used to, and I'm feeling a lot of discomfort in my chest.""",Neutral/Standard Register,Friendly,5,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Mobitz (type) II atrioventricular block, Belching. The symptoms are graded on a scale of ['Grade 3', 'Grade 5'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker); new onset', ' -']. The patient speaks in Neutral/Standard Register and uses a Friendly tone. The description should be very detailed and comprehensive. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
27,['Mobitz type I'],"""I am feelin alot of pain in my side, and my heart is beatin fast, I dont no wha is wrong with me, but my doctor says I gotta go to the hospital, I dont no why I feelin so bad, I am a healthy person, but I dont no why I am feelin so sick, I am a good person, but I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why I am feelin so bad, I dont no why",Poetic/Literary Register,Confused,3,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Mobitz type I. The symptoms are graded on a scale of ['Grade 1'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Asymptomatic, intervention not indicated']. The patient speaks in Poetic/Literary Register and uses a Confused tone. The description should provide a moderate level of detail. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
28,"['Myocardial infarction', 'CD4 lymphocytes decreased']","""I am experiencing severe chest pain and shortness of breath, with a low CD4 count, which is causing me to feel weak and dizzy, and I am experiencing a low-grade fever.""",Formal Register,Neutral,4,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Myocardial infarction, CD4 lymphocytes decreased. The symptoms are graded on a scale of ['Grade 2', 'Grade 1'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Asymptomatic and cardiac enzymes minimally abnormal and no evidence of ischemic ECG changes', '<LLN - 500/mm3; <LLN - 0.5 x 10e9 /L']. The patient speaks in Formal Register and uses a Neutral tone. The description should be detailed and thorough. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
29,['Myocarditis'],"""I feel like I've got a right ol' pounding in me chest, mate, and it's a right nuisance, if ye don't mind.""",Vulgar Register,Insulting,2,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Myocarditis. The symptoms are graded on a scale of ['Grade 2'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Symptoms with moderate activity or exertion']. The patient speaks in Vulgar Register and uses a Insulting tone. The description should be brief with some basic details. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
30,"['Palpitations', 'Purpura']","""I dont no wht its comin 2 me but i feel like im havin a heart attack or somethin. My legs feel like they are on fire and my head is geting all fuzzy and im not able to think straight. I feel like im having a heart attack or somethin. I dont no wht its comin 2 me but i feel like im havin a heart attack or somethin.""",Neutral/Standard Register,Confused,5,False,True,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Palpitations, Purpura. The patient speaks in Neutral/Standard Register and uses a Confused tone. The description should be very detailed and comprehensive. The patient should explicitly mention all symptoms they have, specifically: Palpitations, Purpura. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
