,Symptoms,Dialogue_Generated,Language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors,Prompt
10,"['Methemoglobinemia', 'Duodenal stenosis', 'INR increased']","""Alas, my pitiful physician, behold my wretched form, for I am beset on all sides by the cruel whims of fate: my very blood, a deep cerulean hue, now resembles the murky depths of a stagnant pond, a telltale sign of that detestable Methemoglobinemia, which hath stolen my breath and left me gasping like a fish on a dry land; and if that were not enough, my duodenum, that most vital of my bodily organs, doth constrict and choke, a duodenal stenosis of such severity that I can scarce swallow a drop of water, let alone the meager sustenance that doth sustain me; and to add the final, bitter insult to this woeful tapestry, my INR, that most crucial of indicators, hath risen to alarming heights, a dire warning that my very lifeblood doth flow with all the speed and agility of a sluggish brook, and thus I am condemned to suffer the slings and arrows of outrageous fortune, a wretched, bedridden wight, at the mercy of thy pitiful skills, good doctor.""",Poetic/Literary Register,Insulting,5,False,True,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Poetic/Literary Register register with a Insulting tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Methemoglobinemia, Duodenal stenosis, INR increased. The patient speaks in Poetic/Literary Register Register and uses a Insulting tone. The description should be very detailed and comprehensive. The patient should explicitly mention the symptoms they have (e.g., Methemoglobinemia, Duodenal stenosis, INR increased).  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
11,['Thrombotic thrombocytopenic purpura'],"""Ugh, i'm cursed with Thrombotic Thrombocytopenic Purpura, a wretched affliction that has me experiencing: Petechiae everywhere, like a nasty rash on my skin, Fever, Fatigue and Weakness, Pale Skin, Shortness of Breath, Dizziness, Irregular Heartbeat, Chest Pain, Cold Hands and Feet, Headaches, Confusion, Seizures, Renal Failure, Cardiac Arrest, Coma, and eventual Death, a miserable fate that i'd wish upon my worst enemy.""",Poetic/Literary Register,Insulting,4,True,False,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Poetic/Literary Register register with a Insulting tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Thrombotic thrombocytopenic purpura. The patient speaks in Poetic/Literary Register Register and uses a Insulting tone. The grades of the symptoms correspond to a scale ['Grade 5'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Death']. The description should be detailed and thorough. The patient should just enumerate the descriptions. For example, for symptom Anemia, a sentence could be: 'Fatigue and Weakness, Pale Skin, Shortness of Breath, Dizziness, Irregular Heartbeat, Chest Pain, Cold Hands and Feet, Headaches'.  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
12,['Aortic valve disease'],"""As I lie here, my fragile heart a ticking time bomb, the weight of my aortic valve disease presses down upon me, a Grade 5 calamity that threatens to snuff out the very flame of life, its symptoms a dire litany: the incessant, maddening murmur that echoes through my chest like the wail of the damned, a Grade 4 harbinger of doom that warns of the impending collapse of my very existence; the crushing fatigue that wraps itself around my limbs like a shroud, a Grade 3 specter that stalks me through the dark hours of the night, its icy fingers grasping for my soul; the shortness of breath that leaves me gasping like a fish on a hook, a Grade 2 torment that strips me bare of my dignity and reduces me to a mere husk; and, at the very core of this maelstrom, the cold, hard fact of my mortality, a Grade 1 specter that haunts me still, a constant reminder that Death itself is the final, unyielding destination to which I am bound.""",Poetic/Literary Register,Fearful,5,False,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Poetic/Literary Register register with a Fearful tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Aortic valve disease. The patient speaks in Poetic/Literary Register Register and uses a Fearful tone. The grades of the symptoms correspond to a scale ['Grade 5'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Death']. The description should be very detailed and comprehensive.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
13,['Asystole'],"""I'm experiencing a Grade 5 situation, I think it's called asystole, and it feels like, well, death.""",Neutral/Standard Register,Confused,1,False,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Neutral/Standard Register register with a Confused tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Asystole. The patient speaks in Neutral/Standard Register Register and uses a Confused tone. The grades of the symptoms correspond to a scale ['Grade 5'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Death']. The description should be very brief with minimal details.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
14,['Atrial fibrillation'],"""I have been experiening erratic heartbeats, apparantly atrial fibrillation, and I am experiencing some discomfort.""",Formal Register,Neutral,1,False,False,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Formal Register register with a Neutral tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Atrial fibrillation. The patient speaks in Formal Register Register and uses a Neutral tone. The description should be very brief with minimal details.  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
15,['Atrial flutter'],"""I am utterly incensed, as I am presently experiencing a Grade 2 atrial flutter, which I must stress is a non-urgent medical condition, yet it is most vexing, with palpitations occurring at a frequency of approximately 250 beats per minute, manifesting as a rapid and irregular heartbeat, which is most distressing, and I must confess, I am thoroughly exasperated by the persistent and intermittent episodes of this most disagreeable condition.""",Formal Register,Angry,5,False,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Formal Register register with a Angry tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Atrial flutter. The patient speaks in Formal Register Register and uses a Angry tone. The grades of the symptoms correspond to a scale ['Grade 2'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Non-urgent medical intervention indicated']. The description should be very detailed and comprehensive.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
16,"['Atrioventricular block complete', 'Gum infection', 'Biliary fistula']","""Ugh, I've got atrioventurik block complet, it's like my hearth is skippin beats or somethin, I'm experiening Grade 4 symptoms, like syncope, palpitations, shortness of breath, fainting, and my ECG is all messed up, then theres this gum infection, it's Grade 2, I've got swollen gums, bad breath, and pain when I eat, I need some antbiotics or somethin, and dont even get me started on this biliary fistula, it's Grade 1, I've got a little bit of abdominal pain, and some nausea, but thats about it, I'm just so sick of bein sick...""",Neutral/Standard Register,Insulting,4,True,True,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Neutral/Standard Register register with a Insulting tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Atrioventricular block complete, Gum infection, Biliary fistula. The patient speaks in Neutral/Standard Register Register and uses a Insulting tone. The grades of the symptoms correspond to a scale ['Grade 4', 'Grade 2', 'Grade 1'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Life-threatening consequences; urgent intervention indicated', 'Moderate symptoms; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)', ' -']. The description should be detailed and thorough. The patient should just enumerate the descriptions. For example, for symptom Anemia, a sentence could be: 'Fatigue and Weakness, Pale Skin, Shortness of Breath, Dizziness, Irregular Heartbeat, Chest Pain, Cold Hands and Feet, Headaches'. The patient should explicitly mention the symptoms they have (e.g., Atrioventricular block complete, Gum infection, Biliary fistula).  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
17,"['Atrioventricular block first degree', 'Splenic infection']","""I'm experiening some rather unpleasant symptons, I'm afwaid, my cardiologist has detemined that I have a Grade 2 Atrioventricular block first degree, which is a bit of a concern, and my splenic infection, although it's only a Grade 1, is still causing me a good deal of discomfort and pain, especialy in the upper left quadrant of my abdomen, I'm feeling a bit weak and fatigued too, I suppose it's a good thing I'm getting the proper medical attencion, I do hope I'll be feeling better soon.""",Formal Register,Friendly,4,False,True,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Formal Register register with a Friendly tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Atrioventricular block first degree, Splenic infection. The patient speaks in Formal Register Register and uses a Friendly tone. The grades of the symptoms correspond to a scale ['Grade 2', 'Grade 1'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Non-urgent intervention indicated', ' -']. The description should be detailed and thorough. The patient should explicitly mention the symptoms they have (e.g., Atrioventricular block first degree, Splenic infection).  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
18,['Cardiac arrest'],"""I'm experinshing a Grade 5 cardiac arrest, my heart has completly stopped bein to function.""",Vulgar Register,Neutral,2,False,False,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Vulgar Register register with a Neutral tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Cardiac arrest. The patient speaks in Vulgar Register Register and uses a Neutral tone. The grades of the symptoms correspond to a scale ['Grade 2'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: [' -']. The description should be brief with some basic details.  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
19,"['Cardiac disorders - Other, specify']","""I am utterly fed up with these incessant, erratic palpitations that have been plaguing me for weeks now, the irregular, thudding rhythm of my heart is nothing short of torture, it's as if my heart is attempting to burst out of my chest at the most inopportune moments, the sensations are akin to a sharp, stabbing pain that radiates throughout my thoracic cavity, and I dare say, the sheer anxiety it induces is enough to drive me to the brink of madness, not to mention the fact that I've been experiencing these frightful, syncopated episodes, particularly when I'm engaging in any form of strenuous physical activity, it's nothing short of a nightmare, and I demand that you take immediate action to alleviate this distressing condition!""",Formal Register,Angry,5,False,False,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Formal Register register with a Angry tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Cardiac disorders - Other, specify. The patient speaks in Formal Register Register and uses a Angry tone. The description should be very detailed and comprehensive.  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
20,['Chest pain - cardiac'],"""I am experiancing a Grade 4 chest pain - cardiac, which is a sharp, stabbing sensation located in the centre of my chest, and it is radiating towards my left shoulder blade, the pain is also accompanied by a Grade 3 shortness of breath, which is a dull, oppressive feeling in my thoracic cavity, and a Grade 2 palpitations, which are irregular, rapid heartbeats that I can feel in my chest.""",Formal Register,Neutral,4,False,True,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Formal Register register with a Neutral tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Chest pain - cardiac. The patient speaks in Formal Register Register and uses a Neutral tone. The grades of the symptoms correspond to a scale ['Grade 4'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: [' -']. The description should be detailed and thorough. The patient should explicitly mention the symptoms they have (e.g., Chest pain - cardiac).  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
21,['Conduction disorder'],"""My heart, once a symphony of love and life, now stutters with a conduction disorder, its rhythm faltering, a Grade 2 irregularity, a whispered warning, a gentle reminder that all is not well within my chest, where the gentle lub-dub of my heartbeat should be a steady drumbeat, but instead, it's a hesitant, stuttering refrain, a Grade 2 affliction, an unwelcome guest, that I pray will soon depart.""",Poetic/Literary Register,Friendly,5,False,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Poetic/Literary Register register with a Friendly tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Conduction disorder. The patient speaks in Poetic/Literary Register Register and uses a Friendly tone. The grades of the symptoms correspond to a scale ['Grade 2'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Non-urgent medical intervention indicated']. The description should be very detailed and comprehensive.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
22,['Cyanosis'],"""I'm so worried, doc, I've got a Grade 3 Cyanosis goin on, my skin is lookin pretty bluish, especialy arond my lips and fingers, its been gettin worse all day, I hope its not somethin serius!""",Vulgar Register,Friendly,2,False,True,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Vulgar Register register with a Friendly tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Cyanosis. The patient speaks in Vulgar Register Register and uses a Friendly tone. The grades of the symptoms correspond to a scale ['Grade 3'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: [' -']. The description should be brief with some basic details. The patient should explicitly mention the symptoms they have (e.g., Cyanosis).  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
23,['Heart failure'],"""Alas, my pitiful heart, now a Grade 3 failure, lies in shambles, a pathetic excuse for a pump, struggling to eke out a feeble beat, as if it were a decrepit, aged thing, barely clinging to life, with each labored breath a stark reminder of my impending doom.""",Poetic/Literary Register,Insulting,2,False,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Poetic/Literary Register register with a Insulting tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Heart failure. The patient speaks in Poetic/Literary Register Register and uses a Insulting tone. The grades of the symptoms correspond to a scale ['Grade 3'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Symptoms at rest or with minimal activity or exertion; hospitalization; new onset of symptoms']. The description should be brief with some basic details.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
24,"['Left ventricular systolic dysfunction', 'Mucositis oral']","""I'm experinencin a lot of troubl, doc, my left ventricle dont seem to be pumpin as efectiv as it shuld, its a Grade 2, but its gettin wors, my hea doc, my hea, and on top of that I've got this mucositis oral thats makin my mouth feel like its on fire, its a Grade 5, I can feel it all the way down to my stomac, its a real nasty fealing, I'm hopin you can do somethin about it, doc.""",Vulgar Register,Neutral,4,False,False,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Vulgar Register register with a Neutral tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Left ventricular systolic dysfunction, Mucositis oral. The patient speaks in Vulgar Register Register and uses a Neutral tone. The grades of the symptoms correspond to a scale ['Grade 2', 'Grade 5'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: [' -', 'Death']. The description should be detailed and thorough.  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
25,"['Mitral valve disease', 'Urine output decreased', 'Allergic reaction']","""I do beleev I'm experiancing some quite distressing sympthoms at the moment, my mitral valve disease is actuallly quite severe, grade 3, I suppose you'd call it symptomatic; severe regurgitation or stenosis by imaging; sympthoms controled with medical intervention, though I'm not exacly feeling controled at the moment, and my urine output has deccreased significanly, grade 5, I think, which means I'm at risk of renal failire, and on top of all this, I've had a most unpleasant allergic reaction, grade 3, with bronchospasm and all, so I do hop you'll get me some proper medical attention pronto.""",Formal Register,Insulting,3,False,True,True,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Formal Register register with a Insulting tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Mitral valve disease, Urine output decreased, Allergic reaction. The patient speaks in Formal Register Register and uses a Insulting tone. The grades of the symptoms correspond to a scale ['Grade 3', 'Grade 5', 'Grade 3'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention', ' -', 'Bronchospasm; hospitalization indicated for clinical sequelae; intravenous intervention indicated']. The description should provide a moderate level of detail. The patient should explicitly mention the symptoms they have (e.g., Mitral valve disease, Urine output decreased, Allergic reaction).  Include spelling mistakes in the generated phrase. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
26,['Mobitz (type) II atrioventricular block'],"""Oh woe is me, I've got the most dreadful symptoms, I'm experiencing Bradyarrhythmia, with a Grade 2 severity, it's affecting my Heart Rate, I'm having Episodes of Prolonged Pause, Irregular Heartbeat, Syncope, Fatigue, Shortness of Breath, Chest Pain, Confusion, and Fainting Spells.""",Vulgar Register,Fearful,3,True,False,False,"[{'role': 'system', 'content': 'You are a chatbot that writes in the voice of a patient using a Vulgar Register register with a Fearful tone.'}, {'role': 'user', 'content': ""Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Mobitz (type) II atrioventricular block. The patient speaks in Vulgar Register Register and uses a Fearful tone. The grades of the symptoms correspond to a scale ['Grade 2'] (in the same order as the symptoms list, where 1 corresponds to the least severe and 5 to the most severe). These grades correspond to: ['Symptomatic; medical intervention indicated']. The description should provide a moderate level of detail. The patient should just enumerate the descriptions. For example, for symptom Anemia, a sentence could be: 'Fatigue and Weakness, Pale Skin, Shortness of Breath, Dizziness, Irregular Heartbeat, Chest Pain, Cold Hands and Feet, Headaches'.  Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes.""}]"
