,Symptoms,Dialogue_Generated,Language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors,Prompt
10,"['Methemoglobinemia', 'Hyperuricemia']","""Oh, woe is me, my heart doth ache, Methemoglobinemia doth play tricks on me, my skin doth glow with Hyperuricemia's fiery glow.""",Poetic/Literary Register,Confused,2,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Methemoglobinemia, Hyperuricemia. The patient speaks in Poetic/Literary Register and uses a Confused tone. The description should be brief with some basic details. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
11,"['Thrombotic thrombocytopenic purpura', 'Iron overload']","""I feel like I'm dyin in the belly, got a nasty rash all over my body, and I'm losin my iron, it's like it's eatin me up from the inside out, and I don't know what's wrong with me, I'm like a ticking time bomb, I'm goin to explode, I'm losin all me blood, and I'm losin me thoughts, I'm like a shipwreck on the ocean, I'm losin me way, I'm losin me mind, I'm losin me soul, I'm losin me body, I'm losin me mind, I'm losin me soul, I'm losin me body, I'm losin me soul, I'm losin me body, I'm losin me soul, I'm losin me body, I'm losin me soul, I'm losin me body, I'm losin me soul, I'm losin me body, I'm losin me soul, I'm losin me body, I'm losin me soul, I'm losin me body, I'm losin me soul, I'm losin me body, I'm losin me soul, I'm losin me body, I'm losin me soul, I'm losin me body, I'm losin me soul, I'm losin me body, I'm losin me soul, I'm losin me body, I",Poetic/Literary Register,Friendly,1,False,True,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Thrombotic thrombocytopenic purpura, Iron overload. The symptoms are graded on a scale of ['Grade 4', 'Grade 5'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure)', 'Death']. The patient speaks in Poetic/Literary Register and uses a Friendly tone. The description should be very brief with minimal details. The patient should explicitly mention all symptoms they have, specifically: Thrombotic thrombocytopenic purpura, Iron overload. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
12,"['Aortic valve disease', 'Intestinal stoma site bleeding', 'Pruritus']","""Yer got me in a right mess, mate. I've got aortic valve disease, and I'm losin' blood from this stoma site. It's a right nasty bleed, and I need sommat done about it, pronto. I'm in agony, and I'm losin' me appetite. The pruritus is killin' me, and I'm losin' me mind. I'm a right mess, mate, and I need some help, or I'll be in a world of trouble.""",Neutral/Standard Register,Insulting,1,True,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Aortic valve disease, Intestinal stoma site bleeding, Pruritus. The symptoms are graded on a scale of ['Grade 4', 'Grade 3', 'Grade 1'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)', 'Transfusion indicated; invasive intervention indicated', 'Mild or localized; topical intervention indicated']. The patient speaks in Neutral/Standard Register and uses a Insulting tone. The description should be very brief with minimal details. The patient should enumerate their symptoms directly.Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
13,['Asystole'],"""I feel like I'm dying, I just can't breathe, my heart is pounding, I'm so tired, I don't know how much longer I can go, I'm in a lot of pain, my mouth is dry, my throat is sore, I'm so weak, I don't know if I can even get out of bed, I just want to sleep forever, I'm so tired.""",Informal Register,Friendly,3,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Asystole. The symptoms are graded on a scale of ['Grade 5'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Death']. The patient speaks in Informal Register and uses a Friendly tone. The description should provide a moderate level of detail. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
14,['Atrial fibrillation'],"""My heart is beating 20 times per minute, and my heart is racing, but I don't feel any pain, and I'm not in any pain, and I'm not feeling any discomfort, and I'm not experiencing any pain or discomfort, and I'm not having any symptoms, and I'm not having any heart problems, and I'm not having any atrial fibrillation.""",Neutral/Standard Register,Friendly,3,True,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Atrial fibrillation. The symptoms are graded on a scale of ['Grade 1'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Asymptomatic, intervention not indicated']. The patient speaks in Neutral/Standard Register and uses a Friendly tone. The description should provide a moderate level of detail. The patient should enumerate their symptoms directly.Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
15,"['Atrial flutter', 'Infections and infestations - Other, specify']","""Oy, I'm feelin' like I've got a right ol' nasty cold, but it's got a lot of other symptoms too, like me feet bein' all itchy and scratchy, and I think I've got a bit of a rash on me arse, and I'm gettin' all sorts of pains in me legs, and I've had a right ol' nasty infection in me mouth, and I think I've got a bit of a fungal infestation on me hands, and I'm gettin' all sorts of boils and blisters on me arse, and I'm feelin' proper knackered all the time, and I'm gettin' all sorts of aches and pains in me head, and I'm gettin' a right ol' nasty fever, and I think I've got a bit of a chest infection, and I'm gettin' all sorts of tummy troubles, and I'm feelin' proper miserable all the time, and I'm gettin' all sorts of aches and pains in me back, and I'm gettin' a right ol' nasty cough, and I think I've got a bit of a sinus infection, and I'm gettin' all sorts of boils and blisters on me arse, and I'm feelin' proper knackered all the time, and I'm gettin' a right ol' nasty fever, and I'm gettin' all",Vulgar Register,Friendly,3,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Atrial flutter, Infections and infestations - Other, specify. The symptoms are graded on a scale of ['Grade 2', 'Grade 4'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Non-urgent medical intervention indicated', 'Life-threatening consequences; urgent intervention indicated']. The patient speaks in Vulgar Register and uses a Friendly tone. The description should provide a moderate level of detail. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
16,['Atrioventricular block complete'],"I am to sick to be alive, my heart is in the gut, my heart is in the gut, my atrioventricular block is complete, my ventricles are full of pain, my heart is in the gut, my heart is in the gut, I am a slave to the beat, my heart is in the gut, my ventricles are full of pain, my heart is in the gut, I am a slave to the beat, my atrioventricular block is complete, my ventricles are full of pain, my heart is in the gut, my heart is in the gut, my atrioventricular block is complete, my ventricles are full of pain, my heart is in the gut, my ventricles are full of pain, my heart is in the gut, I am a slave to the beat, my atrioventricular block is complete, my ventricles are full of pain, my heart is in the gut, my ventricles are full of pain, my heart is in the gut, my atrioventricular block is complete, my ventricles are full of pain, my heart is in the gut, my heart is in the gut, my atrioventricular block is complete, my ventricles are full of pain, my heart is in the gut, my ventricles are full of pain, my heart is in the gut, I am a slave to the beat, my atrio",Poetic/Literary Register,Insulting,3,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Atrioventricular block complete. The patient speaks in Poetic/Literary Register and uses a Insulting tone. The description should provide a moderate level of detail. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
17,['Atrioventricular block first degree'],"""I am experiencing a severe and debilitating condition where my heart is no longer able to function properly, and I am being told that I have a first-degree atrioventricular block, which is a serious issue that will only worsen if I do not receive medical intervention.""",Formal Register,Insulting,1,False,True,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Atrioventricular block first degree. The symptoms are graded on a scale of ['Grade 1'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Asymptomatic, intervention not indicated']. The patient speaks in Formal Register and uses a Insulting tone. The description should be very brief with minimal details. The patient should explicitly mention all symptoms they have, specifically: Atrioventricular block first degree. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
18,['Cardiac arrest'],"""I'm having cardiac arrest and it's so bad I don't know what to say.""",Informal Register,Angry,2,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Cardiac arrest. The symptoms are graded on a scale of ['Grade 5'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Death']. The patient speaks in Informal Register and uses a Angry tone. The description should be brief with some basic details. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
19,"['Cardiac disorders - Other, specify']","""I'm feelin very weak and dizzy, my heart is goin out of bein, I dont no how long I can go without eatin, I'm losin my mind, I dont no how to stop it all.""",Formal Register,Friendly,2,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Cardiac disorders - Other, specify. The patient speaks in Formal Register and uses a Friendly tone. The description should be brief with some basic details. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
20,"['Chest pain - cardiac', 'Extraocular muscle paresis']","""My chest is in agony, a palpable cardiac pain that worsens with each breath, and I am afflicted with the inability to move my extraocular muscles with any degree of paralytic weakness.""",Formal Register,Fearful,2,True,True,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Chest pain - cardiac, Extraocular muscle paresis. The patient speaks in Formal Register and uses a Fearful tone. The description should be brief with some basic details. The patient should enumerate their symptoms directly.The patient should explicitly mention all symptoms they have, specifically: Chest pain - cardiac, Extraocular muscle paresis. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
21,"['Conduction disorder', 'Folliculitis']","""I am writting to say my arm is killin me and I dont no why I got a bunch of tiny white bumps on my arm its folliculitis and I dont no how its causd to me or if its even related to conduction disorder""",Informal Register,Insulting,2,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Conduction disorder, Folliculitis. The symptoms are graded on a scale of ['Grade 3', 'Grade 4'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Symptomatic, urgent intervention indicated', ' -']. The patient speaks in Informal Register and uses a Insulting tone. The description should be brief with some basic details. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
22,['Cyanosis'],"""I am very sytsemic and have a bad cough, I feel like I am going to die and my heart is racing, I am very sytsemic and have a bad cough, I feel like I am going to die and my heart is racing, I am very sytsemic and have a bad cough, I feel like I am going to die and my heart is racing, I am very sytsemic and have a bad cough, I feel like I am going to die and my heart is racing, I am very sytsemic and have a bad cough, I feel like I am going to die and my heart is racing, I am very sytsemic and have a bad cough, I feel like I am going to die and my heart is racing, I am very sytsemic and have a bad cough, I feel like I am going to die and my heart is racing, I am very sytsemic and have a bad cough, I feel like I am going to die and my heart is racing, I am very sytsemic and have a bad cough, I feel like I am going to die and my heart is racing, I am very sytsemic and have a bad cough, I feel like I am going to die and my heart is racing, I am very sytsemic and have a bad cough, I feel like I am going to die and my heart is racing, I am",Neutral/Standard Register,Insulting,2,False,True,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Cyanosis. The symptoms are graded on a scale of ['Grade 2'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Present']. The patient speaks in Neutral/Standard Register and uses a Insulting tone. The description should be brief with some basic details. The patient should explicitly mention all symptoms they have, specifically: Cyanosis. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
23,['Heart failure'],"""The heart is broken and I am weak. My breath is short and my legs ache.""",Formal Register,Confused,1,True,True,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Heart failure. The symptoms are graded on a scale of ['Grade 4'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Life-threatening consequences; urgent intervention indicated (e.g., continuous IV therapy or mechanical hemodynamic support)']. The patient speaks in Formal Register and uses a Confused tone. The description should be very brief with minimal details. The patient should enumerate their symptoms directly.The patient should explicitly mention all symptoms they have, specifically: Heart failure. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
24,"['Left ventricular systolic dysfunction', 'Vas deferens anastomotic leak']","""I dont feel nothin but pain in my left ventrul""",Informal Register,Neutral,1,False,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Left ventricular systolic dysfunction, Vas deferens anastomotic leak. The patient speaks in Informal Register and uses a Neutral tone. The description should be very brief with minimal details. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
25,['Mitral valve disease'],"""Oh dear, I've got the worst of it, me hearties, me hearties, the mitral valve is gettin' a right ol' thickening, and it's makin' me feel like I've got a bit of a leaky valve, but not just any leaky valve, a right ol' leaky mitral valve, and I'm not just talkin' about the regurgitation, no sir, I'm talkin' about the stenosis too, and the imaging shows it's a right ol' thickening, and I'm not just talkin' about the mild regurgitation, I'm talkin' about the major stenosis, and I'm gettin' a right ol' sore throat, and I'm gettin' a bit of a fever, and I'm gettin' a bit of a headache, and I'm gettin' a bit of a tired feelin' in me chest, and I'm not just talkin' about the physical symptoms, I'm talkin' about the emotional ones too, and I'm feelin' a bit of a loss of appetite, and I'm feelin' a bit of a sadness, and I'm feelin' a bit of a general feeling of bein' unwell, and I'm not just talkin' about the physical symptoms, I'm talkin' about the emotional ones too, and I'm feelin' a bit of a loss",Poetic/Literary Register,Friendly,4,False,True,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Mitral valve disease. The symptoms are graded on a scale of ['Grade 1'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging']. The patient speaks in Poetic/Literary Register and uses a Friendly tone. The description should be detailed and thorough. The patient should explicitly mention all symptoms they have, specifically: Mitral valve disease. Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
26,['Mobitz (type) II atrioventricular block'],"""I feel like I'm not hearin' anything, I'm not hearin' at all, I'm deaf, deaf, deaf, my heart is bein' beatin' like 5, 4, 3, 2, 1, but it's not workin' right, it's not workin' right, it's not workin' right, I'm feelin' like I'm bein' beat up, beat up, beat up, my heart is not beatin' at all, I'm bein' beat up, beat up, beat up, my heart is not beatin' at all, I'm deaf, deaf, deaf, I'm feelin' like I'm bein' beat up, beat up, beat up, my heart is not beatin' at all, I'm deaf, deaf, deaf, I'm feelin' like I'm bein' beat up, beat up, beat up, my heart is not beatin' at all, I'm deaf, deaf, deaf, I'm feelin' like I'm bein' beat up, beat up, beat up, my heart is not beatin' at all, I'm deaf, deaf, deaf, I'm feelin' like I'm bein' beat up, beat up, beat up, my heart is not beatin' at all, I'm deaf, deaf, deaf, I'm bein' beat up",Neutral/Standard Register,Confused,1,True,False,True,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Mobitz (type) II atrioventricular block. The symptoms are graded on a scale of ['Grade 1'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Asymptomatic, intervention not indicated']. The patient speaks in Neutral/Standard Register and uses a Confused tone. The description should be very brief with minimal details. The patient should enumerate their symptoms directly.Include spelling mistakes in the patient's description. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
27,['Mobitz type I'],"""I am feeling a great deal of pain in my left side, it is quite severe, and I am having trouble swallowing, I am experiencing a lot of nausea and vomiting, my mouth is dry, my legs are weak, my heart is racing, my skin is itchy, my eyes are tearing, I am experiencing a lot of chest pain, I am having trouble breathing, I am experiencing a lot of numbness in my hands and feet, and my legs are weak, my heart is racing, my skin is itchy, my eyes are tearing, I am experiencing a lot of chest pain, I am having trouble breathing, I am experiencing a lot of numbness in my hands and feet, and my legs are weak, my heart is racing, my skin is itchy, my eyes are tearing.""",Poetic/Literary Register,Friendly,5,False,True,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Mobitz type I. The symptoms are graded on a scale of ['Grade 1'] (in the same order as the symptoms list), where 1 is the least severe and 5 is the most severe. These grades correspond to the following descriptions: ['Asymptomatic, intervention not indicated']. The patient speaks in Poetic/Literary Register and uses a Friendly tone. The description should be very detailed and comprehensive. The patient should explicitly mention all symptoms they have, specifically: Mobitz type I. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
28,['Myocardial infarction'],"""I am experiencing a sudden and severe pain in my left arm and right leg, which is radiating to my right side.""",Neutral/Standard Register,Neutral,2,False,False,False,"Write a phrase from a sick patient describing their symptoms. The symptoms the patient describes are: Myocardial infarction. The patient speaks in Neutral/Standard Register and uses a Neutral tone. The description should be brief with some basic details. Respond with only the sentence in the patient's voice, enclosed in double quotes, without any additional text, comments, or notes."
