,Dialogue_Generated,symptom,description,meta,language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors
54," ""My belly aches with a dull and heavy pain.""",Abdominal pain,Interference (with daily activities),Very much,Poetic/Literary Register,Neutral,1,False,False,True
55," ""I have been having this pain in my stomach for a while now, it feels like a burning sensation and it is very uncomfortable, I have been trying to eat less spicy food but it does not seem to help, I also feel nauseous and I have been vomiting a lot, I do not know what is wrong with me.""",Abdominal pain,Frequency,Almost constantly,Neutral/Standard Register,Confused,4,False,False,True
56," ""I have been experiencing severe abdominal pain for the past three days. It is worse after I eat and it wakes me up at night. I have tried to ignore it but it is getting worse and I am worried that there might be something seriously wrong with me.""",Abdominal pain,Frequency,Not sexually active,Formal Register,Angry,2,False,False,True
57," ""I have been having this stomach pain for a while now and it's getting worse and worse.""",Abdominal pain,Frequency,Prefer not to answer,Neutral/Standard Register,Fearful,2,False,False,True
58," ""I got this bloomin' stomach ache last night, and it's still there this mornin'.""",Abdominal pain,Frequency,Occasionally,Vulgar Register,Friendly,1,False,False,False
59," ""My abdomen is a cauldron of burning acid, a festering wound that seeps its venom into my very soul.""",Abdominal pain,Frequency,Frequently,Poetic/Literary Register,Insulting,4,False,False,False
60," ""I have been experiencing abdominal pain for the past three days, but it seems to be getting worse and worse.""",Abdominal pain,Frequency,Never,Formal Register,Confused,3,False,False,True
61," ""My stomach hurts all the time, I feel sick to my stomach, I have nausea, I feel queasy, I have stomach cramps, I have diarrhea, I have constipation, I have heartburn, I have acid reflux, I have bloating, I have gas, I have abdominal distension, I have abdominal tenderness, I have abdominal rigidity, I have abdominal guarding, I have abdominal mass, I have abdominal hernia, I have abdominal pain, I have abdominal discomfort, I have abdominal tenderness, I have abdominal guarding, I have abdominal rigidity, I have abdominal mass, I have abdominal hernia, I have abdominal pain, I have abdominal discomfort, I have abdominal tenderness, I have abdominal guarding, I have abdominal rigidity, I have abdominal mass, I have abdominal hernia, I have abdominal pain, I have abdominal discomfort, I have abdominal tenderness, I have abdominal guarding, I have abdominal rigidity, I have abdominal mass, I have abdominal hernia, I have abdominal pain, I have abdominal discomfort, I have abdominal tenderness, I have abdominal guarding, I have abdominal rigidity, I have abdominal mass, I have abdominal hernia, I have abdominal pain, I have abdominal discomfort, I have abdominal tenderness, I have abdominal guarding, I have abdominal rigidity, I have abdominal mass, I have abdominal hernia, I have abdominal pain, I have abdominal discomfort, I have abdominal tenderness, I have",Abdominal pain,Frequency,Rarely,Informal Register,Fearful,1,True,False,False
62," ""I got this cramp in me gut and it's killin' me, man. It's so bad I can't even walk straight. I'm scared I'm gonna die from this pain.""",Abdominal pain,Severity,Very severe,Vulgar Register,Fearful,4,False,False,False
63," ""I am experiencing severe abdominal pain, which is affecting my daily life.""",Abdominal pain,Severity,Not sexually active,Formal Register,Insulting,1,False,True,True
64," ""I got this cramp in my stomach, it's been going on for a few days now, and it's getting worse and worse. I feel like I'm gonna puke, and I can't sleep because of it. I tried to eat some food, but it just makes it worse. I don't know what to do, I'm so scared.""",Abdominal pain,Severity,Prefer not to answer,Vulgar Register,Confused,5,True,False,False
65," ""I been having this pain in my stomach for a while now but it seems to be getting worse.""",Abdominal pain,Severity,None,Neutral/Standard Register,Confused,4,False,False,True
66," ""I've been having some abdominal pain for the past few days.""",Abdominal pain,Severity,Not applicable,Neutral/Standard Register,Friendly,2,False,False,False
67," ""My stomach hurts so bad, I feel sick all the time, I have nausea, vomiting, diarrhea, constipation, abdominal cramps, bloating, loss of appetite, weight loss, abdominal distention, abdominal tenderness, guarding, rebound tenderness.""",Abdominal pain,Severity,Moderate,Informal Register,Fearful,2,True,True,False
68," ""Oh, my gut is on fire, it's as if a thousand tiny knives are stabbing me in the belly, and I'm sure it's all because of that lousy doctor who gave me the wrong prescription!""",Abdominal pain,Severity,Mild,Poetic/Literary Register,Insulting,5,False,False,True
69," ""I've been having this bloody abdominal pain for days now, and it's getting worse and worse. It's like a bloody knife stabbing me in the gut every time I move. I can't even sleep properly because of it. I've tried taking some painkillers, but they don't seem to be working. I'm starting to get really worried about this now.""",Abdominal pain,Severity,Severe,Neutral/Standard Register,Insulting,3,False,False,True
70," ""i cant stop burping and i feel so uncomfortable and bloated all the time""",Bloating,Frequency,Almost constantly,Informal Register,Fearful,3,False,True,True
71," ""I've been feeling really bloated lately, especially in the morning when I wake up. It's like my stomach is always full of air or something. I try to burp but nothing comes out. It's really uncomfortable and it makes me feel like I'm always constipated too.""",Bloating,Frequency,Not sexually active,Informal Register,Neutral,5,False,False,False
72," ""I have been feeling really bloated lately.""",Bloating,Frequency,Prefer not to answer,Neutral/Standard Register,Neutral,1,False,False,False
73," ""I have been experiencing occasional bloating.""",Bloating,Frequency,Occasionally,Formal Register,Neutral,1,False,False,False
74," ""I got this bloating thing and it's driving me nuts, I feel like I'm gonna explode or somethin'.""",Bloating,Frequency,Frequently,Vulgar Register,Confused,1,False,False,False
75," ""I been feelin like a bloated balloon lately, ya know? Like I swallowed a whole bag of beans or somethin. It's like I got a big ol' belly stickin out in front of me, ya hear? It's so bloated I can't even sleep at night, it's like I'm sleepin on a big ol' pillow or somethin. I mean, I know I ain't pregnant or nothin, but I swear I feel like I got a big ol' belly stickin out in front of me all the time. It's so annoying, I just wanna scream or somethin. I mean, I know I gotta eat or somethin, but I swear I ain't eatin no more than usual, so I don't know what's goin on with my body. It's so frustrating, I just wanna cry or somethin. I mean, I know I gotta go to the doctor or somethin, but I swear I ain't got no money for no doctor visit, so I don't know what to do. It's so scary, I just wanna hide under a rock or somethin. I mean, I know I gotta tell someone or somethin, but I swear I ain't got no friends or nothin, so I don't know who to tell. It's so lonely, I just wanna die or somethin.""",Bloating,Frequency,Never,Vulgar Register,Confused,4,False,False,False
76," ""I've been feeling really bloated lately, like my belly is always swollen and hard to the touch. It's really uncomfortable and makes me feel self conscious about my appearance. I've also been having a lot of stomach cramps and diarrhea, and I feel like I need to go to the bathroom all the time. It's really frustrating and I don't know what to do.""",Bloating,Frequency,Rarely,Informal Register,Friendly,5,True,False,True
77," ""I have been feeling extremely bloated for the past few days.""",Bloating,Severity,Very severe,Formal Register,Confused,1,False,False,False
78," ""I'm so bloated I look like a bloody balloon.""",Bloating,Severity,Not sexually active,Informal Register,Insulting,4,False,False,False
79," ""I have been feeling extremely bloated lately. I feel like I have a huge ball in my stomach that I cannot get rid of. It is very uncomfortable and I feel like I am going to explode. I have been trying to eat less and less but it does not seem to help. I have also been having a lot of gas and I feel like I need to burp all the time. It is very embarrassing and I do not know what to do.""",Bloating,Severity,Prefer not to answer,Formal Register,Angry,2,True,False,False
80," ""I feel bloated, gassy, and have stomach cramps.""",Bloating,Severity,None,Neutral/Standard Register,Confused,1,True,False,True
81," ""My belly is a bloated balloon, a distended sack of gas and indigestion, a swollen and throbbing reminder of the meals I've eaten and the life I've lived.""",Bloating,Severity,Not applicable,Poetic/Literary Register,Angry,4,False,False,False
82," ""I have been feeling extremely bloated lately.""",Bloating,Severity,Moderate,Formal Register,Fearful,1,False,False,False
83," ""My belly is a bloated balloon, a distended sack of gas and indigestion, a swollen and throbbing reminder of the meals I have eaten and the meals I have not eaten.""",Bloating,Severity,Mild,Poetic/Literary Register,Angry,5,False,False,False
84," ""I feel like I'm always bloated and it's really uncomfortable.""",Bloating,Severity,Severe,Informal Register,Fearful,1,False,False,False
85," ""I have been having trouble going to the bathroom for a few days now, and it's been really painful when I do finally go.""",Constipation,Severity,Very severe,Neutral/Standard Register,Fearful,4,False,False,False
86," ""I ain't had a proper shit in weeks, I'm so clogged up I can't even take a proper piss, and I'm so bloated I look like I'm about to pop.""",Constipation,Severity,Not sexually active,Vulgar Register,Angry,3,False,False,True
87," ""I have been experiencing constipation for the past few days, and it is getting worse.""",Constipation,Severity,Prefer not to answer,Formal Register,Friendly,2,False,False,True
88," ""You're a real shit, doc. I've been shitting bricks for weeks now. I mean, I haven't had a proper dump in ages. I'm so constipated, I'm starting to think I'm a mummy or something.""",Constipation,Severity,None,Vulgar Register,Insulting,2,True,False,False
89," ""I've been constipated for weeks now, and it's really frustrating. I try to eat healthy and exercise, but nothing seems to work.""",Constipation,Severity,Not applicable,Informal Register,Angry,1,True,False,False
90," ""I can't believe I've been shittin' myself for weeks now. I mean, I know I've been constipated, but this is ridiculous. I'm so sick of this shit.""",Constipation,Severity,Moderate,Vulgar Register,Angry,4,False,False,False
91," ""I have been having trouble going to the bathroom for the past few days. I feel like I have been constipated.""",Constipation,Severity,Mild,Neutral/Standard Register,Fearful,2,False,True,False
92," ""My gut is a parched desert, devoid of life, and my stool is a fossilized turd, a testament to my miserable existence.""",Constipation,Severity,Severe,Poetic/Literary Register,Insulting,4,False,False,False
93," ""I ain't had no appetite in weeks now, I'm so scared I'm gonna waste away to nothin'.""",Decreased appetite,Interference (with daily activities),Not at all,Vulgar Register,Fearful,5,True,False,True
94," ""I ain't had no appetite in weeks now, doc. I mean, I ain't had no interest in eatin' nothin'.""",Decreased appetite,Interference (with daily activities),A little bit,Vulgar Register,Friendly,2,False,False,True
95," ""I ain't got no appetite, doc. I ain't hungry for nothin'.""",Decreased appetite,Interference (with daily activities),Somewhat,Vulgar Register,Neutral,1,False,False,True
96," ""I don't feel like eating anymore.""",Decreased appetite,Interference (with daily activities),Quite a bit,Informal Register,Neutral,2,False,False,False
97," ""I ain't had no appetite for weeks now, I'm always hungry but I just can't eat nothin'. I'm always tired and weak, and my skin looks like a ghost's. I get out of breath easy and I feel dizzy all the time. My heart beats funny and I get chest pains. My hands and feet are always cold and I get headaches all the time.""",Decreased appetite,Interference (with daily activities),Very much,Vulgar Register,Fearful,4,True,False,False
98," ""I have been feeling extremely weak and have no appetite at all.""",Decreased appetite,Severity,Very severe,Formal Register,Confused,2,False,False,False
99," ""My stomach is growling like a beast that has been starved for weeks.""",Decreased appetite,Severity,Not sexually active,Poetic/Literary Register,Neutral,3,False,False,True
100," ""My taste buds have lost their zest, and my stomach growls with hunger, yet I have no appetite for the food that lies before me.""",Decreased appetite,Severity,Prefer not to answer,Poetic/Literary Register,Friendly,5,False,False,False
101," ""I'm so bloated all the time, I can't even think about eating, you fat pig!""",Decreased appetite,Severity,None,Informal Register,Insulting,4,False,True,True
102," ""I feel like I ain't hungry no more. I used to eat a lot but now I ain't got no appetite at all. I don't know what's wrong with me.""",Decreased appetite,Severity,Not applicable,Informal Register,Confused,2,True,False,True
103," ""I have a decreased appetite.""",Decreased appetite,Severity,Moderate,Neutral/Standard Register,Neutral,1,True,False,False
104," ""My stomach is growling like a beast, but the thought of food makes me shudder.""",Decreased appetite,Severity,Mild,Poetic/Literary Register,Fearful,4,False,True,True
105," ""I'm so bloomin' hungry all the time, I could eat a horse!""",Decreased appetite,Severity,Severe,Vulgar Register,Insulting,1,False,False,True
106," ""I've had diarrhea almost constantly for the past month. It's so annoying. I'm always running to the bathroom and I'm always tired and weak. I'm so sick of it.""",Diarrhea,Frequency,Almost constantly,Informal Register,Angry,2,True,False,False
107," ""I have been having diarrhea for a few days now.""",Diarrhea,Frequency,Not sexually active,Neutral/Standard Register,Confused,4,False,True,False
108," ""I cant stop shitting myself, its like my arse is trying to empty its contents out as fast as it can, and its not just watery shit its like bloody diarrhoea, and its coming out so fast that I cant even make it to the toilet and I have to shit myself, and its so embarrassing, and I cant stop it, and I cant even sleep at night because I keep thinking about shitting myself, and I cant stop it, and I cant even eat because I keep thinking about shitting myself, and I cant stop it, and I cant even talk to anyone because I keep thinking about shitting myself, and I cant stop it, and I cant even leave the house because I keep thinking about shitting myself, and I cant stop it, and I cant even have sex because I keep thinking about shitting myself, and I cant stop it, and I cant even have a job because I keep thinking about shitting myself, and I cant stop it, and I cant even have friends because I keep thinking about shitting myself, and I cant stop it, and I cant even have a girlfriend because I keep thinking about shitting myself, and I cant stop it, and I cant even have a boyfriend because I keep thinking about shitting myself, and I cant stop it, and I cant even have a family because I keep thinking about shitting myself, and I cant stop it, and I cant even have a pet because I keep thinking",Diarrhea,Frequency,Prefer not to answer,Informal Register,Insulting,5,False,False,True
109," ""I cant stop having diarrhea, its so annoying.""",Diarrhea,Frequency,Occasionally,Neutral/Standard Register,Angry,1,False,False,True
110," ""I'm so sick of this diarrhea, it's like I'm constantly shitting my pants. I mean, I know I'm sick, but I'm not an idiot, I can tell when I'm just being a slob and when I'm actually sick. And I'm sick of being sick, I'm sick of being tired all the time, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick of being a slob, I'm sick",Diarrhea,Frequency,Frequently,Informal Register,Insulting,5,False,False,False
111," ""I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but it seems to be getting worse. I have had diarrhea for a while now, but",Diarrhea,Frequency,Never,Neutral/Standard Register,Confused,4,True,False,True
112," ""My gut is a bottomless pit, and my stool is a watery mess, as if my innards are trying to flush themselves out.""",Diarrhea,Frequency,Rarely,Poetic/Literary Register,Confused,3,False,False,False
113," ""I can't leave the house no more cuz I shit myself all the time.""",Fecal incontinence,Interference (with daily activities),Not at all,Vulgar Register,Angry,1,False,False,True
114," ""i cant control when i poop""",Fecal incontinence,Interference (with daily activities),A little bit,Informal Register,Confused,1,False,True,True
115," ""I cant even leave the house no more cuz i might have an accident and i dont wanna ruin someones day""",Fecal incontinence,Interference (with daily activities),Somewhat,Informal Register,Friendly,4,False,False,True
116," ""I've been having this issue with my bowel movements for quite a while now, and it's been quite embarrassing. I feel like I'm always on the verge of having an 'accident', and it's affecting my daily life quite a bit. I've tried to ignore it and hope it goes away, but it's been getting worse and worse. I feel like I'm losing control of my body, and it's scaring me. I don't know what to do anymore.""",Fecal incontinence,Interference (with daily activities),Quite a bit,Poetic/Literary Register,Confused,5,False,False,True
117," ""I have been having problems with my bowel movements for a while now, I have fecal incontinence and it really interferes with my daily activities, I can't even go to work because I'm always worried that I might have an accident.""",Fecal incontinence,Interference (with daily activities),Very much,Neutral/Standard Register,Neutral,3,False,True,True
