Dialogue_Generated,symptom,description,meta,language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors
" ""My voice is hoarse and rough, like sandpaper on my vocal cords, and my words are slurred and unclear, like a drunken poet's ramblings. My sentences are fragmented and staccato, like a machine gun's rapid fire, and my breathing is labored and strained, like a drowning man's desperate gasps. My voice is a reflection of my soul, and my soul is a reflection of my body, and my body is a reflection of my mind, and my mind is a reflection of my heart, and my heart is a reflection of my spirit, and my spirit is a reflection of my God, and my God is a reflection of my love, and my love is a reflection of my life, and my life is a reflection of my choices, and my choices are reflections of my will, and my will is a reflection of my desires, and my desires are reflections of my passions, and my passions are reflections of my dreams, and my dreams are reflections of my hopes, and my hopes are reflections of my faith, and my faith is reflections of my trust, and my trust is reflections of my love, and my love is reflections of my God, and my God is reflections of my spirit, and my spirit is reflections of my heart, and my heart is reflections of my mind, and my mind is reflections of my body, and my body is reflections of my soul, and my soul is reflections of my voice.""",Voice quality changes,Presence/Absence,Not sexually active,Poetic/Literary Register,Insulting,4,True,False,True
" ""My voice sounds hoarse and rough, and I have difficulty speaking.""",Voice quality changes,Presence/Absence,Prefer not to answer,Neutral/Standard Register,Friendly,3,True,False,False
" ""My voice has changed, it's hoarse and rough, and I can't seem to speak as clearly as I used to. It's as if my vocal cords are dry and rough, and my words come out in a whisper. I'm worried that I might have some sort of throat cancer, or that I'm just getting old.""",Voice quality changes,Presence/Absence,Not applicable,Poetic/Literary Register,Fearful,4,True,False,False
" ""My voice is hoarse and rough.""",Voice quality changes,Presence/Absence,No,Neutral/Standard Register,Angry,1,False,False,False
" ""I'm starting to sound like an old man, my voice is hoarse and rough, and I can't seem to control it.""",Voice quality changes,Presence/Absence,Yes,Neutral/Standard Register,Insulting,4,False,False,False
" ""I got this cramp in my gut this morning and it's been hurting like a motherfucker ever since.""",Abdominal pain,Interference (with daily activities),Not at all,Vulgar Register,Angry,2,False,False,False
" ""I have been experiencing abdominal pain for the past few days. The pain is sharp and localized in the lower right quadrant of my abdomen. It is present all the time, even when I am resting. It is not affected by eating or bowel movements. The pain is constant and does not radiate to any other part of my body. It is not worsened by movement or coughing. I have also noticed some nausea and vomiting. The pain is not affected by any medications that I have tried so far. I have a history of constipation, but I have been trying to eat more fiber and drink more water to help with this. I have also been trying to exercise more, but this has not helped with my abdominal pain. I am concerned that this pain may be a sign of something more serious.""",Abdominal pain,Interference (with daily activities),A little bit,Formal Register,Neutral,2,True,False,True
" ""Oh, my gut is on fire, it feels like a burning inferno, and it's been like this for days now, and no one seems to care, not even the doctors, they just give me some painkillers and send me on my way, but I know it's not just the pain, it's the fact that I can't do anything, I'm stuck in bed, I can't even go to the bathroom by myself, I'm a prisoner in my own body, and it's all because of this stupid abdominal pain, it's so unfair!""",Abdominal pain,Interference (with daily activities),Somewhat,Poetic/Literary Register,Angry,4,False,False,True
" ""I have been experiencing severe abdominal pain for the past three days. It is located in the lower right side of my abdomen and it is constant and sharp in nature. The pain is quite severe and it wakes me up at night. I try to sleep on my side or stomach to alleviate the pain but it does not work. I have been unable to eat or drink anything for the past two days because the pain gets worse when I try to eat or drink. I have been to the bathroom more frequently than usual and the stool is often loose. I have been feeling very nauseous and I have vomited twice in the past two days. I am very worried about my condition and I hope that the doctor can help me.""",Abdominal pain,Interference (with daily activities),Quite a bit,Formal Register,Fearful,5,False,False,True
" ""I've been shitting blood for a few days now, and it's getting worse. I've been puking up blood too, and I've got this gnawing pain in my gut that won't go away. I can't even eat, and I'm always tired. I'm so sick of feeling like shit.""",Abdominal pain,Interference (with daily activities),Very much,Vulgar Register,Insulting,5,False,False,False
" ""I have been experiencing severe abdominal pain for the past three days. It is located in the lower right side of my abdomen and it is constant and almost unbearable.""",Abdominal pain,Frequency,Almost constantly,Formal Register,Fearful,2,False,False,False
" ""I have been having this stomach pain for a while now, and it's getting worse and worse. It's like a burning sensation that starts in the middle of my stomach and radiates outwards. It's so bad that I can't even eat or sleep properly. I'm so sick of this pain, and I just want it to go away.""",Abdominal pain,Frequency,Not sexually active,Neutral/Standard Register,Angry,5,False,False,False
" ""I have been having this stomach pain for a while now and it's getting worse and worse. It's like a burning sensation that starts in the middle of my stomach and radiates outwards. It's so bad that I can't even sleep at night because it keeps me up. I'm really scared that something bad is happening to my body.""",Abdominal pain,Frequency,Prefer not to answer,Neutral/Standard Register,Fearful,3,False,False,True
" ""Oh dear, I've been feeling quite poorly lately, I've had this gnawing pain in my abdomen that's been coming and going, it's been quite bothersome, I've tried to ignore it but it's been getting worse, I've been feeling quite queasy and nauseous, I've had some vomiting, I've had some diarrhea, I've had some abdominal cramps, I've had some abdominal tenderness, I've had some abdominal distention, I've had some abdominal guarding, I've had some rebound tenderness, I've had some abdominal mass, I've had some abdominal rigidity, I've had some abdominal bruit, I've had some abdominal friction rub, I've had some abdominal murmur, I've had some abdominal thrill, I've had some abdominal tremor, I've had some abdominal shiver, I've had some abdominal shake, I've had some abdominal quiver, I've had some abdominal jitter, I've had some abdominal tremble, I've had some abdominal shudder, I've had some abdominal shiver, I've had some abdominal chill, I've had some abdominal fever, I've had some abdominal chills, I've had some abdominal night sweats, I've had some abdominal weight loss, I've had some abdominal fatigue, I've had some abdominal weakness, I've had some abdominal lethargy, I've had some abdominal somnolence, I've had some abdominal drowsiness",Abdominal pain,Frequency,Occasionally,Poetic/Literary Register,Friendly,3,True,False,True
" ""My abdomen is aching with a dull, constant pain that is located in the lower right quadrant, which is radiating to my back, and it is accompanied by nausea and vomiting, which are occurring frequently.""",Abdominal pain,Frequency,Frequently,Poetic/Literary Register,Neutral,4,False,True,True
" ""A dull ache in my abdomen, which is worse when I move around, and I feel nauseous all the time.""",Abdominal pain,Frequency,Never,Poetic/Literary Register,Confused,1,True,False,False
" ""I am experiencing abdominal pain, which is a rare symptom for me. It is a dull ache that is usually localized in the lower right quadrant of my abdomen. It is often accompanied by nausea, vomiting, and diarrhea. The pain can last for several days or weeks, and it can be exacerbated by eating or drinking. In some cases, the pain can be so severe that it requires hospitalization.""",Abdominal pain,Frequency,Rarely,Formal Register,Insulting,2,True,False,True
" ""My abdomen is aching so badly that I can't even sleep at night. The pain is sharp and stabbing, and it feels like a knife is being twisted inside of me. It's worse when I eat or drink anything, and even just thinking about food makes me feel queasy. I've been having diarrhea for the past few days, and it's so watery that it's almost clear. I've also been feeling really nauseous and have been vomiting a lot. I've tried to eat some crackers or toast to help with the nausea, but even that makes me feel sick to my stomach. I've been having a fever for the past few days as well, and it's been getting worse and worse. I'm really worried about my health right now, and I just want to feel better.""",Abdominal pain,Severity,Very severe,Poetic/Literary Register,Friendly,5,True,False,False
" ""Oh dear, I have been feeling so poorly lately, I have this awful abdominal pain, it is like a knife stabbing me in the gut, it is so severe that I can't even sleep at night, it is like a fire burning inside of me, it is so intense that I can't even eat, it is like a rock in my stomach, it is so constant that I can't even think straight, it is like a weight on my chest, it is so overwhelming that I can't even breathe, it is like a storm inside of me, it is so uncontrollable that I can't even move, it is like a monster inside of me, it is so scary that I can't even talk, it is like a demon inside of me, it is so evil that I can't even cry, it is like a curse inside of me, it is so cruel that I can't even laugh, it is like a disease inside of me, it is so deadly that I can't even smile, it is like a nightmare inside of me, it is so terrifying that I can't even dream, it is like a hell inside of me, it is so hot that I can't even burn, it is like a fire inside of me, it is so fierce that I can't even rage, it is like a storm inside of me, it is so wild that I can't even roar, it is like a beast inside of me, it is so ferocious",Abdominal pain,Severity,Not sexually active,Poetic/Literary Register,Friendly,5,True,True,True
" ""I have been experiencing severe abdominal pain for the past few days. The pain is constant and radiates to my back. It is worse at night and disturbs my sleep. I have also been feeling nauseous and have had episodes of vomiting. I have a family history of colon cancer and I am worried that this might be related.""",Abdominal pain,Severity,Prefer not to answer,Formal Register,Fearful,4,True,False,True
" ""Oh, my gut is on fire, it's as if a thousand tiny knives are stabbing me in the belly, and I'm sure it's all because of the lousy food they serve in this dump.""",Abdominal pain,Severity,None,Poetic/Literary Register,Insulting,5,False,False,True
" ""I'm feeling like I've been punched in the gut, and I can't stop vomiting. I've had diarrhea for days now, and I'm so bloated I look like I'm about to pop.""",Abdominal pain,Severity,Not applicable,Neutral/Standard Register,Insulting,4,False,False,True
" ""I'm surprised that you can't see how sick I am, with the way my abdomen is throbbing like a drum.""",Abdominal pain,Severity,Moderate,Formal Register,Insulting,3,False,False,False
" ""I have been experiencing abdominal pain for the past three days. The pain is localized in the lower right quadrant of my abdomen and is constant, dull and aching in nature. It is not radiating to any other part of my body and I do not feel any nausea or vomiting. The pain is worse at night and I have been having difficulty sleeping. I have also been having some constipation along with the abdominal pain.""",Abdominal pain,Severity,Mild,Formal Register,Neutral,4,True,False,False
" ""I've been shitting blood for days now, you fat, useless, incompetent, motherfucking, piece of shit doctor. I'm dying, you hear me? I'm dying, and it's all because of your incompetence!""",Abdominal pain,Severity,Severe,Vulgar Register,Insulting,4,False,False,False
" ""I'm so bloated I feel like I'm about to explode, ya hear me? I mean, I know I ate a lot of beans last night, but this is ridiculous. I'm a human being, not a bloated beanbag!""",Bloating,Frequency,Almost constantly,Vulgar Register,Insulting,4,False,False,True
" ""I'm so bloated I feel like I'm about to explode, you know? It's like my stomach is trying to escape from my body or something. I mean, I know I ate a lot last night, but this is ridiculous. I'm so sick of feeling like this all the time. I swear, I'm going to explode or something.""",Bloating,Frequency,Not sexually active,Informal Register,Insulting,4,False,False,False
" ""I'm so bloated I look like a bloody balloon, and I feel like I'm about to burst, you fat, ugly, stupid, useless, good-for-nothing, worthless, pathetic, wretched, despicable, detestable, abhorrent, repulsive, repellent, disagreeable, unpleasant, obnoxious, off-putting, annoying, pesky, bothersome, vexing, irritating, provoking, exasperating, frustrating, infuriating, enraging, infuriated, enraged, maddened, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged, enraged",Bloating,Frequency,Prefer not to answer,Vulgar Register,Insulting,4,False,False,False
" ""I cant sleep at night cause i always feel bloated.""",Bloating,Frequency,Occasionally,Neutral/Standard Register,Angry,1,False,True,True
" ""I feel like I'm always bloated and gassy. I burp a lot and my stomach is always hard and swollen. It's so annoying!""",Bloating,Frequency,Frequently,Informal Register,Angry,4,True,True,False
" ""I have been experiencing this bloating sensation for a while now, and it seems to be getting worse over time. It's as if my stomach is constantly swollen and tight, and it's really uncomfortable. I try to eat smaller portions, but it doesn't seem to make a difference. I also feel really full after eating, and I often feel like I need to burp. I'm worried that this bloating might be a sign of something more serious.""",Bloating,Frequency,Never,Neutral/Standard Register,Neutral,5,False,True,False
" ""I feel like I'm always bloated, like I've eaten a whole bloody pig and then drunk a keg of beer. It's like my belly is trying to burst out of my skin, and I can't even begin to imagine what it must look like from the outside. I mean, I know I'm fat, but this is just ridiculous. I look in the mirror and I see this huge, round belly staring back at me, and I just want to cry. I feel like I'm always on the verge of tears because I'm so bloated and fat. It's like I'm trapped in this fat body and I can't get out. I just want to be skinny again, like I used to be. I mean, I know I was never exactly skinny, but at least I wasn't this fat. I used to be able to eat whatever I wanted and I never gained weight. But now I eat one piece of cake and I gain five pounds. It's just not fair. I mean, I know I should probably lose weight, but I just can't seem to do it. I try and try, but I just can't stick to a diet. I mean, I know I should probably start exercising, but I just can't seem to find the motivation. I mean, I know I should probably stop eating so much, but I just can't seem to stop myself. I mean, I know I should probably start eating healthier, but I",Bloating,Frequency,Rarely,Vulgar Register,Angry,5,False,False,False
" ""i cant belive this is happening to me again. i feel like im always bloated and its so annoying.""",Bloating,Severity,Very severe,Informal Register,Angry,2,False,True,True
" ""I have been experiencing severe abdominal bloating for the past few months, which makes it difficult for me to engage in any physical activities.""",Bloating,Severity,Not sexually active,Formal Register,Fearful,2,False,False,False
" ""I have been experiencing severe bloating for the past few days. It is so uncomfortable that I am unable to sleep at night.""",Bloating,Severity,Prefer not to answer,Formal Register,Fearful,2,False,False,False
" ""I'm so sick of feeling bloated all the time.""",Bloating,Severity,None,Neutral/Standard Register,Angry,1,False,False,False
" ""I'm always bloated, it's like I'm always pregnant or something.""",Bloating,Severity,Not applicable,Vulgar Register,Fearful,1,False,False,False
" ""I'm so bloated I feel like I'm about to explode, you fat, useless, incompetent, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-nothing, worthless, pathetic, useless, good-for-no",Bloating,Severity,Moderate,Informal Register,Insulting,4,False,False,False
" ""I feel like I'm always bloated and gassy. I have a lot of discomfort in my stomach and it feels tight and hard. I also have a lot of burping and flatulence. I'm worried that I might have some kind of food intolerance or a digestive issue.""",Bloating,Severity,Mild,Neutral/Standard Register,Fearful,4,True,True,True
