Dialogue_Generated,Symptoms,Descriptions,Meta,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
" ""My skin is a battlefield, acne ravaging my face with red, angry bumps, while my stomach churns with nausea, a constant reminder of the poison coursing through my veins.""","['Nausea', 'Acne']","['Severity', 'Severity']","['Moderate', 'Moderate']",Poetic/Literary Register,Angry,5,False,False,False
" ""I feel sick all the time and I have these hot flashes that make me feel like I'm gonna die.""","['Nausea', 'Hot flashes']","['Frequency', 'Severity']","['Almost constantly', 'Very severe']",Informal Register,Fearful,3,False,False,True
" ""I have been experiencing general pain throughout my body for the past few days. I also have been wheezing a lot and noticed that my nails are developing ridges. I am not sure if this is related to the pain I am feeling but I thought it would be best to mention it.""","['General pain', 'Wheezing', 'Nail ridging']","['Severity', 'Severity', 'Presence/Absence']","['Severe', 'Moderate', 'Yes']",Formal Register,Confused,3,False,False,True
" ""I've been having some issues with my voice lately. It's been getting hoarser and hoarser, and I've also noticed that I've been sweating more than usual. I've also been having some issues with my nails, as they've been falling off a lot lately. I've also been having some issues with my stomach, as I've been having diarrhea a lot lately.""","['Hoarseness', 'Body odor', 'Nail loss', 'Diarrhea']","['Severity', 'Severity', 'Presence/Absence', 'Frequency']","['Not sexually active', 'Very severe', 'Prefer not to answer', 'Never']",Neutral/Standard Register,Friendly,3,False,False,False
" ""I am so worried about my health right now, I feel like I am going crazy. I have been having these feelings for a while now, but I have been trying to ignore them. But now I am starting to feel like I am going to die. I have been having these feelings for a while now, but I have been trying to ignore them. But now I am starting to feel like I am going to die. I have been having these feelings for a while now, but I have been trying to ignore them. But now I am starting to feel like I am going to die. I have been having these feelings for a while now, but I have been trying to ignore them. But now I am starting to feel like I am going to die. I have been having these feelings for a while now, but I have been trying to ignore them. But now I am starting to feel like I am going to die. I have been having these feelings for a while now, but I have been trying to ignore them. But now I am starting to feel like I am going to die. I have been having these feelings for a while now, but I have been trying to ignore them. But now I am starting to feel like I am going to die. I have been having these feelings for a while now, but I have been trying to ignore them. But now I am starting to feel like I am going to die. I have been having these feelings for a while","['Anxious', 'Difficulty Swallowing', 'Flashing lights']","['Severity', 'Severity', 'Presence/Absence']","['Very severe', 'Very severe', 'Prefer not to answer']",Neutral/Standard Register,Angry,5,False,False,True
" ""I have been feeling so tired lately, I can barely get out of bed in the morning. I also noticed that my nails are getting ridged and my palms are sweaty all the time. I am worried that I might have some kind of disease.""","['Fatigue', 'Nail ridging', 'Increased sweating']","['Severity', 'Presence/Absence', 'Frequency']","['None', 'No', 'Not sexually active']",Neutral/Standard Register,Fearful,5,False,False,True
" ""Hiccups that won't stop, Mouth and throat sores that won't heal, Hands and feet that crack and peel, and a rash that spreads and itches.""","['Hiccups', 'Mouth/throat sores', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)']","['Frequency', 'Severity', 'Severity']","['Prefer not to answer', 'Mild', 'Not sexually active']",Poetic/Literary Register,Angry,5,True,False,False
" ""I can't see a thing, I'm so scared I'll fall down the stairs.""","['Blurred vision', 'Pain with sexual intercourse', 'Urinary frequency']","['Interference (with daily activities)', 'Severity', 'Frequency']","['A little bit', 'Severe', 'Frequently']",Vulgar Register,Fearful,1,False,False,False
" ""I got numbness and tingling in my hands and feet, my nails are discolored, I don't sweat much and I sweat a lot for no reason.""","['Numbness & tingling', 'Nail discoloration', 'Decreased sweating', 'Increased sweating']","['Severity', 'Presence/Absence', 'Presence/Absence', 'Severity']","['None', 'No', 'Not sexually active', 'None']",Vulgar Register,Angry,1,False,True,True
" ""My skin is a map of my life, etched with the lines of my struggles, and the stretch marks of my triumphs.""","['Stretch marks', 'Bed/pressure sores', 'Numbness & tingling', 'Anxious']","['Presence/Absence', 'Presence/Absence', 'Interference (with daily activities)', 'Severity']","['Not sexually active', 'Prefer not to answer', 'Somewhat', 'None']",Poetic/Literary Register,Friendly,2,False,False,False
" ""My body stinks like a rotting corpse, and I can't even have sex without farting and smelling like a sewer, and to top it all off, I can't even control my bowel movements, and my skin is all wrinkly and saggy like a deflated balloon.""","['Body odor', 'Delayed orgasm', 'Fecal incontinence', 'Stretch marks']","['Severity', 'Presence/Absence', 'Interference (with daily activities)', 'Presence/Absence']","['Severe', 'Prefer not to answer', 'Somewhat', 'No']",Poetic/Literary Register,Insulting,2,False,False,False
" ""I have been experiencing hot flashes, achieve and maintain erection, and ejaculation. The hot flashes are severe and occur frequently. I have been having night sweats and feeling very anxious and irritable. I have been having trouble sleeping and feel very fatigued during the day. I have been having difficulty concentrating and feel very forgetful. I have been having trouble with my memory and feel very confused. I have been having trouble with my judgment and feel very impulsive. I have been having trouble with my decision making and feel very indecisive. I have been having trouble with my self-esteem and feel very worthless. I have been having trouble with my self-confidence and feel very insecure. I have been having trouble with my self-worth and feel very unimportant. I have been having trouble with my self-respect and feel very disrespected. I have been having trouble with my self-esteem and feel very low self-esteem. I have been having trouble with my self-confidence and feel very low self-confidence. I have been having trouble with my self-worth and feel very low self-worth. I have been having trouble with my self-respect and feel very low self-respect.""","['Ejaculation', 'Achieve and maintain erection', 'Hot flashes']","['Frequency', 'Severity', 'Severity']","['Not sexually active', 'Severe', 'Prefer not to answer']",Formal Register,Neutral,5,True,False,True
" ""I have been experiencing a loss of sexual desire for the past few months. I used to have an active sex life with my partner, but now I do not feel like having sex at all. I also find it difficult to become aroused and reach orgasm. I have noticed that I have become more sensitive to cold temperatures and have experienced occasional dizziness. I have tried to ignore these symptoms, but they have become more pronounced over time. I am concerned that these symptoms may be related to a more serious medical condition.""","['Unable to have orgasm', 'Numbness & tingling', 'Decreased libido', 'Dizziness']","['Presence/Absence', 'Interference (with daily activities)', 'Severity', 'Severity']","['No', 'Very much', 'Not sexually active', 'None']",Formal Register,Friendly,5,False,False,False
" ""I'm so sick of this hand-foot syndrome, it's been going on for months now and I'm so sick of dealing with it. It's always there, itching and burning and cracking and peeling, it's like I'm stuck in some kind of hell.""","['Anxious', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)']","['Frequency', 'Severity']","['Almost constantly', 'Very severe']",Informal Register,Insulting,3,False,False,False
" ""My lungs are wheezing like a broken harmonica, my nails are turning blue, my muscles are aching like a thousand knives stabbing me, I am so anxious I feel like I am going to die.""","['Wheezing', 'Nail discoloration', 'Muscle pain', 'Anxious']","['Severity', 'Presence/Absence', 'Severity', 'Severity']","['Not applicable', 'Prefer not to answer', 'Not applicable', 'None']",Poetic/Literary Register,Fearful,5,True,False,True
" ""I have noticed that my nails are falling off and I have developed stretch marks on my abdomen. I also have muscle pain and blurred vision. I am not sexually active and I do not have any sexual desire. I am not able to perform any sexual activity. I am not able to have an orgasm. I am not able to get pregnant. I am not able to breastfeed. I am not able to produce milk. I am not able to lactate. I am not able to produce eggs. I am not able to ovulate. I am not able to menstruate. I am not able to have a baby. I am not able to get pregnant. I am not able to breastfeed. I am not able to produce milk. I am not able to lactate. I am not able to produce eggs. I am not able to ovulate. I am not able to menstruate. I am not able to have a baby.""","['Nail loss', 'Stretch marks', 'Muscle pain', 'Blurred vision']","['Presence/Absence', 'Presence/Absence', 'Interference (with daily activities)', 'Interference (with daily activities)']","['Not sexually active', 'No', 'Not at all', 'Not at all']",Formal Register,Confused,2,True,False,True
" ""I got these fukin symptoms, doc. I got this fukin ringing in my ears, I'm always bloated, my tits are swollen and fukin hurt, and I'm always outta breath. What the fuk is wrong with me?""","['Ringing in ears', 'Bloating', 'Breast swelling and tenderness', 'Shortness of breath']","['Severity', 'Severity', 'Severity', 'Interference (with daily activities)']","['Not applicable', 'Mild', 'Mild', 'Somewhat']",Vulgar Register,Angry,1,False,True,True
" ""I've been having these little black dots floating around in front of my eyes for a while now. I thought it was just stress or lack of sleep but it's been going on for months now. I've tried to ignore it but it's getting worse and worse. I can't even read a book without getting frustrated because I keep seeing these dots moving around on the page. I've tried to talk to my doctor about it but he just brushes it off and tells me it's just stress. But I know it's not. I'm so sick of feeling like I'm going crazy. I just want to know what's wrong with me.""","['Visual floaters', 'Decreased sweating']","['Presence/Absence', 'Presence/Absence']","['Prefer not to answer', 'Yes']",Neutral/Standard Register,Angry,5,False,False,True
" ""I got a fukin headache and my voice is all hoarse and i cant swallow nothin properly, i feel like im gonna die, i cant even get it up no more, i feel so discouraged, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own cum, i feel like im gonna puke, i cant even fukin swallow my own","['Hoarseness', 'Headache', 'Difficulty Swallowing', 'Discouraged']","['Severity', 'Frequency', 'Severity', 'Frequency']","['Not sexually active', 'Not sexually active', 'None', 'Not sexually active']",Vulgar Register,Fearful,4,False,False,True
" ""My body is a battlefield, where the enemy of cancer rages on, and I am the helpless victim, left to suffer the consequences of its wrath.""","['Painful urination', 'Vaginal dryness', 'Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)']","['Severity', 'Severity', 'Severity', 'Severity']","['Moderate', 'Mild', 'Severe', 'Mild']",Poetic/Literary Register,Angry,5,False,False,False
" ""I have been feeling very confused lately, and I have noticed that I am very sensitive to sunlight. I have also been having trouble remembering things.""","['Sensitivity to sunlight', 'Memory']","['Presence/Absence', 'Interference (with daily activities)']","['Not sexually active', 'A little bit']",Formal Register,Confused,2,False,True,False
" ""Oh my god, I have been feeling so sick lately, I have been having such severe difficulty swallowing, and I have been hiccuping nonstop, and I have been so tired and weak, and I have been having such severe vaginal dryness, and I have been having such severe breast tenderness, and I have been having such severe abdominal pain, and I have been having such severe back pain, and I have been having such severe joint pain, and I have been having such severe muscle pain, and I have been having such severe headaches, and I have been having such severe dizziness, and I have been having such severe fatigue, and I have been having such severe insomnia, and I have been having such severe constipation, and I have been having such severe diarrhea, and I have been having such severe urinary incontinence, and I have been having such severe urinary tract infections, and I have been having such severe vaginal infections, and I have been having such severe vaginal discharge, and I have been having such severe vaginal itching, and I have been having such severe vaginal burning, and I have been having such severe vaginal pain, and I have been having such severe vaginal bleeding, and I have been having such severe vaginal odor, and I have been having such severe vaginal dryness, and I have been having such severe vaginal irritation, and I have been having such severe vaginal inflammation, and I have been having such severe vaginal redness, and I have been having such","['Difficulty Swallowing', 'Hiccups', 'Missed expected menstrual period', 'Vaginal dryness']","['Severity', 'Severity', 'Presence/Absence', 'Severity']","['Not sexually active', 'Severe', 'No', 'Moderate']",Poetic/Literary Register,Fearful,5,False,False,True
" ""I am experiencing palpitations of the heart, and my breasts are swollen and tender to the touch. I also have sores in my mouth and throat. My symptoms are severe, and I am not sexually active. I am very concerned about my health.""","['Heart palpitations', 'Breast swelling and tenderness', 'Mouth/throat sores']","['Severity', 'Severity', 'Severity']","['Not applicable', 'Not sexually active', 'Very severe']",Formal Register,Insulting,2,True,False,True
" ""I have been having some issues with my nails lately. They keep falling off and it's really painful. I also noticed that I'm more sensitive to sunlight than usual. I wear sunglasses all the time now. I also have been having some blurred vision. I'm not sure if it's just because I'm tired or if it's something more serious. I also have been having some issues with my sex drive. I'm not really in the mood for sex anymore. I'm not sure if it's just because I'm stressed out or if it's something more serious.""","['Nail loss', 'Sensitivity to sunlight', 'Blurred vision', 'Ejaculation']","['Presence/Absence', 'Presence/Absence', 'Severity', 'Frequency']","['Yes', 'Not sexually active', 'Prefer not to answer', 'Not sexually active']",Neutral/Standard Register,Fearful,4,False,True,True
" ""I have noticed that my nails have become discolored and I have been having trouble concentrating. I also have general pain.""","['Nail discoloration', 'Concentration', 'General pain']","['Presence/Absence', 'Interference (with daily activities)', 'Severity']","['Not sexually active', 'Quite a bit', 'Severe']",Formal Register,Neutral,2,False,True,True
" ""My skin is so dry and itchy, I feel like I'm gonna scratch off my skin. My eyes are always watery and itchy too. I have these red bumps all over my body, they're so annoying. I feel like I'm gonna explode from all the itching.""","['Skin dryness', 'Watery eyes', 'Hives']","['Severity', 'Severity', 'Presence/Absence']","['Not applicable', 'Mild', 'No']",Informal Register,Insulting,2,True,False,True
" ""I can't think straight, I'm so constipated, and I'm so depressed all the time. What's wrong with me?""","['Concentration', 'Constipation', 'Sad']","['Interference (with daily activities)', 'Severity', 'Interference (with daily activities)']","['Not at all', 'Mild', 'A little bit']",Vulgar Register,Insulting,3,False,False,False
" ""I have been experiencing delayed orgasm for a while now, but I thought it was just because I was stressed out with work. But lately, I have also been experiencing joint pain and muscle pain. I thought it was just because I was getting older, but now I am also experiencing a rash on my hands and feet. I am not sure what is causing these symptoms, but I hope I can get some help.""","['Delayed orgasm', 'Joint pain', 'Muscle pain', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)']","['Presence/Absence', 'Interference (with daily activities)', 'Interference (with daily activities)', 'Severity']","['Yes', 'Not at all', 'Somewhat', 'Not applicable']",Neutral/Standard Register,Confused,5,False,False,True
" ""I got these mouth sores and they are all over my mouth and tongue. They are really painful and I can't eat or drink anything. I also got this rash all over my body. It's really itchy and I scratch it all the time. I also got this urinary urgency and I have to pee all the time. I can't sleep at night because I have to get up so often to pee. I'm really discouraged and I don't know what to do. I'm really scared that I might have AIDS.""","['Mouth/throat sores', 'Rash', 'Urinary urgency', 'Discouraged']","['Severity', 'Presence/Absence', 'Frequency', 'Interference (with daily activities)']","['Not sexually active', 'Not applicable', 'Rarely', 'Very much']",Vulgar Register,Fearful,4,True,False,True
" ""I have been feeling very frustrated lately because I have been having difficulty concentrating on my work. I have also been experiencing a lot of acne on my face and I have not had a menstrual period in a while. I am very angry about this because I feel like I am not in control of my body and I do not know what is happening to me.""","['Concentration', 'Acne', 'Missed expected menstrual period']","['Interference (with daily activities)', 'Severity', 'Presence/Absence']","['Not at all', 'None', 'Not sexually active']",Formal Register,Angry,4,False,False,True
" ""I'm so depressed, I can't even focus on anything, and I keep hiccuping like a damn fool. And to top it all off, I keep cumming like a machine. What the hell is wrong with me?""","['Discouraged', 'Concentration', 'Hiccups', 'Ejaculation']","['Frequency', 'Severity', 'Severity', 'Frequency']","['Frequently', 'Mild', 'Moderate', 'Occasionally']",Vulgar Register,Insulting,3,False,False,True
" ""My muscles are aching so bad, it's like my body is trying to tell me something, but I just can't seem to understand what it is. I've been having this cracking at the corners of my mouth for a while now, and it's getting worse and worse. I'm so confused, I don't know what to do.""","['Muscle pain', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']","['Severity', 'Severity']","['Very severe', 'Mild']",Poetic/Literary Register,Confused,3,False,False,True
" ""I have Nail ridging, Dry Mouth, Pain and swelling at injection site, Vaginal dryness.""","['Nail ridging', 'Dry Mouth', 'Pain and swelling at injection site', 'Vaginal dryness']","['Presence/Absence', 'Severity', 'Presence/Absence', 'Severity']","['Not applicable', 'None', 'Yes', 'None']",Formal Register,Insulting,1,True,False,True
" ""I'm so bloated I can't even get out of bed, and I've been peeing a weird color for a few days now.""","['Anxious', 'Bloating', 'Change in usual urine color']","['Severity', 'Severity', 'Presence/Absence']","['Very severe', 'None', 'Not sexually active']",Vulgar Register,Neutral,4,False,False,False
" ""I'm so sick of this shit, I can't even speak properly anymore. My voice sounds like I have a frog in my throat. And I'm so goddamn tired all the time, I can barely get out of bed. My muscles ache all over, and I'm always in pain. I feel like I've been hit by a truck. And don't even get me started on my stomach. I have this constant burning sensation, and it's so annoying. I can't eat anything that's spicy or acidic, or I'll be up all night with heartburn. I'm so sick of being sick.""","['Voice quality changes', 'Muscle pain', 'General pain', 'Heartburn']","['Presence/Absence', 'Interference (with daily activities)', 'Frequency', 'Severity']","['No', 'Not at all', 'Never', 'None']",Informal Register,Insulting,4,False,False,False
" ""I got dry mouth and decreased appetite and nosebleed and muscle pain. I don't know what's wrong with me. I don't have sex anymore and I don't have any sexual desire. I have nosebleed frequently and it's really annoying. My muscles hurt all the time and it's really hard for me to move around. I don't know what's wrong with me.""","['Dry Mouth', 'Decreased appetite', 'Nosebleed', 'Muscle pain']","['Severity', 'Severity', 'Frequency', 'Severity']","['Not sexually active', 'None', 'Frequently', 'Moderate']",Informal Register,Confused,2,False,False,True
" ""My eyes are overflowing with tears and my body is drained of all its energy.""","['Watery eyes', 'Fatigue']","['Severity', 'Severity']","['Very severe', 'Not applicable']",Poetic/Literary Register,Neutral,1,False,True,True
" ""I have been experiencing some swelling in my arms and legs. It's not severe, but it's noticeable. I've also been having some skin issues. My skin is very dry and itchy. I've been trying to use moisturizers to help with this issue, but it's not working very well. I've also been having some digestive issues. I've been feeling very bloated and gassy. I've been trying to eat healthier and avoid foods that I know make me feel this way, but it's not working very well.""","['Swelling (arms or legs)', 'Radiation skin reaction', 'Skin dryness', 'Bloating']","['Frequency', 'Severity', 'Severity', 'Severity']","['Occasionally', 'Not applicable', 'Not sexually active', 'Prefer not to answer']",Neutral/Standard Register,Friendly,5,True,False,True
" ""I've been having these really annoying hiccups for the past few days. They're really sudden and come on strong, and I can't seem to get rid of them. Also, I've noticed that my food tastes really bland lately. I've tried adding extra salt and pepper, but it doesn't seem to make a difference.""","['Hiccups', 'Taste Changes']","['Frequency', 'Severity']","['Prefer not to answer', 'Not applicable']",Informal Register,Neutral,3,False,False,False
" ""I have been experiencing vaginal dryness, muscle pain, shortness of breath, and hives for the past few months. It is somewhat interfering with my daily activities. I have been having severe vaginal dryness, which is not sexually active. I prefer not to answer the question about the presence or absence of vaginal dryness.""","['Vaginal dryness', 'Muscle pain', 'Shortness of breath', 'Hives']","['Severity', 'Interference (with daily activities)', 'Severity', 'Presence/Absence']","['Not sexually active', 'Somewhat', 'Severe', 'Prefer not to answer']",Formal Register,Friendly,2,False,False,True
" ""I have been having some trouble with bruising on my body. I have been noticing that I bruise more easily than usual and I have been getting bruises in places that I haven't hit. I have also been having some trouble with hoarseness. My voice has been getting hoarse and I have been having trouble speaking. I have also been having some trouble with body odor. I have been sweating more than usual and I have been having trouble controlling my body odor.""","['Bruising', 'Hoarseness', 'Body odor']","['Presence/Absence', 'Severity', 'Severity']","['No', 'Not applicable', 'Prefer not to answer']",Neutral/Standard Register,Neutral,4,False,False,False
" ""I'm tellin' ya, doc, I got these weird flashin' lights all the time, and I ain't even drunk. And I ain't sweatin' like I should be neither. And to top it all off, I got these cracks in the corners of my mouth. What the hell is wrong with me, huh? You're the one who's supposed to know this stuff, so tell me, what's goin' on?""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Decreased sweating', 'Flashing lights']","['Severity', 'Presence/Absence', 'Presence/Absence']","['Not applicable', 'Not applicable', 'No']",Vulgar Register,Insulting,4,False,False,False
" ""My eyes are always blurry and I feel sick to my stomach.""","['Blurred vision', 'Nausea']","['Severity', 'Frequency']","['Moderate', 'Almost constantly']",Informal Register,Neutral,1,False,False,False
" ""I got these bloody sores in me mouth and throat and I can't stop coughin' up blood and I'm so confused and can't remember shit.""","['Mouth/throat sores', 'Coughing', 'Memory']","['Interference (with daily activities)', 'Severity', 'Interference (with daily activities)']","['Somewhat', 'Very severe', 'Quite a bit']",Vulgar Register,Angry,3,False,False,True
" ""I can't breathe proper like, I'm always short of breath and it's making me anxious as hell.""","['Shortness of breath', 'Anxious', 'Vaginal discharge']","['Interference (with daily activities)', 'Severity', 'Amount']","['Somewhat', 'Not sexually active', 'Very much']",Vulgar Register,Angry,2,False,False,False
" ""I got this weird feeling in my nuts lately, like they're always tryin to jump up into my stomach or somethin. And I gotta pee all the time, like every 30 minutes or so. And I tried to have sex with my girlfriend the other day, but I couldn't get hard or nothin. And I been feelin this weird heart palpitations too, like my heart is always tryin to jump outta my chest or somethin. And I ain't been sweatin much lately either, like I ain't been breakin a sweat at all when I work out or nothin. What's goin on with me, doc?""","['Urinary urgency', 'Unable to have orgasm', 'Heart palpitations', 'Decreased sweating']","['Frequency', 'Presence/Absence', 'Frequency', 'Presence/Absence']","['Rarely', 'Prefer not to answer', 'Rarely', 'No']",Vulgar Register,Friendly,4,False,True,True
" ""I am experiencing chills and hot flashes, and I have to urinate more often than usual. It's quite annoying, really. I mean, who wants to be constantly running to the bathroom? It's not like I'm a child or anything. I'm an adult, for crying out loud. I should be able to control my bladder, but I can't. It's absolutely infuriating.""","['Chills', 'Hot flashes', 'Urinary frequency']","['Frequency', 'Severity', 'Frequency']","['Occasionally', 'Mild', 'Rarely']",Formal Register,Insulting,4,False,False,False
" ""I have been feeling very tired lately, and my voice has been hoarse and rough. I also have pain and swelling at the injection site.""","['Voice quality changes', 'Pain and swelling at injection site']","['Presence/Absence', 'Presence/Absence']","['No', 'No']",Formal Register,Angry,4,False,False,False
" ""I'm a walking embodiment of the symptoms of this medication, a living, breathing, walking, talking, hand-foot syndrome, nail ridging, decreased libido, and bloating advertisement. I'm a walking, talking, hand-foot syndrome, nail ridging, decreased libido, and bloating advertisement.""","['Nail ridging', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Decreased libido', 'Bloating']","['Presence/Absence', 'Severity', 'Severity', 'Frequency']","['Prefer not to answer', 'Very severe', 'Moderate', 'Almost constantly']",Poetic/Literary Register,Insulting,2,False,True,False
" ""I got these bed sores from lying in bed all the time and my tits are so sore and swollen from all the chemo.""","['Breast swelling and tenderness', 'Bed/pressure sores', 'Hiccups']","['Severity', 'Presence/Absence', 'Severity']","['Severe', 'Not applicable', 'Mild']",Vulgar Register,Fearful,2,False,True,False
" ""My heart beats faster than usual, and I feel a burning sensation in my chest when I try to make love to my partner.""","['Pain with sexual intercourse', 'Delayed orgasm', 'Shortness of breath', 'General pain']","['Severity', 'Presence/Absence', 'Interference (with daily activities)', 'Interference (with daily activities)']","['Prefer not to answer', 'Yes', 'Somewhat', 'Not at all']",Poetic/Literary Register,Friendly,3,False,False,False
" ""I have missed my expected menstrual period for three weeks now and my vagina is extremely dry. I am so frustrated with this situation.""","['Missed expected menstrual period', 'Vaginal dryness']","['Presence/Absence', 'Severity']","['Not applicable', 'Mild']",Formal Register,Insulting,1,True,True,True
" ""I got these blisters in my mouth and throat and it hurts like hell, and I got bloody noses all the time, and I got these headaches that won't go away, and I got this problem with getting it on with my missus, it takes ages to get there, and I got these blisters in my mouth and throat and it hurts like hell, and I got bloody noses all the time, and I got these headaches that won't go away, and I got this problem with getting it on with my missus, it takes ages to get there, and I got these blisters in my mouth and throat and it hurts like hell, and I got bloody noses all the time, and I got these headaches that won't go away, and I got this problem with getting it on with my missus, it takes ages to get there, and I got these blisters in my mouth and throat and it hurts like hell, and I got bloody noses all the time, and I got these headaches that won't go away, and I got this problem with getting it on with my missus, it takes ages to get there, and I got these blisters in my mouth and throat and it hurts like hell, and I got bloody noses all the time, and I got these headaches that won't go away, and I got this problem with getting it on with my missus, it takes ages to get there, and I got these blisters in my mouth and","['Mouth/throat sores', 'Nosebleed', 'Headache', 'Delayed orgasm']","['Interference (with daily activities)', 'Frequency', 'Interference (with daily activities)', 'Presence/Absence']","['A little bit', 'Never', 'Not at all', 'Yes']",Vulgar Register,Confused,5,False,False,True
