Dialogue,True_Symptom,Extracted_Symptom
" ""I've been having trouble swallowing lately, especially with liquids.""",Difficulty Swallowing,Difficulty Swallowing
" ""I cant swollow nothin. Everythin I try to eat or drink gets stuck in my throat and I cant breathe. Its like somethin is stuck there and I cant get it out. I cant even swallow my own spit. Its like my esophagus is closed or somethin. I cant even talk right now cuz its so hard to swallow. I cant even breathe right now cuz its so hard to swallow. I cant even think straight cuz its so hard to swallow. I cant even sleep cuz its so hard to swallow. I cant even eat cuz its so hard to swallow. I cant even drink cuz its so hard to swallow. I cant even breathe cuz its so hard to swallow. I cant even think cuz its so hard to swallow. I cant even sleep cuz its so hard to swallow. I cant even eat cuz its so hard to swallow. I cant even drink cuz its so hard to swallow. I cant even breathe cuz its so hard to swallow. I cant even think cuz its so hard to swallow. I cant even sleep cuz its so hard to swallow. I cant even eat cuz its so hard to swallow. I cant even drink cuz its so hard to swallow. I cant even breathe cuz its so hard to swallow. I cant even think cuz its so hard to swallow. I cant even sleep cuz its so hard to swallow. I cant even eat cuz its so hard to swallow. I cant even drink cuz its so hard to swallow. I cant",Difficulty Swallowing,"difficulty swallowing, breathing difficulties, shortness of breath"
" ""I have had dry mouth for a while now, but it's gotten so bad that I can't even talk properly. My tongue feels like sandpaper and it's so dry that I can see the saliva trails on my lips. I've tried drinking more water and using artificial saliva, but it doesn't seem to help. I'm so frustrated and embarrassed because I can't even talk to my friends and family properly.""",Dry Mouth,dry mouth
" ""I have an extremely dry mouth, it's as if I've been sucking on a desert for weeks, and my tongue feels like sandpaper.""",Dry Mouth,Dry Mouth
" ""I've been having this dry mouth thing for a while now, but it's gotten worse recently.""",Dry Mouth,dry mouth
" ""My mouth is as dry as the Sahara desert, and I fear I may never be able to quench this thirst.""",Dry Mouth,Dry Mouth
" ""I can't stop thinking about how dry my mouth is all the time. It's like sandpaper in there.""",Dry Mouth,Dry Mouth
" ""I have noticed that my mouth is drier than usual these days.""",Dry Mouth,Dry Mouth
" ""I have been experiencing a severe dry mouth for the past few days.""",Dry Mouth,Dry Mouth
" ""I have been hoarse for a while now, but it seems to be getting worse and worse.""",Hoarseness,hoarseness
" ""I've been having this weird hoarseness for a while now, but I thought it was just from screaming at the TV during the game. But now I'm starting to think it's something more serious. I mean, I can barely talk without my voice cracking. And it's not just my voice that's affected, I feel like I've lost my sense of taste too. I mean, I tried eating a sandwich the other day and it just tasted like cardboard. And I've been coughing up this weird stuff that looks like phlegm, but it's not phlegm. It's like this weird greyish-white stuff. I don't know what's going on with my body, but I'm really scared.""",Hoarseness,"hoarseness, coughing up phlegm, loss of sense of taste, coughing up greyish-white stuff"
" ""My voice is but a whisper now, a faint echo of what it once was, and I fear it may soon fade away completely.""",Hoarseness,
" ""I got a hoarse voice, it's like I got a frog in my throat, I can't even talk properly, I sound like a croak, it's so annoying, I can't even sleep at night because of it, I'm so sick of it, I just want to get rid of it already.""",Hoarseness,hoarseness
" ""I've been having this hoarseness for a while now, and it's really starting to freak me out. It's like my voice is going away, and I'm scared I'll never get it back.""",Hoarseness,hoarseness
" ""My voice is all raspy and rough, like a worn out record player, and it's really annoying me, because I'm a singer, and I need to practice my scales, but I can't even hit the high notes without sounding like a dying swan.""",Hoarseness,hoarseness
" ""My voice is all raspy and rough, like sandpaper scraping against my vocal cords.""",Hoarseness,hoarseness
" ""I got these bloody sores in my mouth and throat, and they're so painful I can't even eat or drink properly. They're all over the place, inside my mouth and on the back of my throat. They're so sore I can't even talk properly, and when I try to eat or drink, it feels like I'm swallowing razor blades. I can't even sleep properly because of the pain, and I'm so stressed out about it I'm starting to lose my mind.""",Mouth/throat sores,"Mouth/throat sores, Difficulty Swallowing, Pain"
" ""I have been experiencing these bloody mouth sores for weeks now and they are getting worse and worse.""",Mouth/throat sores,"cheilitis/cheilosis, Mouth/throat sores"
" ""I have these little sores in my mouth and throat that keep coming back.""",Mouth/throat sores,"Mouth/throat sores, Hoarseness"
" ""My mouth is a bloody battlefield, a war zone of sores and pain, a place where even the most innocent of foods taste like ash and bitterness.""",Mouth/throat sores,"cheilitis, cheilosis, mouth/throat sores, taste Changes"
" ""I have been having these mouth sores for a while now.""",Mouth/throat sores,Mouth/throat sores
" ""I have been experiencing some mouth and throat sores for the past few days. They are very painful and I have been having difficulty eating and drinking. I also have a fever and chills.""",Mouth/throat sores,"Mouth/throat sores, Fever, Chills"
" ""I've been having these little sores in my mouth and throat for a few days now. They're really painful and make it hard to eat and talk.""",Mouth/throat sores,"Mouth/throat sores, Painful sores"
" ""My mouth is a battlefield, with sores that are as red as rubies, and as sore as a thousand suns.""",Mouth/throat sores,"cheilitis, mouth/throat sores"
" ""i got these blisters in my mouth and throat and i dont know what to do with them they hurt so bad when i eat or drink""",Mouth/throat sores,"cheilitis, cheilosis, mouth/throat sores"
" ""I got these bloody sores in the back of my throat and on the inside of my mouth. They're so painful that I can't even swallow properly. I've been trying to eat and drink, but it's like swallowing razor blades. I've been trying to talk, but it's like my tongue is on fire. I've been trying to sleep, but it's like my mouth is on fire. I've been trying to eat and drink, but it's like my mouth is on fire. I've been trying to talk, but it's like my mouth is on fire. I've been trying to sleep, but it's like my mouth is on fire. I've been trying to eat and drink, but it's like my mouth is on fire. I've been trying to talk, but it's like my mouth is on fire. I've been trying to sleep, but it's like my mouth is on fire. I've been trying to eat and drink, but it's like my mouth is on fire. I've been trying to talk, but it's like my mouth is on fire. I've been trying to sleep, but it's like my mouth is on fire. I've been trying to eat and drink, but it's like my mouth is on fire. I've been trying to talk, but it's like my mouth is on fire. I've been trying to sleep, but it's like my mouth is on fire. I've been trying",Mouth/throat sores,"mouth/throat sores, difficulty swallowing, hoarseness, pain in mouth"
" ""I have mouth/throat sores, it hurts when I eat or drink.""",Mouth/throat sores,mouth/throat sores
" ""My mouth is a battlefield, with sores popping up everywhere, like bloody volcanoes erupting, and I can't even eat a simple meal without my tongue feeling like sandpaper, and I'm so angry that I can't even sleep at night because of the pain and discomfort, and I'm so tired of taking medication that doesn't even work, and I'm so sick of being sick!""",Mouth/throat sores,"cheilitis, cheilosis"
" ""I got these bloody sores in me gob and they won't bloody heal. I've had them for weeks now and I'm sick of eating shite food. I want a decent bloody meal for once.""",Mouth/throat sores,Mouth/throat sores
" ""I have been experiencing these mouth/throat sores for the past week now, and they are becoming increasingly painful. They are located on the inside of my cheeks, my tongue, and the roof of my mouth. I have been trying to eat as usual, but it is becoming very difficult because of the pain. Even drinking water is becoming a challenge. I have been trying to brush my teeth as usual, but the pain from the sores makes it very uncomfortable. I have been trying to talk as usual, but the pain from the sores makes it very uncomfortable. I have been trying to sleep as usual, but the pain from the sores makes it very uncomfortable. I have been trying to work as usual, but the pain from the sores makes it very uncomfortable.""",Mouth/throat sores,"mouth/throat sores, pain, dry mouth"
" ""I've been having these mouth/throat sores for a while now, and they're really annoying. They're these little red bumps that show up inside my mouth and on the back of my throat, and they hurt a little bit when I eat or talk.""",Mouth/throat sores,mouth/throat sores
" ""I can't even eat a f**king sandwich without getting a mouthful of sores in my mouth.""",Mouth/throat sores,Mouth/throat sores
" ""I've been having these little sores in my mouth and throat for a few days now.""",Mouth/throat sores,Mouth/throat sores
" ""I have these blisters in my mouth and throat that are very painful and keep bleeding.""",Mouth/throat sores,"cheilitis, cheilosis, mouth/throat sores"
" ""I am so fed up with these bloody mouth sores. They are so annoying and painful. I have had them for a week now and I just want them to go away. I have been trying to eat as usual but it is so hard with these sores in my mouth. I have been trying to brush my teeth as usual but it is so painful. I just want to get rid of these bloody sores already.""",Mouth/throat sores,"Cheilitis, Mouth/throat sores"
" ""I got these blisters in me mouth and throat, and they're really sore, man.""",Mouth/throat sores,cheilosis/cheilitis
" ""I cant even eat a sandwich without getting a sore in my mouth.""",Mouth/throat sores,"cheilitis, mouth/throat sores, Mouth/throat sores"
" ""I got these blisters in my mouth and throat, and they're really painful. I can't even swallow properly, and I keep getting these blisters all over my mouth and tongue. I don't know what's causing them, but I think it might be something I ate. I've been eating a lot of spicy food lately, and I've also been drinking a lot of alcohol. I don't know if that's what's causing it, but I think it might be. I've tried to look it up online, but I can't find anything that matches my symptoms. I'm really worried about this, and I don't know what to do.""",Mouth/throat sores,"cheilitis, cheilosis"
" ""I got these blisters in my mouth and throat and it's been buggin me for a few days now. I can't even swallow properly and it hurts like hell when I try to eat or drink somethin. I'm so tired of feelin this way and I just wanna feel better already.""",Mouth/throat sores,"blistering of the mouth/throat, difficulty swallowing, pain when eating/drinking"
" ""My mouth is a battlefield, a war zone of sores and pain, a place where I dare not touch, a place where I dare not eat, a place where I dare not speak, a place where I dare not smile, a place where I dare not laugh, a place where I dare not kiss, a place where I dare not love, a place where I dare not live.""",Mouth/throat sores,"cheilitis, cheilosis, mouth/throat sores"
" ""I got these goddamn sores in my mouth and throat and it's driving me fucking crazy. I can't even eat or talk right. I'm so sick of these motherfucking sores.""",Mouth/throat sores,"Mouth/throat sores, Difficulty Swallowing, Hoarseness"
" ""I have mouth and throat sores that are painful and make it hard to eat and drink.""",Mouth/throat sores,"Mouth/throat sores, Difficulty Swallowing"
" ""I got these blisters in my mouth and throat and it's scaring the shit out of me, I can't even swallow properly.""",Mouth/throat sores,"blister, mouth/throat sores, difficulty swallowing"
" ""I have been experiencing these mouth and throat sores for the past week now, and they are very painful. I have been having difficulty eating and talking due to the pain.""",Mouth/throat sores,"mouth/throat sores, difficulty swallowing"
" ""I have been experiencing some sores in my mouth and throat for the past few days. They are quite painful and make it difficult for me to eat and talk.""",Mouth/throat sores,"Mouth/throat sores, Difficulty Swallowing"
" ""I got these blisters in my mouth and throat, and they are so painful to eat and talk.""",Mouth/throat sores,"cheilitis, cheilosis, mouth/throat sores, painful blisters"
" ""I've been having these weird sores in my mouth and throat for a while now. They're really painful and they keep coming back. I've tried everything to get rid of them but nothing seems to work. I'm really worried about them and I don't know what to do.""",Mouth/throat sores,Mouth/throat sores
" ""I've got these bloody sores in me mouth and throat, it's like me tongue is on fire and me throat is all sore and inflamed, I can't even swallow properly, it's like trying to swallow a bloody brick, I've had 'em before but this time they're worse than usual, I've been so stressed out lately with work and money and all that, I'm sure it's all down to me stress levels, I mean what's the point in living if you can't even enjoy a good meal without having to suffer like this, I'm so bloody fed up with it all, I just want to be able to eat and drink without having to worry about these bloody sores ruining me day, I mean what's the point in having a tongue if you can't even taste your food properly, it's like being half alive or something, I'm so bloody angry about it all, I just want to scream and shout and smash something, I mean what's the point in having a tongue if you can't even taste your food properly, it's like being half alive or something, I'm so bloody angry about it all, I just want to scream and shout and smash something, I mean what's the point in having a tongue if you can't even taste your food properly, it's like being half alive or something, I'm so bloody angry about it all, I just want to scream and shout and smash something, I mean what's the",Mouth/throat sores,"Mouth/throat sores, Difficulty Swallowing, Dry Mouth"
" ""I've had these mouth/throat sores for a few days now and they're really annoying.""",Mouth/throat sores,mouth/throat sores
" ""I have been having these mouth/throat sores for a while now, and they are really painful. They are these little red bumps that are raised and have a white coating on top. They are really itchy and sore, and when I eat or drink something, it hurts really bad. I have been trying to eat soft foods and avoid spicy or acidic foods, but it's still really painful. I also have been having some difficulty swallowing, and it feels like there is something stuck in my throat. I have been trying to swallow slowly and take small bites, but it's still really uncomfortable. I have been trying to avoid talking as much as I can, but when I do talk, it hurts really bad. I have been trying to avoid brushing my teeth and using mouthwash, but it's still really painful. I have been trying to avoid flossing, but it's still really painful. I have been trying to avoid eating or drinking anything hot or cold, but it's still really painful. I have been trying to avoid spicy or acidic foods, but it's still really painful. I have been trying to avoid smoking or drinking alcohol, but it's still really painful. I have been trying to avoid stress, but it's still really painful. I have been trying to avoid fatigue, but it's still really painful. I have been trying to avoid sleep deprivation, but it's still really painful. I have been trying to avoid poor nutrition, but it's still",Mouth/throat sores,"mouth/throat sores, difficulty swallowing, itchy mouth/throat sores"
" ""I have these sores in my mouth and throat that are very painful and keep me from eating and talking.""",Mouth/throat sores,Mouth/throat sores
" ""I have been experiencing these mouth/throat sores for the past week now and they are getting worse and worse. They are very painful and I can't even eat properly because of them. I have tried to treat them with some medication but it doesn't seem to be working. I am very frustrated and angry because I can't do anything about it.""",Mouth/throat sores,"mouth/throat sores, pain"
" ""I've had these mouth sores for a few days now and they're really annoying.""",Mouth/throat sores,Mouth/throat sores
" ""I've had these mouth/throat sores for a week now and they just won't go away. They're really painful and I can't even eat properly because of them.""",Mouth/throat sores,mouth/throat sores
" ""I got these blisters in my mouth and throat and it's scaring the shit out of me, I can't even swallow properly, I'm so scared I'm gonna choke on my own vomit.""",Mouth/throat sores,"cheilosis/cheilitis, vomiting"
" ""I have had mouth/throat sores for the past week.""",Mouth/throat sores,mouth/throat sores
" ""I got these bloody sores in my mouth and throat and it's driving me bloody crazy. They're so painful I can't even eat or drink properly. I'm so bloody tired and weak all the time. I'm so bloody angry and frustrated all the time. I just want to get rid of these bloody sores already.""",Mouth/throat sores,Mouth/throat sores
" ""Oh, my tongue is on fire, it feels like I have swallowed a thousand daggers, and my mouth is a battlefield, with sores everywhere, it's like I have been attacked by a swarm of bees.""",Mouth/throat sores,Mouth/throat sores
" ""My mouth is a bloody battlefield, with sores that are quite the inferno, and my throat is a parched desert that's dry as the Sahara!""",Mouth/throat sores,"cheilitis, dry mouth, mouth sores, cheilosis"
" ""I have these sores in my mouth and throat that are really painful and keep coming back.""",Mouth/throat sores,Mouth/throat sores
" ""I got these bloody sores in me gob and they are proper painful, ya hear me?""",Mouth/throat sores,Mouth/throat sores
" ""I got these blisters in my mouth and throat, and it's been a week now.""",Mouth/throat sores,"blister, blisters, mouth/throat sores, cheilosis/cheilitis"
" ""I have been having quite a bit of trouble with mouth/throat sores, which makes it quite difficult for me to eat.""",Mouth/throat sores,mouth/throat sores
" ""My mouth is a battlefield, with sores that are as red as rubies, and as sore as a thousand suns.""",Mouth/throat sores,"cheilitis, cheilosis, mouth/throat sores, mouth soreness"
" ""I have these sores in my mouth and throat that are very painful and keep getting bigger and deeper. They are all over my tongue, the roof of my mouth, and the back of my throat. I have been trying to eat and drink, but it is very difficult and painful. I have been trying to talk, but it is very painful and I keep getting hoarse. I have been trying to sleep, but it is very uncomfortable and I keep waking up because of the pain. I am very worried that these sores are going to get worse and I will not be able to eat, drink, talk, or sleep properly.""",Mouth/throat sores,"Mouth/throat sores, Difficulty Swallowing"
" ""My mouth is a battlefield, a war zone of sores and pain. Each one a reminder of the hell I'm living in.""",Mouth/throat sores,"cheilitis, cheilosis, mouth/throat sores"
" ""I've got these blisters in me mouth and throat, and it's been going on for a few days now. It's really annoying because I can't eat or drink properly, and I've been having trouble talking to people too.""",Mouth/throat sores,cheilosis/cheilitis
" ""I cant even eat a meal without getting a sore in my mouth or throat. I am so sick of these stupid sores!""",Mouth/throat sores,"Mouth/throat sores, Difficulty Swallowing"
" ""I've had these mouth/throat sores for a few days now and they're really annoying. They're quite painful and I can feel them when I talk or eat.""",Mouth/throat sores,mouth/throat sores
" ""I've got these blisters in me mouth and throat, it's like I've swallowed a bloody fire.""",Mouth/throat sores,"cheilitis, cheilosis"
" ""I have mouth/throat sores, and they are very painful. They are also very itchy and I get these blisters inside my mouth and on my tongue. I have had them before, but this time they are worse and I have them all over my mouth and throat. I have been eating soft foods and trying to avoid spicy or acidic foods, but it is hard. I also have a fever and chills.""",Mouth/throat sores,"mouth/throat sores, fever, chills"
" ""I got these blisters in my mouth and throat and it's been 3 days now, I can't even swallow properly, I'm so thirsty but I can't drink water, I'm so sick of this shit.""",Mouth/throat sores,"blister, blisters, mouth/throat sores, difficulty swallowing"
" ""I have these sores in my mouth and throat, they are really painful and make it hard for me to eat and drink, I have had them for a while now and they keep coming back, I don't know what to do.""",Mouth/throat sores,Mouth/throat sores
" ""I have mouth and throat sores that are very painful and make it hard to eat and drink.""",Mouth/throat sores,"Mouth/throat sores, Difficulty Swallowing"
" ""I have these sores in my mouth and throat that are very painful and keep coming back.""",Mouth/throat sores,Mouth/throat sores
" ""I have Mouth/throat sores.""",Mouth/throat sores,Mouth/throat sores
" ""I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth and throat sores, I have mouth",Mouth/throat sores,"mouth/throat sores, general pain"
" ""I've been having these little sores in my mouth and on my tongue for the past week or so. They're really painful and make it hard for me to eat and talk. I've tried to ignore them and hope they go away on their own, but they just keep getting worse and worse. I've also been having some trouble swallowing and I've noticed that when I eat or drink something, it gets stuck in my throat. I'm really worried about this and I think I should see a doctor.""",Mouth/throat sores,"cheilitis, mouth/throat sores"
" ""My mouth is a battlefield, a war zone of pain and discomfort. My tongue is a map of sores, each one a reminder of the battles I have fought. My throat is dry and sore, a constant reminder of the wounds I have suffered.""",Mouth/throat sores,"cheilitis, headache, dry mouth, mouth/throat sores"
" ""My mouth is a battlefield, with sores popping up everywhere, like tiny volcanoes erupting, leaving me with a burning sensation, making it hard to eat or drink.""",Mouth/throat sores,"Mouth/throat sores, Cheilosis/cheilitis"
" ""I have mouth/throat sores that are very painful and make it very difficult for me to eat and drink.""",Mouth/throat sores,"mouth/throat sores, difficulty swallowing"
" ""I've had these mouth sores for a few days now, and they're really annoying. They're all over my tongue, the roof of my mouth, and even on the inside of my cheeks. They're really sore, and when I eat or drink something, it hurts like crazy. I've been trying to eat soft foods, but it's hard because I'm not really hungry. I just want these sores to go away already.""",Mouth/throat sores,Mouth/throat sores
" ""I have these sores in my mouth and throat and it hurts so much when I eat or drink anything.""",Mouth/throat sores,Mouth/throat sores
" ""I am so fed up with these bloody mouth sores. They are so painful that I cannot even eat properly. I have had them for a week now and I am getting so frustrated. I have tried everything I could find on the internet but nothing seems to work. I have been to the doctor and he gave me some medication but it does not seem to be helping. I just want to get rid of these bloody sores already.""",Mouth/throat sores,"Mouth/throat sores, Dry Mouth, Pain"
" ""I have these sores in my mouth and throat, and they are really painful. I can't even swallow properly.""",Mouth/throat sores,Mouth/throat sores
" ""I have been experiencing small, red sores inside my mouth and on the back of my throat for the past three days. They are very painful and make it difficult for me to eat and drink.""",Mouth/throat sores,"cheilitis, mouth/throat sores, pain"
" ""I have these blisters in my mouth and throat that are really painful and keep coming back.""",Mouth/throat sores,"cheilitis, cheilosis, mouth/throat sores"
" ""I have been experiencing these mouth/throat sores for the past week now and they are becoming increasingly painful.""",Mouth/throat sores,mouth/throat sores
" ""I've got these bloody sores in me mouth and throat, it's like I've swallowed a bloody fireball and it's burning me up inside!""",Mouth/throat sores,Mouth/throat sores
" ""I've got these bloody sores in me gob, and they're proper painful, ya hear?""",Mouth/throat sores,Mouth/throat sores
" ""My mouth is a battlefield, with sores of all shapes and sizes, each one a fiery red, as if a thousand tiny suns had burst into flame within my mouth.""",Mouth/throat sores,"Mouth/throat sores, Cheilitis, Cheilosis"
" ""I got these bloody sores in me mouth and throat and they won't go away. They're so bloody painful I can't even eat or drink properly. I've had them for weeks now and I'm getting so bloody frustrated. I've tried every bloody remedy I could find but nothing works. I'm so bloody angry and upset I could cry.""",Mouth/throat sores,"Mouth/throat sores, Pain"
" ""I have these little bumps all over my tongue and the inside of my cheeks.""",Mouth/throat sores,"Mouth/throat sores, Cheilosis/cheilitis"
" ""I've had these blisters in my mouth and on my tongue for days now. They're so painful when I try to eat or drink anything.""",Mouth/throat sores,"cheilosis/cheilitis, Mouth/throat sores"
" ""I got these blisters in my mouth and throat, and they're really itchy and sore, man. I don't know what the hell is wrong with me.""",Mouth/throat sores,"cheilitis, cheilosis, itching, mouth/throat sores"
" ""I got these bloody sores in me mouth and throat and it's driving me bloody crazy, I can't even eat or drink properly, it's like me tongue is on bloody fire!""",Mouth/throat sores,"Mouth/throat sores, Fever"
" ""My mouth is a battlefield, with sores that are as red as rubies.""",Mouth/throat sores,"cheilitis, mouth/throat sores"
" ""I've been having these little bumps in my mouth and throat for a few days now. They're really itchy and sore, and when I eat or drink something, it hurts even more. I've been trying to ignore it, but it's getting harder and harder to eat and sleep because of the pain.""",Mouth/throat sores,"Cheilosis/cheilitis, Mouth/throat sores, Itching"
" ""I got these goddamn sores in my mouth and throat and I'm so fucking scared I'm gonna die from this shit.""",Mouth/throat sores,"Mouth/throat sores, Hoarseness"
" ""My mouth is on fire, it feels like I have swallowed a thousand daggers, and every time I try to speak, I feel like I am going to vomit blood.""",Mouth/throat sores,"Mouth/throat sores, Vomiting"
" ""I have been experiencing these mouth/throat sores for a while now, and they are getting worse and worse. They are very painful and tender to the touch, and they keep bleeding and getting infected. I have tried everything to get rid of them, but nothing seems to work. I am so frustrated and angry that I don't know what to do anymore. I just want to get rid of these sores and go back to my normal life.""",Mouth/throat sores,"mouth/throat sores, pain, infection"
" ""I have these painful sores all over my mouth and throat. They are very deep and keep getting bigger and deeper. They are very painful and keep bleeding. I have tried everything to make them go away but nothing works. I am so frustrated and angry that I can't even eat or sleep properly. I just want them to go away already.""",Mouth/throat sores,Mouth/throat sores
" ""I've been having these little mouth sores inside my mouth and on the back of my throat for a few days now.""",Mouth/throat sores,Mouth/throat sores
" ""I got these blisters in my mouth and throat, and they're really painful. I don't know what the hell is wrong with me.""",Mouth/throat sores,"blister, blisters"
" ""I've got these bloody sores in my mouth and throat, and they're really annoying. They're not too painful, but they're really itchy and keep making me want to scratch them. I've been trying to avoid scratching them, but it's really hard. I think I might have caught a cold or something, because I've been feeling really tired and achy lately. I hope I don't have anything too serious.""",Mouth/throat sores,Mouth/throat sores
" ""I've got these blisters in my mouth and throat and they're so painful, I can't even swallow properly. I'm so scared that it's going to spread and I'll end up dying from it.""",Mouth/throat sores,"Cheilosis/cheilitis, Mouth/throat sores, Difficulty Swallowing"
" ""I've got these bloody sores in my mouth and throat, and they're really annoying, I mean, I can't even eat properly, and I keep getting these bloody ulcers all over the place, and it's really painful, and I just want them to go away, but they just keep coming back, and it's really frustrating, and I just want to scream, but I can't even do that properly because of these bloody sores, and it's just really, really annoying, and I just want them to go away, and I don't know what to do, and I just want to cry, but I can't even do that properly because of these bloody sores, and it's just really, really frustrating, and I just want them to go away, and I don't know what to do, and I just want to scream, but I can't even do that properly because of these bloody sores, and it's just really, really annoying, and I just want them to go away, and I don't know what to do, and I just want to cry, but I can't even do that properly because of these bloody sores, and it's just really, really frustrating, and I just want them to go away, and I don't know what to do, and I just want to scream, but I can't even do that properly because of these bloody sores, and it's just really, really annoying, and I",Mouth/throat sores,Mouth/throat sores
" ""My mouth is a bloody battlefield, a war zone of sores and pain, a place where even the most innocent of foods taste like ash and bitterness.""",Mouth/throat sores,"cheilosis/cheilitis, Mouth/throat sores"
" ""I have been experiencing these mouth/throat sores for a while now and they are getting worse and worse. They are very painful and I can't even eat properly because of them. I have tried to ignore them but it is getting harder and harder to do so. I am very frustrated with this condition and I wish it would go away.""",Mouth/throat sores,"mouth/throat sores, pain"
" ""I got these blisters in my mouth and throat, and they are so painful. I can't even swallow properly. I've had them for a few days now, and they are getting worse. I've tried gargling with salt water, but it doesn't help. I've also tried some medicine that my friend gave me, but it didn't work either. I'm so worried about this. I don't know what to do.""",Mouth/throat sores,"cheilosis/cheilitis, difficulty swallowing, hoarseness"
