,Dialogue_Generated,Symptoms,Descriptions,Metas,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
10," ""I have been feeling quite sad lately, and I have been experiencing some itching on my skin. It is somewhat interfering with my daily activities.""","['Itching', 'Sad']","['Severity', 'Interference (with daily activities)']","['None', 'Somewhat']",Formal Register,Friendly,5,False,False,True
11," ""I have been having a little bit of shortness of breath and dizziness lately. I also notice that my voice sounds a little different. I am not sure if it is just a cold or something more serious. I hope I can get some help with this.""","['Shortness of breath', 'Dizziness', 'Voice quality changes']","['Interference (with daily activities)', 'Severity', 'Presence/Absence']","['Somewhat', 'Prefer not to answer', 'Yes']",Neutral/Standard Register,Confused,3,False,False,True
12," ""I'm always pissing myself, and my heart is always racing. I'm so sick of it, I want to die.""","['Urinary incontinence', 'Heart palpitations']","['Interference (with daily activities)', 'Frequency']","['A little bit', 'Rarely']",Vulgar Register,Insulting,4,True,False,False
13," ""My skin is a map of my pain, a canvas of my suffering. My body is a battlefield, where my health and my beauty are at war. My skin is a battleground, where my stretch marks and my mouth/throat sores and my nosebleeds and my acne are fighting for dominance. My skin is a reflection of my inner self, a mirror of my soul. My skin is a window to my health, a reflection of my well-being. My skin is a map of my life, a record of my experiences. My skin is a canvas of my memories, a reflection of my past. My skin is a battleground, where my health and my beauty are at war. My skin is a battlefield, where my stretch marks and my mouth/throat sores and my nosebleeds and my acne are fighting for dominance.""","['Stretch marks', 'Mouth/throat sores', 'Nosebleed', 'Acne']","['Presence/Absence', 'Interference (with daily activities)', 'Severity', 'Severity']","['No', 'Very much', 'Mild', 'None']",Poetic/Literary Register,Friendly,4,False,False,True
14," ""I have noticed that my tongue feels dry and rough, and I have had a metallic taste in my mouth for the past few days. I also find that I do not sweat as much as I used to, especially in my armpits.""","['Taste Changes', 'Decreased sweating']","['Severity', 'Presence/Absence']","['Very severe', 'No']",Formal Register,Fearful,4,False,False,False
15," ""I have been experiencing cracks at the corners of my mouth for quite some time now, and I am worried that it might be a sign of something more serious. I have also noticed that I have been feeling less interested in sexual activities, and I am concerned that this might be a sign of a more serious medical condition.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Decreased libido']","['Severity', 'Severity']","['Severe', 'Not applicable']",Formal Register,Fearful,5,False,False,False
16," ""I've been feeling a little numbness and tingling in my hands and feet for a while now, but I thought it was just because I was sitting at my desk all day. But now I'm starting to feel it in my face too, and it's really annoying. I also feel really bloated all the time, and I don't know why. I eat pretty healthy most of the time, and I try to get some exercise in too. But I guess I must be doing something wrong. Oh, and I've also been losing a lot of hair lately. I don't know if it's because of the numbness and tingling, or if it's just because I'm getting older. I'm not really sure what to do about it though.""","['Numbness & tingling', 'Bloating', 'Hair loss']","['Severity', 'Frequency', 'Amount']","['Mild', 'Frequently', 'A little bit']",Neutral/Standard Register,Neutral,4,False,False,True
17," ""I have numbness and tingling in my hands and feet, and sometimes I feel like I'm walking on clouds. I also have nosebleeds sometimes, and I'm not really hungry most of the time. Sex is really painful for me, and I feel like I'm tearing up inside.""","['Numbness & tingling', 'Nosebleed', 'Decreased appetite', 'Pain with sexual intercourse']","['Interference (with daily activities)', 'Frequency', 'Interference (with daily activities)', 'Severity']","['Quite a bit', 'Occasionally', 'Quite a bit', 'Mild']",Informal Register,Confused,5,True,False,False
18," ""I got a rash on my skin and my nails are turning yellow, and my eyes are all watery and my poop is coming out of my butt.""","['Watery eyes', 'Nail discoloration', 'Skin darkening', 'Fecal incontinence']","['Severity', 'Presence/Absence', 'Presence/Absence', 'Frequency']","['Not applicable', 'Yes', 'Yes', 'Rarely']",Informal Register,Confused,3,False,False,True
19," ""I am unable to breathe properly and feel like I am going to vomit all the time. I have been unable to have an orgasm for months now and I feel dizzy all the time. I am unable to do any of my daily activities properly.""","['Shortness of breath', 'Vomiting', 'Delayed orgasm', 'Dizziness']","['Interference (with daily activities)', 'Severity', 'Presence/Absence', 'Severity']","['Somewhat', 'None', 'Not applicable', 'Severe']",Formal Register,Insulting,3,False,False,False
20," ""I got this red rash on my arm and it itches like hell. I also got this muscle pain in my back and it's killing me.""","['Itching', 'Muscle pain']","['Severity', 'Interference (with daily activities)']","['Mild', 'A little bit']",Vulgar Register,Confused,1,False,False,True
21," ""I'm so sick of this crap. I've got numbness and tingling in my face and hands, and I've got this rash all over my body. And to top it all off, I've been hiccuping nonstop for the past hour. I'm so tired of being sick. I just want to feel normal again.""","['Numbness & tingling', 'Rash', 'Hiccups', 'Muscle pain']","['Severity', 'Presence/Absence', 'Frequency', 'Severity']","['Moderate', 'Yes', 'Occasionally', 'Moderate']",Neutral/Standard Register,Insulting,5,False,False,False
22," ""I'm all bloody and my hair is falling out, and I'm in so much pain I can't even get out of bed.""","['Nosebleed', 'Hair loss', 'Muscle pain']","['Severity', 'Amount', 'Interference (with daily activities)']","['Not applicable', 'A little bit', 'A little bit']",Vulgar Register,Fearful,2,False,False,False
23," ""Oh, dear physician, I'm afraid I'm quite ill. I've developed a Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain), and my eyes are perpetually watery. To top it all off, I'm perpetually bloated. Quite frankly, I'm quite fed up with these symptoms. They interfere with my daily activities quite a bit, and the severity is quite severe. I'm quite tired of being sick, and I implore you to cure me of these wretched symptoms.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Watery eyes', 'Bloating']","['Severity', 'Interference (with daily activities)', 'Severity']","['Prefer not to answer', 'Quite a bit', 'Severe']",Poetic/Literary Register,Insulting,3,False,True,False
24," ""A dull ache behind my eyes, like a hammer pounding away, and a burning sensation in my chest, as if acid was seeping up from my stomach. I feel a sudden urge to urinate, but when I try to go, nothing comes out.""","['Headache', 'Heartburn', 'Urinary incontinence']","['Severity', 'Severity', 'Interference (with daily activities)']","['Moderate', 'None', 'Not at all']",Poetic/Literary Register,Neutral,5,True,False,False
25," ""I'm so sick of this dry vagina, it's like I'm 80 years old or something."" ","['Vaginal dryness', 'Bruising']","['Severity', 'Presence/Absence']","['Prefer not to answer', 'Not applicable']",Informal Register,Insulting,1,False,False,False
26," ""I have very severe hand-foot syndrome, rarely have fecal incontinence, never have ejaculation and have very severe heart palpitations.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Fecal incontinence', 'Ejaculation', 'Heart palpitations']","['Severity', 'Frequency', 'Frequency', 'Frequency']","['Very severe', 'Prefer not to answer', 'Rarely', 'Never']",Neutral/Standard Register,Neutral,1,False,False,True
27," ""I have been feeling anxious and my memory has been getting worse.""","['Memory', 'Anxious']","['Severity', 'Frequency']","['Severe', 'Almost constantly']",Formal Register,Neutral,1,False,False,False
28," ""I have had watery eyes almost constantly for the past 3 days.""","['Fecal incontinence', 'Bloating', 'Radiation skin reaction', 'Watery eyes']","['Frequency', 'Severity', 'Severity', 'Severity']","['Almost constantly', 'None', 'Very severe', 'Prefer not to answer']",Neutral/Standard Register,Neutral,1,False,False,False
29," ""I'm so bloated all the time, and I feel like I'm walking around with a big fat gut. And I'm always numb and tingly, like my hands and feet are falling asleep. And I'm losing so much hair, I look like a balding monkey. And I always have so much gas, I sound like a human blowtorch.""","['Bloating', 'Numbness & tingling', 'Hair loss', 'Gas']","['Frequency', 'Severity', 'Amount', 'Presence/Absence']","['Frequently', 'None', 'Very much', 'Yes']",Vulgar Register,Angry,1,False,True,False
30," ""My skin is turning dark and my nails are turning yellow, what is this disease? I am so angry and frustrated, I can't even sleep at night because of this disease. I am so sick of this disease, I want to get better as soon as possible.""","['Skin darkening', 'Nail discoloration']","['Presence/Absence', 'Presence/Absence']","['Not applicable', 'No']",Poetic/Literary Register,Angry,4,False,True,True
31," ""I am unable to sleep at night because of the itching on my skin. It is so severe that I scratch my skin until it bleeds. I also have a hoarse voice and I often urinate accidentally.""","['Insomnia', 'Itching', 'Hoarseness', 'Urinary incontinence']","['Interference (with daily activities)', 'Severity', 'Severity', 'Frequency']","['Quite a bit', 'Not applicable', 'Severe', 'Occasionally']",Formal Register,Angry,1,False,False,True
32," ""I have been experiencing dry mouth for the past few days. It is moderate in severity and almost constant in frequency. I have also been vomiting occasionally. The vomiting is moderate in severity and occurs almost constantly.""","['Dry Mouth', 'Vomiting']","['Severity', 'Frequency']","['Moderate', 'Almost constantly']",Formal Register,Fearful,3,False,False,False
33," ""I'm so fed up with these hiccups! They're so severe that I can't even eat or sleep properly. I've had them for a week now and I'm getting really discouraged. On top of that, I've been experiencing a radiation skin reaction which is really annoying. It's not just a mild redness, it's a burning sensation and it's very much interfering with my daily activities. I'm so angry that I can't even think straight. I see flashing lights all the time and I'm getting really worried.""","['Hiccups', 'Radiation skin reaction', 'Discouraged', 'Flashing lights']","['Severity', 'Severity', 'Interference (with daily activities)', 'Presence/Absence']","['Very severe', 'Mild', 'Very much', 'Prefer not to answer']",Neutral/Standard Register,Angry,5,False,True,True
34," ""I have been hiccuping nonstop for the past three days and I have developed a rash all over my body. It is very itchy and I have been scratching it nonstop. I am very tired and I have no appetite. I have been vomiting a lot and I have abdominal pain. I have also been having diarrhea. I am very cold and I have chills. I have a fever and my throat is sore. I have a cough and I am having difficulty breathing. I am very dizzy and I have headaches. I am very depressed and I have no energy.""","['Hiccups', 'Rash']","['Severity', 'Presence/Absence']","['Not applicable', 'No']",Formal Register,Insulting,4,True,False,False
35," ""My body is a festering swamp, with noxious fumes rising from my gut, my urine is a murky brown, and I am unable to climax, yet the doctors are powerless to help me.""","['Gas', 'Change in usual urine color', 'Bloating', 'Unable to have orgasm']","['Presence/Absence', 'Presence/Absence', 'Frequency', 'Presence/Absence']","['Prefer not to answer', 'Prefer not to answer', 'Occasionally', 'Prefer not to answer']",Poetic/Literary Register,Angry,1,False,False,False
36," ""I have been having flashing lights and I am so scared that I wet myself.""","['Urinary incontinence', 'Discouraged', 'Flashing lights', 'Urinary frequency']","['Frequency', 'Severity', 'Presence/Absence', 'Frequency']","['Never', 'Severe', 'Not applicable', 'Almost constantly']",Neutral/Standard Register,Fearful,1,False,False,False
37," ""My life is a constant struggle, a battle against the sun's cruel rays, which pierce my skin like daggers, leaving behind a trail of pain and discomfort. Even the slightest touch, a gentle caress from my lover, is transformed into a searing agony that leaves me gasping for breath. I am a prisoner in my own skin, a slave to my own desires, unable to escape the prison of my own flesh.""","['Discouraged', 'Pain with sexual intercourse', 'Sensitivity to sunlight']","['Frequency', 'Severity', 'Presence/Absence']","['Almost constantly', 'Moderate', 'Yes']",Poetic/Literary Register,Insulting,4,False,False,False
38," ""I have been experiencing muscle pain, urinary frequency, bruising, and heartburn for the past week. The muscle pain is not severe and is localized to my shoulders and back. I have been having urinary frequency, where I need to urinate more often than usual. The urine stream is not weak, but I do feel the urge to urinate frequently. I have also been experiencing easy bruising, where even slight trauma results in bruising. I have bruises on my lower legs and arms from minor falls. Lastly, I have been experiencing heartburn, where I feel a burning sensation in my chest after eating. The heartburn is not severe and is not accompanied by any regurgitation of food or difficulty breathing.""","['Muscle pain', 'Urinary frequency', 'Bruising', 'Heartburn']","['Interference (with daily activities)', 'Interference (with daily activities)', 'Presence/Absence', 'Frequency']","['Not at all', 'A little bit', 'Prefer not to answer', 'Frequently']",Neutral/Standard Register,Neutral,5,False,True,False
39," ""My nails are turning into a shade of grey that I've never seen before, and I'm so embarrassed to show them to anyone. I'm also having trouble controlling my bladder, and I'm always worried that I'll have an accident. I'm so frustrated with my body right now, and I just want to be able to feel normal again.""","['Urinary incontinence', 'Nail discoloration']","['Frequency', 'Presence/Absence']","['Never', 'Prefer not to answer']",Poetic/Literary Register,Insulting,5,False,False,False
40," ""I been having this weird ringing in my ears for a while now, and I been having less of an appetite too. Also, my arms and legs been swelling up a bit, and I been getting chills a lot.""","['Ringing in ears', 'Decreased appetite', 'Swelling (arms or legs)', 'Chills']","['Severity', 'Severity', 'Frequency', 'Severity']","['None', 'Mild', 'Never', 'None']",Informal Register,Friendly,5,False,False,True
41," ""I am so sick of these delayed orgasms, it's like my body is against me, and I am so tired of feeling numb and tingly, it's like I am always on edge, and I am so anxious all the time, it's like I am always waiting for something bad to happen, and these stretch marks are just the cherry on top, I hate them so much.""","['Delayed orgasm', 'Numbness & tingling', 'Anxious', 'Stretch marks']","['Presence/Absence', 'Severity', 'Severity', 'Presence/Absence']","['Not applicable', 'Severe', 'Moderate', 'No']",Poetic/Literary Register,Angry,1,False,True,True
42," ""I got these blisters in my mouth and throat and it's been really painful to eat and talk. And I've been getting these sores on my genitals too. It's been really painful to have sex. And I've been losing my nails too. I don't know what's going on with my body.""","['Mouth/throat sores', 'Pain with sexual intercourse', 'Nail loss']","['Interference (with daily activities)', 'Severity', 'Presence/Absence']","['Not at all', 'Not applicable', 'Not applicable']",Vulgar Register,Neutral,3,False,False,True
43," ""I have been feeling very sad lately, and I have noticed that my vagina is drier than usual. I also have had watery eyes for the past few days.""","['Sad', 'Vaginal dryness', 'Watery eyes']","['Severity', 'Severity', 'Severity']","['Very severe', 'Severe', 'Not applicable']",Formal Register,Fearful,5,False,False,False
44," ""I've been getting these red spots on my hands and feet that are really itchy and dry. I've also been getting these memory lapses where I forget what I just said or did. I'm also getting these stretch marks on my belly and thighs.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Memory', 'Stretch marks']","['Severity', 'Interference (with daily activities)', 'Presence/Absence']","['Not applicable', 'Quite a bit', 'Prefer not to answer']",Neutral/Standard Register,Friendly,2,False,False,True
45," ""My body is a battlefield, where my cells are at war with each other, and I am the casualty. My skin is a map of my pain, with dark spots marking the places where I have been wounded. My flesh is weak, and my bones are brittle, but my spirit is strong. I will not give up, for I am a warrior, and I will fight until the end.""","['Fatigue', 'Irregular periods/vaginal bleeding', 'Bed/pressure sores', 'Stretch marks']","['Interference (with daily activities)', 'Presence/Absence', 'Presence/Absence', 'Presence/Absence']","['Not at all', 'Not applicable', 'Prefer not to answer', 'No']",Poetic/Literary Register,Insulting,3,False,False,True
46," ""My stomach churns with each heave, as if a thousand snakes were writhing within me, their venom coursing through my veins. My mouth is parched, as if the sands of the desert had taken up residence within it. And yet, despite the turmoil within, I feel as if I have not eaten in weeks, as if my very soul were starving. But it is not just my body that suffers, for I have not had my time of the month in what feels like an eternity. What is happening to me?""","['Vomiting', 'Dry Mouth', 'Missed expected menstrual period']","['Frequency', 'Severity', 'Presence/Absence']","['Almost constantly', 'Severe', 'Prefer not to answer']",Poetic/Literary Register,Confused,4,False,False,False
47," ""I'm so fukin tired all the time, I cant even get outta bed in the mornin. And now I'm startin to lose my nails too. What the fuk is goin on with me?""","['Fatigue', 'Nail loss']","['Severity', 'Presence/Absence']","['Mild', 'Yes']",Vulgar Register,Insulting,2,False,False,True
48," ""I'm worried that my hand-foot syndrome will get worse and I'll have to stop taking my medication.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Numbness & tingling', 'Muscle pain']","['Severity', 'Interference (with daily activities)', 'Severity']","['Not applicable', 'A little bit', 'Severe']",Neutral/Standard Register,Fearful,4,False,False,False
49," ""I am quite annoyed with this rash on my skin. It is so itchy and I cannot stop scratching it. I hope this rash goes away soon.""","['Ringing in ears', 'Rash', 'Joint pain']","['Severity', 'Presence/Absence', 'Frequency']","['Not applicable', 'Not applicable', 'Occasionally']",Formal Register,Insulting,3,False,False,False
50," ""I'm always cold and I can't control my bladder and bowel movements.""","['Urinary incontinence', 'Fecal incontinence', 'Chills']","['Frequency', 'Interference (with daily activities)', 'Severity']","['Rarely', 'Somewhat', 'Not applicable']",Neutral/Standard Register,Insulting,1,False,True,False
51," ""I have been suffering from excruciating pain during sexual intercourse for quite some time now. It is so severe that I often end up crying during the act. I have tried to talk to my partner about it, but he just brushes it off as me being overly sensitive. I am so frustrated and angry that I just want to scream. I also have a problem with urinary incontinence. I often leak urine when I laugh, cough, or sneeze. It is so embarrassing that I often avoid social gatherings and parties. I have tried to talk to my doctor about it, but he just tells me to practice Kegel exercises. I am so angry that I just want to punch something. I also have a problem with tinnitus. I often hear a ringing sound in my ears, especially when I am in a quiet place. It is so annoying that I often end up taking sleeping pills just so I can fall asleep. I have tried to talk to my doctor about it, but he just tells me to wear earplugs. I am so angry that I just want to scream. I also have a problem with diarrhea. I often have watery stools, especially when I eat spicy food. It is so embarrassing that I often avoid eating out with my friends. I have tried to talk to my doctor about it, but he just tells me to eat more fiber. I am so angry that I just want to punch something.""","['Pain with sexual intercourse', 'Urinary incontinence', 'Ringing in ears', 'Diarrhea']","['Severity', 'Frequency', 'Severity', 'Frequency']","['Very severe', 'Frequently', 'Not applicable', 'Occasionally']",Poetic/Literary Register,Angry,4,True,False,True
52," ""I'm so sick of this bloody cold! I've had watery eyes for weeks now and it's driving me bloody crazy! And I've got this bloody vaginal discharge that's making me feel so unclean! And I've been having this bloody urinary urgency that's making me run to the bloody bathroom every five minutes! And I've been feeling so nauseous that I can't even bloody eat! I'm so sick of this bloody cold!""","['Watery eyes', 'Vaginal discharge', 'Urinary urgency', 'Nausea']","['Interference (with daily activities)', 'Amount', 'Frequency', 'Frequency']","['Somewhat', 'A little bit', 'Almost constantly', 'Almost constantly']",Informal Register,Angry,3,False,True,True
53," ""I'm so scared I won't be able to get it up anymore.""","['Achieve and maintain erection', 'Breast swelling and tenderness', 'Ringing in ears']","['Severity', 'Severity', 'Severity']","['Very severe', 'Prefer not to answer', 'Severe']",Informal Register,Fearful,1,False,False,False
54," ""I got this burning sensation when I pee, and I had to go so often, I was up every hour at night. I started seeing these flashing lights, and my skin got so dry, I had to put moisturizer everywhere.""","['Painful urination', 'Urinary frequency', 'Flashing lights', 'Skin dryness']","['Severity', 'Interference (with daily activities)', 'Presence/Absence', 'Severity']","['Mild', 'Very much', 'Not applicable', 'Severe']",Vulgar Register,Neutral,5,True,True,True
55," ""I got a f**king sore throat and my eyes are all blurry, motherf**ker. I can't even talk properly and I can't see a f**king thing. I'm f**king dying, man.""","['Voice quality changes', 'Blurred vision']","['Presence/Absence', 'Interference (with daily activities)']","['Not applicable', 'Very much']",Vulgar Register,Insulting,2,False,False,False
56," ""I have been experiencing some nail problems lately. My nails have started to develop ridges and I have noticed that they are breaking easily. I am worried that this might be a sign of something more serious. I have also been experiencing some heartburn lately. I have been having difficulty swallowing and I feel like there is a burning sensation in my chest. I am worried that this might be a sign of something more serious.""","['Nail ridging', 'Heartburn']","['Presence/Absence', 'Severity']","['Not applicable', 'Prefer not to answer']",Neutral/Standard Register,Fearful,5,True,False,False
57," ""My mind is a fog, and my words are a jumbled mess, as if my tongue is a dry leaf stuck in my mouth.""","['Concentration', 'Voice quality changes', 'Difficulty Swallowing', 'Skin dryness']","['Interference (with daily activities)', 'Presence/Absence', 'Severity', 'Severity']","['Not at all', 'Prefer not to answer', 'None', 'Very severe']",Poetic/Literary Register,Angry,3,False,False,False
58," ""I'm feeling dizzy and my nails are all ridged and stuff. I've been farting like crazy and I missed my period. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this.","['Dizziness', 'Nail ridging', 'Gas', 'Missed expected menstrual period']","['Severity', 'Presence/Absence', 'Presence/Absence', 'Presence/Absence']","['Very severe', 'Not applicable', 'Not applicable', 'Not applicable']",Neutral/Standard Register,Insulting,5,False,False,True
59," ""I've been having this really bad body odor for the past month or so. I shower twice a day, use deodorant, and even wear loose clothes, but it doesn't seem to help much. I've also noticed that I've been getting really dry down there, and it's been really uncomfortable. I've been coughing a lot lately too, and it's been getting worse over time. I've also been having some joint pain, especially in my knees and elbows, and it's been really bothering me. I'm not sure what's causing all these symptoms, but I'm really worried about it.""","['Body odor', 'Vaginal dryness', 'Coughing', 'Joint pain']","['Severity', 'Severity', 'Interference (with daily activities)', 'Severity']","['Very severe', 'Moderate', 'Very much', 'None']",Neutral/Standard Register,Friendly,5,False,False,False
60," ""I am so sick and tired of these heart palpitations, cracking at the corners of my mouth, chills, and loss of appetite. It's always the same, and I'm so angry about it.""","['Heart palpitations', 'Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Chills', 'Decreased appetite']","['Severity', 'Severity', 'Frequency', 'Severity']","['Moderate', 'Prefer not to answer', 'Almost constantly', 'Not applicable']",Neutral/Standard Register,Angry,2,False,False,True
61," ""I'm fed up with this numbness and tingling in my hands and feet, it's been going on for months now. And don't even get me started on the cracking at the corners of my mouth, it's absolutely disgusting.""","['Numbness & tingling', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']","['Interference (with daily activities)', 'Severity']","['Quite a bit', 'Prefer not to answer']",Formal Register,Insulting,1,False,False,False
62," ""I have been experiencing breast swelling and tenderness for the past few days, and it is very much interfering with my daily activities. Also, I have been feeling numbness and tingling in my hands and feet, and it is also very much interfering with my daily activities.""","['Breast swelling and tenderness', 'Numbness & tingling']","['Severity', 'Interference (with daily activities)']","['None', 'Very much']",Formal Register,Angry,2,False,True,False
63," ""My kidneys are on fire and my ears are ringing like a thousand bells, and I see these dark strings floating in front of my eyes, and my joints are so sore I can barely move.""","['Painful urination', 'Ringing in ears', 'Visual floaters', 'Joint pain']","['Severity', 'Severity', 'Presence/Absence', 'Frequency']","['Not applicable', 'Severe', 'Not applicable', 'Frequently']",Poetic/Literary Register,Angry,1,False,False,True
64," ""I am experiencing a change in my usual urine color, and I am anxious. I also have dry skin and stretch marks.""","['Change in usual urine color', 'Anxious', 'Skin dryness', 'Stretch marks']","['Presence/Absence', 'Interference (with daily activities)', 'Severity', 'Presence/Absence']","['No', 'A little bit', 'Very severe', 'Yes']",Formal Register,Insulting,1,False,False,False
65," ""My body is a battlefield, where pain and frustration wage war, and I am the helpless victim, unable to escape the agony.""","['Delayed orgasm', 'Abdominal pain']","['Presence/Absence', 'Interference (with daily activities)']","['Prefer not to answer', 'Somewhat']",Poetic/Literary Register,Angry,2,False,False,False
66," ""I am experiencing a general weakness and lethargy, as well as decreased sweating, urinary urgency, skin darkening, and difficulty concentrating. I am also having trouble sleeping and have noticed a slight weight gain. I am concerned that these symptoms may be related to a more serious medical condition.""","['Decreased sweating', 'Urinary urgency', 'Skin darkening', 'Concentration']","['Presence/Absence', 'Frequency', 'Presence/Absence', 'Interference (with daily activities)']","['Not applicable', 'Occasionally', 'Yes', 'A little bit']",Formal Register,Angry,3,False,False,True
67," ""I'm always sweating like a pig and I can't get it up anymore. My voice is all hoarse and I got this weird discharge from my vagina.""","['Increased sweating', 'Achieve and maintain erection', 'Hoarseness', 'Vaginal discharge']","['Frequency', 'Severity', 'Severity', 'Amount']","['Almost constantly', 'Mild', 'Very severe', 'A little bit']",Vulgar Register,Fearful,1,False,False,False
68," ""I have been experiencing vaginal dryness and it's really affecting my sex life.""","['Vaginal dryness', 'Sensitivity to sunlight', 'Taste Changes']","['Severity', 'Presence/Absence', 'Severity']","['Not applicable', 'No', 'Not applicable']",Neutral/Standard Register,Fearful,1,False,False,False
