,Dialogue,True_Symptom,Extracted_Symptom
25," ""I'm so sick of this dry vagina, it's like I'm 80 years old or something."" ","['Vaginal dryness', 'Bruising']","['Decreased libido', 'Vaginal dryness', 'Hot flashes']"
26," ""I have very severe hand-foot syndrome, rarely have fecal incontinence, never have ejaculation and have very severe heart palpitations.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Fecal incontinence', 'Ejaculation', 'Heart palpitations']","['Hand-foot syndrome', 'Fecal incontinence', 'Heart palpitations']"
27," ""I have been feeling anxious and my memory has been getting worse.""","['Memory', 'Anxious']","['Decreased appetite', 'Weight loss', 'Fatigue']"
28," ""I have had watery eyes almost constantly for the past 3 days.""","['Fecal incontinence', 'Bloating', 'Radiation skin reaction', 'Watery eyes']",['Watery eyes']
29," ""I'm so bloated all the time, and I feel like I'm walking around with a big fat gut. And I'm always numb and tingly, like my hands and feet are falling asleep. And I'm losing so much hair, I look like a balding monkey. And I always have so much gas, I sound like a human blowtorch.""","['Bloating', 'Numbness & tingling', 'Hair loss', 'Gas']","['Bloating', 'Nausea', 'Vomiting', 'Diarrhea', 'Constipation']"
30," ""My skin is turning dark and my nails are turning yellow, what is this disease? I am so angry and frustrated, I can't even sleep at night because of this disease. I am so sick of this disease, I want to get better as soon as possible.""","['Skin darkening', 'Nail discoloration']","['Decreased appetite', 'Weight loss', 'Fatigue']"
31," ""I am unable to sleep at night because of the itching on my skin. It is so severe that I scratch my skin until it bleeds. I also have a hoarse voice and I often urinate accidentally.""","['Insomnia', 'Itching', 'Hoarseness', 'Urinary incontinence']","['Itching', 'Hoarseness']"
32," ""I have been experiencing dry mouth for the past few days. It is moderate in severity and almost constant in frequency. I have also been vomiting occasionally. The vomiting is moderate in severity and occurs almost constantly.""","['Dry Mouth', 'Vomiting']","['Dry Mouth', 'Vomiting']"
33," ""I'm so fed up with these hiccups! They're so severe that I can't even eat or sleep properly. I've had them for a week now and I'm getting really discouraged. On top of that, I've been experiencing a radiation skin reaction which is really annoying. It's not just a mild redness, it's a burning sensation and it's very much interfering with my daily activities. I'm so angry that I can't even think straight. I see flashing lights all the time and I'm getting really worried.""","['Hiccups', 'Radiation skin reaction', 'Discouraged', 'Flashing lights']","['Hiccups', 'Radiation skin reaction']"
34," ""I have been hiccuping nonstop for the past three days and I have developed a rash all over my body. It is very itchy and I have been scratching it nonstop. I am very tired and I have no appetite. I have been vomiting a lot and I have abdominal pain. I have also been having diarrhea. I am very cold and I have chills. I have a fever and my throat is sore. I have a cough and I am having difficulty breathing. I am very dizzy and I have headaches. I am very depressed and I have no energy.""","['Hiccups', 'Rash']","['Abdominal pain', 'Diarrhea', 'Fever']"
35," ""My body is a festering swamp, with noxious fumes rising from my gut, my urine is a murky brown, and I am unable to climax, yet the doctors are powerless to help me.""","['Gas', 'Change in usual urine color', 'Bloating', 'Unable to have orgasm']","['Decreased appetite', 'Weight loss', 'Fatigue', 'Nausea', 'Vomiting']"
36," ""I have been having flashing lights and I am so scared that I wet myself.""","['Urinary incontinence', 'Discouraged', 'Flashing lights', 'Urinary frequency']",['Flashing lights']
37," ""My life is a constant struggle, a battle against the sun's cruel rays, which pierce my skin like daggers, leaving behind a trail of pain and discomfort. Even the slightest touch, a gentle caress from my lover, is transformed into a searing agony that leaves me gasping for breath. I am a prisoner in my own skin, a slave to my own desires, unable to escape the prison of my own flesh.""","['Discouraged', 'Pain with sexual intercourse', 'Sensitivity to sunlight']","['Decreased appetite', 'Weight loss', 'Fatigue']"
38," ""I have been experiencing muscle pain, urinary frequency, bruising, and heartburn for the past week. The muscle pain is not severe and is localized to my shoulders and back. I have been having urinary frequency, where I need to urinate more often than usual. The urine stream is not weak, but I do feel the urge to urinate frequently. I have also been experiencing easy bruising, where even slight trauma results in bruising. I have bruises on my lower legs and arms from minor falls. Lastly, I have been experiencing heartburn, where I feel a burning sensation in my chest after eating. The heartburn is not severe and is not accompanied by any regurgitation of food or difficulty breathing.""","['Muscle pain', 'Urinary frequency', 'Bruising', 'Heartburn']","['Heartburn', 'Urinary frequency', 'Muscle pain', 'Bruising']"
39," ""My nails are turning into a shade of grey that I've never seen before, and I'm so embarrassed to show them to anyone. I'm also having trouble controlling my bladder, and I'm always worried that I'll have an accident. I'm so frustrated with my body right now, and I just want to be able to feel normal again.""","['Urinary incontinence', 'Nail discoloration']","['Nail discoloration', 'Urinary incontinence', 'Anxious', 'Sad', 'Fatigue']"
40," ""I been having this weird ringing in my ears for a while now, and I been having less of an appetite too. Also, my arms and legs been swelling up a bit, and I been getting chills a lot.""","['Ringing in ears', 'Decreased appetite', 'Swelling (arms or legs)', 'Chills']","['Decreased appetite', 'Weight loss']"
41," ""I am so sick of these delayed orgasms, it's like my body is against me, and I am so tired of feeling numb and tingly, it's like I am always on edge, and I am so anxious all the time, it's like I am always waiting for something bad to happen, and these stretch marks are just the cherry on top, I hate them so much.""","['Delayed orgasm', 'Numbness & tingling', 'Anxious', 'Stretch marks']","['Delayed orgasm', 'Numb and tingling', 'Anxious', 'Sad', 'Discouraged']"
42," ""I got these blisters in my mouth and throat and it's been really painful to eat and talk. And I've been getting these sores on my genitals too. It's been really painful to have sex. And I've been losing my nails too. I don't know what's going on with my body.""","['Mouth/throat sores', 'Pain with sexual intercourse', 'Nail loss']","['Mouth/throat sores', 'Difficulty Swallowing', 'Hoarseness']"
43," ""I have been feeling very sad lately, and I have noticed that my vagina is drier than usual. I also have had watery eyes for the past few days.""","['Sad', 'Vaginal dryness', 'Watery eyes']","['Decreased libido', 'Vaginal dryness', 'Watery eyes']"
44," ""I've been getting these red spots on my hands and feet that are really itchy and dry. I've also been getting these memory lapses where I forget what I just said or did. I'm also getting these stretch marks on my belly and thighs.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Memory', 'Stretch marks']","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Itching', 'Stretch marks']"
45," ""My body is a battlefield, where my cells are at war with each other, and I am the casualty. My skin is a map of my pain, with dark spots marking the places where I have been wounded. My flesh is weak, and my bones are brittle, but my spirit is strong. I will not give up, for I am a warrior, and I will fight until the end.""","['Fatigue', 'Irregular periods/vaginal bleeding', 'Bed/pressure sores', 'Stretch marks']","['Decreased appetite', 'Weight loss', 'Fatigue', 'Concentration', 'Memory']"
46," ""My stomach churns with each heave, as if a thousand snakes were writhing within me, their venom coursing through my veins. My mouth is parched, as if the sands of the desert had taken up residence within it. And yet, despite the turmoil within, I feel as if I have not eaten in weeks, as if my very soul were starving. But it is not just my body that suffers, for I have not had my time of the month in what feels like an eternity. What is happening to me?""","['Vomiting', 'Dry Mouth', 'Missed expected menstrual period']","['Abdominal pain', 'Bloating', 'Decreased appetite', 'Nausea', 'Vomiting']"
47," ""I'm so fukin tired all the time, I cant even get outta bed in the mornin. And now I'm startin to lose my nails too. What the fuk is goin on with me?""","['Fatigue', 'Nail loss']","['Decreased appetite', 'Fatigue', 'Nausea', 'Vomiting', 'Diarrhea']"
48," ""I'm worried that my hand-foot syndrome will get worse and I'll have to stop taking my medication.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Numbness & tingling', 'Muscle pain']",['Hand-foot syndrome']
49," ""I am quite annoyed with this rash on my skin. It is so itchy and I cannot stop scratching it. I hope this rash goes away soon.""","['Ringing in ears', 'Rash', 'Joint pain']","['Itching', 'Rash']"
50," ""I'm always cold and I can't control my bladder and bowel movements.""","['Urinary incontinence', 'Fecal incontinence', 'Chills']","['Decreased appetite', 'Weight loss', 'Fatigue', 'Constipation', 'Nausea']"
51," ""I have been suffering from excruciating pain during sexual intercourse for quite some time now. It is so severe that I often end up crying during the act. I have tried to talk to my partner about it, but he just brushes it off as me being overly sensitive. I am so frustrated and angry that I just want to scream. I also have a problem with urinary incontinence. I often leak urine when I laugh, cough, or sneeze. It is so embarrassing that I often avoid social gatherings and parties. I have tried to talk to my doctor about it, but he just tells me to practice Kegel exercises. I am so angry that I just want to punch something. I also have a problem with tinnitus. I often hear a ringing sound in my ears, especially when I am in a quiet place. It is so annoying that I often end up taking sleeping pills just so I can fall asleep. I have tried to talk to my doctor about it, but he just tells me to wear earplugs. I am so angry that I just want to scream. I also have a problem with diarrhea. I often have watery stools, especially when I eat spicy food. It is so embarrassing that I often avoid eating out with my friends. I have tried to talk to my doctor about it, but he just tells me to eat more fiber. I am so angry that I just want to punch something.""","['Pain with sexual intercourse', 'Urinary incontinence', 'Ringing in ears', 'Diarrhea']","['Decreased libido', 'Delayed orgasm', 'Achieve and maintain erection', 'Ejaculation']"
52," ""I'm so sick of this bloody cold! I've had watery eyes for weeks now and it's driving me bloody crazy! And I've got this bloody vaginal discharge that's making me feel so unclean! And I've been having this bloody urinary urgency that's making me run to the bloody bathroom every five minutes! And I've been feeling so nauseous that I can't even bloody eat! I'm so sick of this bloody cold!""","['Watery eyes', 'Vaginal discharge', 'Urinary urgency', 'Nausea']","['Decreased appetite', 'Nausea', 'Vomiting']"
53," ""I'm so scared I won't be able to get it up anymore.""","['Achieve and maintain erection', 'Breast swelling and tenderness', 'Ringing in ears']","['Decreased libido', 'Achieve and maintain erection', 'Pain with sexual intercourse']"
54," ""I got this burning sensation when I pee, and I had to go so often, I was up every hour at night. I started seeing these flashing lights, and my skin got so dry, I had to put moisturizer everywhere.""","['Painful urination', 'Urinary frequency', 'Flashing lights', 'Skin dryness']","['Decreased appetite', 'Weight loss', 'Fatigue', 'Nausea', 'Vomiting']"
55," ""I got a f**king sore throat and my eyes are all blurry, motherf**ker. I can't even talk properly and I can't see a f**king thing. I'm f**king dying, man.""","['Voice quality changes', 'Blurred vision']","['Mouth/throat sores', 'Sore throat', 'Blurred vision', 'Eye redness', 'Eye irritation']"
56," ""I have been experiencing some nail problems lately. My nails have started to develop ridges and I have noticed that they are breaking easily. I am worried that this might be a sign of something more serious. I have also been experiencing some heartburn lately. I have been having difficulty swallowing and I feel like there is a burning sensation in my chest. I am worried that this might be a sign of something more serious.""","['Nail ridging', 'Heartburn']","['Nail ridging', 'Nail discoloration', 'Nail loss', 'Heartburn']"
57," ""My mind is a fog, and my words are a jumbled mess, as if my tongue is a dry leaf stuck in my mouth.""","['Concentration', 'Voice quality changes', 'Difficulty Swallowing', 'Skin dryness']","['Dry Mouth', 'Voice quality changes', 'Fatigue']"
58," ""I'm feeling dizzy and my nails are all ridged and stuff. I've been farting like crazy and I missed my period. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this. I'm so sick of being sick. I'm so sick of feeling like this.","['Dizziness', 'Nail ridging', 'Gas', 'Missed expected menstrual period']",['Nail ridging']
59," ""I've been having this really bad body odor for the past month or so. I shower twice a day, use deodorant, and even wear loose clothes, but it doesn't seem to help much. I've also noticed that I've been getting really dry down there, and it's been really uncomfortable. I've been coughing a lot lately too, and it's been getting worse over time. I've also been having some joint pain, especially in my knees and elbows, and it's been really bothering me. I'm not sure what's causing all these symptoms, but I'm really worried about it.""","['Body odor', 'Vaginal dryness', 'Coughing', 'Joint pain']","['Body odor', 'Joint pain', 'Coughing']"
60," ""I am so sick and tired of these heart palpitations, cracking at the corners of my mouth, chills, and loss of appetite. It's always the same, and I'm so angry about it.""","['Heart palpitations', 'Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Chills', 'Decreased appetite']","['Heart palpitations', 'Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Loss of appetite']"
61," ""I'm fed up with this numbness and tingling in my hands and feet, it's been going on for months now. And don't even get me started on the cracking at the corners of my mouth, it's absolutely disgusting.""","['Numbness & tingling', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']","['Numbness & tingling', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)']"
62," ""I have been experiencing breast swelling and tenderness for the past few days, and it is very much interfering with my daily activities. Also, I have been feeling numbness and tingling in my hands and feet, and it is also very much interfering with my daily activities.""","['Breast swelling and tenderness', 'Numbness & tingling']","['Breast swelling and tenderness', 'Numbness & tingling']"
63," ""My kidneys are on fire and my ears are ringing like a thousand bells, and I see these dark strings floating in front of my eyes, and my joints are so sore I can barely move.""","['Painful urination', 'Ringing in ears', 'Visual floaters', 'Joint pain']","['Decreased appetite', 'Nausea', 'Vomiting', 'Diarrhea', 'Fatigue']"
64," ""I am experiencing a change in my usual urine color, and I am anxious. I also have dry skin and stretch marks.""","['Change in usual urine color', 'Anxious', 'Skin dryness', 'Stretch marks']",['Change in usual urine color']
65," ""My body is a battlefield, where pain and frustration wage war, and I am the helpless victim, unable to escape the agony.""","['Delayed orgasm', 'Abdominal pain']","['Decreased appetite', 'Weight loss', 'Fatigue']"
66," ""I am experiencing a general weakness and lethargy, as well as decreased sweating, urinary urgency, skin darkening, and difficulty concentrating. I am also having trouble sleeping and have noticed a slight weight gain. I am concerned that these symptoms may be related to a more serious medical condition.""","['Decreased sweating', 'Urinary urgency', 'Skin darkening', 'Concentration']","['Decreased sweating', 'Skin darkening', 'Difficulty concentrating', 'Sleeping difficulties', 'Weight gain']"
67," ""I'm always sweating like a pig and I can't get it up anymore. My voice is all hoarse and I got this weird discharge from my vagina.""","['Increased sweating', 'Achieve and maintain erection', 'Hoarseness', 'Vaginal discharge']","['Decreased libido', 'Vaginal dryness', 'Vaginal discharge', 'Hot flashes', 'Night sweats']"
68," ""I have been experiencing vaginal dryness and it's really affecting my sex life.""","['Vaginal dryness', 'Sensitivity to sunlight', 'Taste Changes']",['Vaginal dryness']
69," ""I have been noticing that I have been bruising very easily lately. I also have been having trouble remembering things that I did just a few days ago. I have been very confused and disoriented. I have been having trouble with my memory and I have been very forgetful. I have been having trouble remembering appointments and meetings. I have been having trouble remembering phone numbers and names. I have been having trouble remembering where I put things. I have been having trouble remembering what I was doing. I have been having trouble remembering what I was saying. I have been having trouble remembering what I was reading. I have been having trouble remembering what I was watching. I have been having trouble remembering what I was listening to. I have been having trouble remembering what I was doing. I have been having trouble remembering what I was saying. I have been having trouble remembering what I was reading. I have been having trouble remembering what I was watching. I have been having trouble remembering what I was listening to. I have been having trouble remembering what I was doing. I have been having trouble remembering what I was saying. I have been having trouble remembering what I was reading. I have been having trouble remembering what I was watching. I have been having trouble remembering what I was listening to. I have been having trouble remembering what I was doing. I have been having trouble remembering what I was saying. I have been having trouble remembering what I was reading. I have been having trouble remembering what I was watching","['Bruising', 'Memory']","['Breast swelling and tenderness', 'Bruising', 'Dizziness', 'Fatigue', 'Hair loss']"
70," ""I have been feeling very sensitive to sunlight lately. I wear sunglasses all the time, but I still get burned easily. I also have been having trouble reaching orgasm. It takes a lot longer than usual and I don't feel as satisfied after I do.""","['Sensitivity to sunlight', 'Delayed orgasm']",['Sensitivity to sunlight']
71," ""I have been having trouble getting aroused lately. My voice has been changing too. I have a rash on my arms and chest.""","['Unable to have orgasm', 'Voice quality changes', 'Rash']","['Decreased libido', 'Achieve and maintain erection', 'Pain with sexual intercourse']"
72," ""I got these stretch marks all over my belly and back from being so fat and pregnant. I was in so much pain during labor and delivery. I was so scared I'd die. I was so scared I'd never see my baby again. I was so scared I'd never see my husband again. I was so scared I'd never see my family again. I was so scared I'd never see my friends again. I was so scared I'd never see my colleagues again. I was so scared I'd never see my neighbors again. I was so scared I'd never see my doctor again. I was so scared I'd never see my nurse again. I was so scared I'd never see my pharmacist again. I was so scared I'd never see my dentist again. I was so scared I'd never see my optician again. I was so scared I'd never see my veterinarian again. I was so scared I'd never see my hairdresser again. I was so scared I'd never see my barber again. I was so scared I'd never see my beautician again. I was so scared I'd never see my masseuse again. I was so scared I'd never see my acupuncturist again. I was so scared I'd never see my chiropractor again. I was so scared I'd never see my physiotherapist again. I was so scared I'd never see my psychiatrist again. I was so scared I'd never see my","['Abdominal pain', 'Stretch marks', 'Pain and swelling at injection site']","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Difficulty Swallowing']"
73," ""I'm always tired and feel like I'm getting sick all the time. I've had really bad cramps during my periods for a while now, and I've been getting really light periods or no periods at all. I've also been getting really bad vaginal bleeding in between periods. I've also noticed that I don't sweat as much as I used to, and when I do sweat it's not as salty. I've also been having really painful urination, and I've noticed that my urine is really dark.""","['Irregular periods/vaginal bleeding', 'Decreased sweating', 'Painful urination']","['Decreased sweating', 'Dark urine', 'Fatigue', 'Irregular periods/vaginal bleeding', 'Light periods']"
74," ""I been feelin like shite lately, mate. I been vomitin up me lunch and dinner every day for the past week or so. I cant even keep a glass of water down without pukin it back up. I been feelin so anxious all the time too. I cant sleep at night and I get all hot and sweaty when I try to relax. I been gettin these dizzy spells too. I be walkin down the street and suddenly I feel all woozy and I gotta grab onto somethin to stop myself from fallin over. And I been gettin this dry mouth too. I cant even talk proper like this. I be tryin to order a pint at the pub and I cant even get the words out right. I be sittin there lookin like a right plonker. I dont know what the hell is wrong with me, mate. I been to the doc and he just gave me some pills and told me to come back in a week. But I dont think them pills are workin, mate. I still feel like shite.""","['Vomiting', 'Anxious', 'Dizziness', 'Dry Mouth']","['Dry Mouth', 'Nausea', 'Vomiting']"
75," ""I can't remember the names of people I just met, and I keep forgetting where I put things. And I've been getting these weird discharges from my vagina. It's been really embarrassing. And my muscles are always aching, especially my neck and shoulders. I can't even lift my arms above my head without feeling this sharp pain. I'm so scared, doc. What's wrong with me?""","['Memory', 'Vaginal discharge', 'Muscle pain']","['Decreased libido', 'Vaginal discharge', 'Vaginal dryness', 'Urinary frequency']"
76," ""I'm so sick of this constant headache and painful peeing. I can't even take a proper dump without wincing in pain. And I'm so tired all the time. I'm not even sleeping well, but I'm still so exhausted. I'm so sick of feeling like this.""","['Painful urination', 'Headache']","['Headache', 'Painful urination', 'Fatigue']"
77," ""I have been feeling extremely fatigued lately, as if I have no energy to do anything. I have also been vomiting quite frequently, which is very unusual for me.""","['Fatigue', 'Vomiting']","['Abdominal pain', 'Bloating', 'Nausea', 'Vomiting']"
78," ""I got bed sores on me bum and me back and me legs and me feet and me arms and me shoulders and me chest and me head and me neck and me face and me ears and me mouth and me nose and me eyes and me eyelids and me eyebrows and me forehead and me temples and me cheeks and me chin and me lips and me tongue and me throat and me Adam's apple and me larynx and me trachea and me lungs and me heart and me stomach and me small intestine and me large intestine and me bladder and me kidneys and me urethra and me ureters and me testicles and me penis and me nipples and me breasts and me uterus and me vagina and me clitoris and me labia and me anus and me buttocks and me thighs and me calves and me shins and me feet and me hands and me wrists and me forearms and me elbows and me biceps and me upper arms and me shoulders and me neck and me head and me face and me ears and me mouth and me nose and me eyes and me eyelids and me eyebrows and me forehead and me temples and me cheeks and me chin and me lips and me tongue and me throat and me Adam's apple and me larynx and me trachea and me lungs and me heart and me stomach and me small intestine and me large intestine and me bladder and me kidneys and me urethra and me ureters and me testicles and me penis and me nipples","['Bed/pressure sores', 'Increased sweating', 'Joint pain']","['Breast swelling and tenderness', 'Bed/pressure sores', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']"
