Dialogue_Generated,Symptoms,Descriptions,Meta,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
" ""I have been having really dry skin all over my body and it's really itchy and uncomfortable. I also have painful urination and my vagina is really dry and itchy too. I've also been gaining weight and my arms and legs are really swollen.""","['Skin dryness', 'Painful urination', 'Vaginal dryness', 'Swelling (arms or legs)']","['Severity', 'Severity', 'Severity', 'Severity']","['Not applicable', 'Severe', 'Prefer not to answer', 'Mild']",Neutral/Standard Register,Fearful,2,False,False,True
" ""I have been having trouble sleeping lately. I wake up in the middle of the night and I can't fall back asleep. My breasts are swollen and tender to the touch. I have been having trouble reaching orgasm lately. It's been very frustrating.""","['Insomnia', 'Breast swelling and tenderness', 'Delayed orgasm']","['Interference (with daily activities)', 'Severity', 'Presence/Absence']","['A little bit', 'Very severe', 'Not applicable']",Neutral/Standard Register,Fearful,2,True,False,True
" ""Visual Floaters: Black Spots, Grey Spots, White Spots, Tiny Lines, Tiny Dots, Tiny Squares, Tiny Circles, Tiny Triangles, Tiny Hexagons, Tiny Octagons, Tiny Stars, Tiny Moons, Tiny Planets, Tiny Comets, Tiny Meteors, Tiny Shooting Stars, Tiny Rainbows, Tiny Halos, Tiny Glows, Tiny Flashes, Tiny Sparks, Tiny Explosions, Tiny Implosions, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny Flickers, Tiny F","['Visual floaters', 'Numbness & tingling', 'Hives']","['Presence/Absence', 'Interference (with daily activities)', 'Presence/Absence']","['Prefer not to answer', 'A little bit', 'Not sexually active']",Poetic/Literary Register,Insulting,3,True,False,False
" ""I got these bloody floaters in me eyes and it's driving me mental. I'm seeing these little black dots everywhere, even when me eyes are closed. And it's not just the dots, I'm seeing these flashing lights too. It's like I'm going bloody blind or something. And I've been having trouble swallowing too. Me food just gets stuck in me throat and I have to keep coughing it up. And me voice has been all croaky and weird too. I sound like some old bloke who's been smoking since he was 12.""","['Visual floaters', 'Flashing lights', 'Difficulty Swallowing', 'Voice quality changes']","['Presence/Absence', 'Presence/Absence', 'Severity', 'Presence/Absence']","['Yes', 'Yes', 'None', 'Prefer not to answer']",Vulgar Register,Neutral,2,False,True,False
" ""I feel so sad all the time, and I have these really annoying hiccups that won't go away. My vision is all blurry too, and I'm so embarrassed because I have no control over when I have a bowel movement. I'm really scared that this is going to last forever.""","['Sad', 'Hiccups', 'Blurred vision', 'Fecal incontinence']","['Severity', 'Frequency', 'Interference (with daily activities)', 'Frequency']","['Very severe', 'Occasionally', 'Quite a bit', 'Prefer not to answer']",Informal Register,Fearful,4,False,True,False
" ""I've been having this abdominal pain for a while now, and it's been getting worse and worse. It's like a burning sensation, and it's been really hard for me to eat anything. And on top of that, I've been having this urinary frequency, and I've been having to go to the bathroom way more often than usual. It's been really hard for me to sleep at night because of this pain and having to wake up so often to go to the bathroom. I'm really worried about this, and I don't know what to do.""","['Abdominal pain', 'Urinary frequency']","['Interference (with daily activities)', 'Interference (with daily activities)']","['Very much', 'Quite a bit']",Informal Register,Confused,4,False,True,False
" ""I've noticed that my skin has been getting darker over the past few months. I also don't feel like eating as much as I used to.""","['Skin darkening', 'Decreased appetite']","['Presence/Absence', 'Severity']","['Prefer not to answer', 'Moderate']",Neutral/Standard Register,Friendly,2,False,False,False
" ""I have heartburn when I eat spicy food, and I often have acid reflux. I also have urinary incontinence when I laugh or cough, and I have to wear a pad to prevent accidents. I also have vomiting, and I often have to throw up after eating.""","['Urinary incontinence', 'Vomiting', 'Heartburn']","['Interference (with daily activities)', 'Frequency', 'Severity']","['Quite a bit', 'Almost constantly', 'Not sexually active']",Informal Register,Neutral,4,True,False,False
" ""I got this weird sensation in my stomach like I had to fart but I couldn't and then my voice started changing like I had a cold or something.""","['Gas', 'Voice quality changes']","['Presence/Absence', 'Presence/Absence']","['Not applicable', 'Yes']",Vulgar Register,Confused,4,False,True,False
" ""I have been having this pain during sex for a while now, but it's been getting worse lately. It's like a sharp pain that comes and goes, and it's really scary. I'm worried that there's something wrong with me.""","['Pain with sexual intercourse', 'Coughing']","['Severity', 'Severity']","['Severe', 'Not applicable']",Informal Register,Fearful,4,False,False,False
" ""I'm so sick of bleeding from my nose all the time. And I'm not hungry anymore. You're not helping me at all.""","['Nosebleed', 'Decreased appetite']","['Severity', 'Severity']","['Very severe', 'None']",Neutral/Standard Register,Insulting,1,False,False,False
" ""My arm is really sore and swollen where I got the injection. I have a headache too.""","['Pain and swelling at injection site', 'Headache']","['Presence/Absence', 'Frequency']","['Prefer not to answer', 'Never']",Informal Register,Fearful,1,True,False,False
" ""I have bed sores on my back and buttocks, hives all over my body, and I have to urinate more often than usual.""","['Bed/pressure sores', 'Hives', 'Urinary frequency']","['Presence/Absence', 'Presence/Absence', 'Frequency']","['No', 'Not sexually active', 'Prefer not to answer']",Neutral/Standard Register,Insulting,3,True,False,False
" ""I got irregular periods/vaginal bleeding since I was 15 years old. I got my periods every 2 months and they lasted for 7 days. But now I got my periods every 4 months and they last for 10 days. I also got vaginal bleeding in between my periods. I also got hoarseness since I was 15 years old. I got hoarse voice when I talked a lot. Now I got hoarse voice even when I talked a little. I also got a cough when I talked a lot.""","['Irregular periods/vaginal bleeding', 'Hoarseness']","['Presence/Absence', 'Severity']","['No', 'None']",Vulgar Register,Neutral,4,True,False,True
" ""I am so tired all the time, and I have this constant urge to defecate, but I cannot control it. I also have these little white spots all over my body, and my nails are falling off. I am so frustrated with my condition, and I wish I could go back to the way I was before I got sick. I hope the doctor can help me.""","['Fatigue', 'Fecal incontinence', 'Nail loss', 'Rash']","['Interference (with daily activities)', 'Interference (with daily activities)', 'Presence/Absence', 'Presence/Absence']","['Very much', 'Somewhat', 'No', 'Yes']",Formal Register,Insulting,5,False,False,True
" ""I feel discouraged lately, I have dry mouth all the time and my joints are aching, it's really bothering me.""","['Discouraged', 'Dry Mouth', 'Joint pain']","['Frequency', 'Severity', 'Severity']","['Rarely', 'Mild', 'Mild']",Neutral/Standard Register,Friendly,3,False,False,True
" ""i cant have sex with my boyfriend because it hurts so much""","['Pain with sexual intercourse', 'Stretch marks', 'Nail discoloration', 'Unable to have orgasm']","['Severity', 'Presence/Absence', 'Presence/Absence', 'Presence/Absence']","['Not applicable', 'Not sexually active', 'No', 'Not sexually active']",Informal Register,Angry,1,False,False,True
" ""I have bed sores and my muscles hurt all the time. I can't even have sex with my wife anymore.""","['Bed/pressure sores', 'Muscle pain', 'Ejaculation', 'Painful urination']","['Presence/Absence', 'Severity', 'Frequency', 'Severity']","['Not sexually active', 'Not sexually active', 'Occasionally', 'None']",Informal Register,Angry,1,False,False,False
" ""I have been experiencing pain during sexual intercourse for a while now. It's been almost constantly for the past 3 months. The pain is usually in the lower abdomen and pelvis area and it's usually severe. It's not just during intercourse, but also during other activities such as walking or standing for a long time. I also feel bloated most of the time and it's been affecting my mood and appetite.""","['Pain with sexual intercourse', 'Bloating']","['Severity', 'Frequency']","['Not applicable', 'Almost constantly']",Neutral/Standard Register,Neutral,5,False,False,True
" ""I have been feeling quite fatigued lately and I have noticed that my appetite has decreased. I have also been having diarrhea quite frequently. I have also noticed some stretch marks on my abdomen and thighs.""","['Decreased appetite', 'Diarrhea', 'Stretch marks', 'Fatigue']","['Interference (with daily activities)', 'Frequency', 'Presence/Absence', 'Severity']","['Quite a bit', 'Never', 'Yes', 'Not sexually active']",Neutral/Standard Register,Neutral,2,False,True,True
" ""My coughing is so severe that it feels like my lungs are on fire, and I have this rash all over my body that makes my skin feel like it's been sandpapered.""","['Coughing', 'Urinary urgency', 'Rash']","['Severity', 'Interference (with daily activities)', 'Presence/Absence']","['Not applicable', 'Not at all', 'Not applicable']",Poetic/Literary Register,Confused,2,False,False,True
" ""I've been having a headache for a few days now, but it's gotten much worse today. It's like someone is squeezing my head with a vice. I also have this constant wheezing sound when I breathe, and my mouth is always dry. And to top it all off, I had an accident this morning because I couldn't control when I had to go to the bathroom.""","['Fecal incontinence', 'Headache', 'Wheezing', 'Dry Mouth']","['Frequency', 'Severity', 'Severity', 'Severity']","['Frequently', 'Very severe', 'None', 'Very severe']",Informal Register,Neutral,3,False,False,False
" ""I'm so stressed out and anxious all the time, I'm always worried about something. My skin is so dry and itchy, and I get these stretch marks on my stomach and thighs. I'm so self-conscious about it. I even wear long sleeves in the summer because I'm so sensitive to the sun.""","['Sensitivity to sunlight', 'Skin dryness', 'Stretch marks', 'Anxious']","['Presence/Absence', 'Severity', 'Presence/Absence', 'Severity']","['Prefer not to answer', 'Mild', 'Not sexually active', 'Not sexually active']",Informal Register,Angry,2,False,False,False
" ""I'm so depressed lately, I can't get outta bed, I'm so sad all the time, I don't wanna see nobody, I just wanna be alone.""","['Sad', 'Irregular periods/vaginal bleeding', 'Muscle pain']","['Interference (with daily activities)', 'Presence/Absence', 'Severity']","['Very much', 'No', 'Severe']",Vulgar Register,Friendly,3,False,False,False
" ""I got a sore throat and my voice is hoarse, I feel bloated all the time and I got no appetite, I feel tired and weak all the time, I got cold hands and feet, I feel dizzy sometimes, I got headaches often, I feel short of breath sometimes, I got chest pains occasionally, I feel irregular heartbeat sometimes.""","['Decreased appetite', 'Hoarseness', 'Bloating']","['Interference (with daily activities)', 'Severity', 'Frequency']","['Somewhat', 'Not sexually active', 'Occasionally']",Vulgar Register,Confused,2,True,False,True
" ""My skin is a map of my inner turmoil, a topography of my soul. Stretch marks etched into my thighs like scars from a battle I never fought. Acne blooms on my forehead like a rash from a disease I never had. My skin is a reflection of my inner self, a mirror to my soul.""","['Gas', 'Stretch marks', 'Acne', 'Anxious']","['Presence/Absence', 'Presence/Absence', 'Severity', 'Frequency']","['Not sexually active', 'Not sexually active', 'Prefer not to answer', 'Never']",Poetic/Literary Register,Friendly,1,True,False,False
" ""My mouth is a cracked and bleeding mess, and I can't stop vomiting. I feel dizzy and my voice sounds like a croaking frog.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Vomiting', 'Dizziness', 'Voice quality changes']","['Severity', 'Severity', 'Severity', 'Presence/Absence']","['Severe', 'Very severe', 'None', 'Yes']",Poetic/Literary Register,Angry,3,False,False,False
" ""I am feeling dizzy and sad, you incompetent fool, it is all your fault.""","['Dizziness', 'Sad']","['Severity', 'Severity']","['Mild', 'Mild']",Formal Register,Insulting,2,False,False,False
" ""I have been experiencing breast swelling and tenderness for a while now, but I thought it was just because I was stressed out. But now I am also having dry mouth and delayed orgasm. I am really scared that something is wrong with me.""","['Breast swelling and tenderness', 'Delayed orgasm', 'Dry Mouth']","['Severity', 'Presence/Absence', 'Severity']","['Mild', 'Not sexually active', 'Very severe']",Neutral/Standard Register,Fearful,2,False,False,True
" ""I have noticed that I have been bruising easily and my voice has changed.""","['Bruising', 'Voice quality changes']","['Presence/Absence', 'Presence/Absence']","['No', 'Not sexually active']",Formal Register,Confused,1,False,False,False
" ""I have difficulty swallowing food and liquids. I have trouble achieving and maintaining an erection. I have cracks at the corners of my mouth.""","['Difficulty Swallowing', 'Achieve and maintain erection', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']","['Severity', 'Severity', 'Severity']","['Severe', 'Moderate', 'None']",Neutral/Standard Register,Angry,3,True,False,False
" ""My limbs are numb and tingly, as if I had fallen asleep and was dreaming, but I am wide awake and alert.""","['Numbness & tingling', 'Achieve and maintain erection']","['Severity', 'Severity']","['Moderate', 'Severe']",Poetic/Literary Register,Neutral,4,False,False,False
" ""I been having these little black dots floating around in my eye sight. I thought it was just from staring at the computer too much but it's been going on for a while now. I also been feeling really tired all the time and I missed my period last month. I'm not really sure what's going on with my body.""","['Visual floaters', 'Missed expected menstrual period', 'Fatigue']","['Presence/Absence', 'Presence/Absence', 'Severity']","['Prefer not to answer', 'No', 'Not sexually active']",Neutral/Standard Register,Confused,4,False,False,True
" ""I have been experiencing a lot of discomfort lately, especially when I urinate. It is very painful and I feel like I have to urinate more often than usual. Also, I have noticed that I am very sensitive to sunlight and I get a lot of sunburns even when I am outside for a short period of time. I am very concerned about these symptoms and I hope that you can help me figure out what is wrong with me.""","['Sensitivity to sunlight', 'Painful urination']","['Presence/Absence', 'Severity']","['Not sexually active', 'Severe']",Formal Register,Confused,5,False,False,False
" ""Bed/pressure sores, Urinary frequency, Hiccups.""","['Bed/pressure sores', 'Urinary frequency', 'Hiccups']","['Presence/Absence', 'Frequency', 'Frequency']","['Prefer not to answer', 'Prefer not to answer', 'Occasionally']",Formal Register,Fearful,1,True,True,False
" ""I cant remember shit lately, and my vagina is so dry it feels like sandpaper.""","['Memory', 'Vaginal dryness']","['Interference (with daily activities)', 'Severity']","['Very much', 'Mild']",Vulgar Register,Fearful,2,False,False,True
" ""I have been experiencing some rather unpleasant sores in my mouth and throat for quite some time now. They are quite painful and make it difficult for me to eat and sleep. Additionally, I have noticed that I have been having a decreased libido. I used to be quite the ladies' man, but now I can barely muster up the energy to even look at a woman. Furthermore, I have been having some memory and concentration issues. I used to be able to remember everything, but now I find myself forgetting appointments and important dates. I also have a harder time focusing on tasks and following conversations. It's quite frustrating, as I used to be able to multitask with ease. Now, I find myself getting distracted by the smallest things and having a harder time completing tasks.""","['Mouth/throat sores', 'Decreased libido', 'Memory', 'Concentration']","['Interference (with daily activities)', 'Severity', 'Interference (with daily activities)', 'Severity']","['Somewhat', 'Very severe', 'A little bit', 'Moderate']",Formal Register,Insulting,5,False,False,False
" ""I have been experiencing joint pain and diarrhea for a while now, but I am not sure what is causing it.""","['Joint pain', 'Diarrhea']","['Interference (with daily activities)', 'Frequency']","['Not at all', 'Occasionally']",Formal Register,Confused,1,False,False,True
" ""I've been having trouble with my sperm count lately. I've been trying to have a baby with my wife for a while now, but it's not happening. I've been to the doctor and they said I have low sperm count. I'm really worried about this. I don't know what to do.""","['Ejaculation', 'Hoarseness']","['Frequency', 'Severity']","['Rarely', 'Not sexually active']",Vulgar Register,Neutral,3,False,True,False
" ""Nail ridging, Pain with sexual intercourse, Delayed orgasm, Abdominal pain""","['Nail ridging', 'Pain with sexual intercourse', 'Delayed orgasm', 'Abdominal pain']","['Presence/Absence', 'Severity', 'Presence/Absence', 'Interference (with daily activities)']","['Yes', 'Severe', 'No', 'Quite a bit']",Poetic/Literary Register,Fearful,1,True,True,False
" ""I got these mouth sores on the inside of my cheeks and tongue, and they're really sore and painful. It's like I got burned or something. And my muscles are really sore too, especially my legs and arms. It's like I just did a marathon or something. And I haven't been able to have an orgasm in weeks. It's like my body just won't let me.""","['Mouth/throat sores', 'Muscle pain', 'Unable to have orgasm']","['Severity', 'Interference (with daily activities)', 'Presence/Absence']","['Not applicable', 'A little bit', 'No']",Vulgar Register,Friendly,5,False,True,False
" ""I have been experiencing a ringing in my ears for a while now, but I thought it was just my hearing getting worse with age. However, I have also been feeling nauseous for the past few days and I am not sure what is causing it.""","['Ringing in ears', 'Nausea']","['Severity', 'Frequency']","['Prefer not to answer', 'Never']",Formal Register,Confused,3,False,False,True
" ""I'm so sick of this shit, I can't even have sex without screaming in pain. And don't even get me started on my mouth, it's always cracking and bleeding. And I sound like a frog half the time. And I've got this constant discharge from my vagina, it's so annoying. I'm so sick of being sick.""","['Pain with sexual intercourse', 'Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Hoarseness', 'Vaginal discharge']","['Severity', 'Severity', 'Severity', 'Amount']","['Mild', 'Mild', 'None', 'Not at all']",Informal Register,Insulting,3,False,False,False
" ""I feel so sad and depressed all the time. I wake up in the morning and I just want to cry. My stomach is always bloated and I have no appetite at all. I try to eat but nothing tastes good and I end up throwing up. My breasts are so swollen and tender that I can't even wear a bra. I feel so fat and ugly. I'm so confused and I don't know what's wrong with me. I feel so sick and I just want to die.""","['Sad', 'Bloating', 'Decreased appetite', 'Breast swelling and tenderness']","['Interference (with daily activities)', 'Frequency', 'Severity', 'Severity']","['Very much', 'Occasionally', 'Not applicable', 'None']",Poetic/Literary Register,Confused,5,True,False,True
" ""I'm so sick of going to the bathroom all the time. I mean, I know I'm old, but I used to be able to hold it for hours. Now I'm running to the bathroom every hour on the hour. And it's not just that, I've been having diarrhea for weeks now. I mean, I know I ate some bad sushi once, but this is ridiculous. And to top it all off, I've been getting these cracks in the corners of my mouth. I mean, I know I'm old, but I used to be able to take care of myself. Now I'm starting to look like a freaking mummy. I'm so sick of being sick.""","['Urinary urgency', 'Diarrhea', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']","['Frequency', 'Frequency', 'Severity']","['Occasionally', 'Prefer not to answer', 'Mild']",Informal Register,Angry,4,False,False,False
" ""I have been experiencing breast swelling and tenderness, and also difficulty swallowing. I have been feeling fatigued and weak, and my skin appears pale. I also have shortness of breath, dizziness, irregular heartbeat, chest pain, cold hands and feet, and headaches.""","['Breast swelling and tenderness', 'Difficulty Swallowing']","['Severity', 'Severity']","['Not applicable', 'Prefer not to answer']",Neutral/Standard Register,Neutral,3,True,False,True
" ""Oh, my poor heart, it feels as if it is about to burst into flames, and my bladder is about to explode, and my diaphragm is hiccupping like a maniac, and I can feel the acid in my stomach eating away at my insides, and I am so scared, so scared, so scared.""","['Hiccups', 'Urinary incontinence', 'Heartburn']","['Frequency', 'Frequency', 'Frequency']","['Occasionally', 'Never', 'Almost constantly']",Poetic/Literary Register,Fearful,1,False,False,True
" ""I've got a vaginal discharge, hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain), wheezing, and decreased sweating. It's been going on for a while now, and I'm getting really sick of it. I'm tired of being sick all the time, and I'm tired of having to deal with these symptoms. I'm tired of being a patient, and I'm tired of having to rely on other people to take care of me. I'm sick of being sick, and I'm sick of having to deal with these symptoms. I'm sick of being a patient, and I'm sick of having to rely on other people to take care of me.""","['Vaginal discharge', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Wheezing', 'Decreased sweating']","['Amount', 'Severity', 'Severity', 'Presence/Absence']","['Somewhat', 'Severe', 'None', 'Not applicable']",Informal Register,Insulting,2,True,True,False
" ""I got hoarseness and fatigue. I can't talk loud and I'm always tired.""","['Hoarseness', 'Fatigue']","['Severity', 'Interference (with daily activities)']","['Not applicable', 'Quite a bit']",Vulgar Register,Angry,3,True,False,False
" ""I'm losing hair like crazy, and I'm always cold. I mean, I'm not even having sex anymore because I'm so cold all the time.""","['Hair loss', 'Chills']","['Amount', 'Frequency']","['A little bit', 'Not sexually active']",Neutral/Standard Register,Insulting,3,True,False,False
" ""My eyes are so watery that I can barely see, and my memory is so poor that I forget what I ate for breakfast. My muscles ache so much that I can barely move, and my taste buds are so numb that I can barely taste my food. I'm so sick of being sick.""","['Watery eyes', 'Memory', 'Muscle pain', 'Taste Changes']","['Severity', 'Interference (with daily activities)', 'Frequency', 'Severity']","['Severe', 'Very much', 'Prefer not to answer', 'Not sexually active']",Poetic/Literary Register,Insulting,3,False,False,False
" ""I got these bloody muscle pains and I cant breathe right. I cant even have a shag with my missus because I cant get hard and she is getting all dry down there.""","['Muscle pain', 'Wheezing', 'Vaginal dryness']","['Interference (with daily activities)', 'Severity', 'Severity']","['Very much', 'Moderate', 'Moderate']",Vulgar Register,Angry,2,False,False,True
" ""I've been having some really bad nosebleeds lately. I mean, I've always had the occasional one, but these past few days they've been really severe. I've had three already and I'm worried about what might happen if I have another one. I've also been having some really bad gas lately. I mean, I've always had some, but these past few days it's been really bad. I've been having a lot of stomach cramps and I'm worried that I might have some kind of infection. I've also been having some really bad pain lately. I mean, I've always had some, but these past few days it's been really bad. I've been having a lot of headaches and I'm worried that I might have some kind of tumor.""","['Nosebleed', 'Gas', 'General pain']","['Severity', 'Presence/Absence', 'Severity']","['Severe', 'Yes', 'Severe']",Neutral/Standard Register,Friendly,5,False,False,True
" ""I got delayed orgasm, hives, pain with sexual intercourse, blurred vision. I got delayed orgasm since 3 months. It's affecting my relationship with my partner. I got hives all over my body since 2 months. It's affecting my daily activities. I got pain with sexual intercourse since 2 months. It's affecting my relationship with my partner. I got blurred vision since 1 month. It's affecting my daily activities.""","['Delayed orgasm', 'Hives', 'Pain with sexual intercourse', 'Blurred vision']","['Presence/Absence', 'Presence/Absence', 'Severity', 'Severity']","['Not applicable', 'Not sexually active', 'None', 'Prefer not to answer']",Vulgar Register,Fearful,4,True,True,True
